2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions (18+) - DMC23,Plan All-Cause Readmissions (18-64) - DMC24,Plan All-Cause Readmissions (65+) - DMC25,Physical Functioning Activities of Daily Living - DMC26,Care of Older Adults - Functional Status - DMC27,Kidney Health Evaluation for Patients With Diabetes - DMC28,Improving or Maintaining Physical Health - DMC29,Improving or Maintaining Mental Health - DMC30,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H7163,Vantage Health Plan,"VANTAGE HEALTH PLAN OF MISSISSIPPI, INC.",Louisiana Health Service & Indemnity Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,0:26,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,1.56%,0:26,No data available,0:31,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7165,Blue Cross Blue Shield of South Carolina,BLUECROSS AND BLUESHIELD OF SOUTH CAROLINA,BlueCross BlueShield of South Carolina (BCBSSC),Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:15,Plan too small to be measured,Plan too small to be measured,1.56%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan not required to report measure,Plan too small to be measured,No data available,No data available,1.56%,0:15,No data available,0:16,59,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7169,Wellcare,"BUCKEYE HEALTH PLAN COMMUNITY SOLUTIONS, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7172,"Aetna Better Health of Ohio, MyCare Ohio",AETNA BETTER HEALTH INC. (OH),CVS Health Corporation,76%,55%,97%,63%,21%,No data available,1:59,Plan too small to be measured,95%,0.78%,84%,92%,40%,13%,29%,61%,64%,57%,8%,79%,8%,38%,14%,14%,14%,86%,Plan not required to report measure,33%,70%,75%,0.78%,1:59,101,0:25,83,No data available,No data available,8%,7%,21.24%,5.21%,0.73%,16.45%,12.07%,0.04,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7173,Wellcare by Allwell,"PEACH STATE HEALTH PLAN, INC.",Centene Corporation,Not enough data available,50%,Not enough data available,52%,Not enough data available,No data available,0:22,57%,89%,5.47%,Not enough data available,Not enough data available,43%,12%,23%,51%,37%,39%,20%,68%,12%,35%,11%,13%,10%,97%,83%,35%,70%,77%,5.47%,0:22,101,0:12,83,63%,45%,10%,No data available,11.58%,1.49%,No data available,7.06%,5.08%,17.21,23%,35%,20%,Not Available,15%,100
H7175,Wellcare,"WELLCARE HEALTH INSURANCE OF NORTH CAROLINA, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Not enough data available,Plan too new to be measured,0:23,65%,92%,0.82%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,40%,Not enough data available,54%,5%,81%,1%,35%,16%,0%,23%,No data available,Not enough data available,31%,No data available,No data available,0.82%,0:23,99,0:36,92,62%,39%,6%,No data available,19.78%,14.79%,0.24%,6.82%,6.36%,14.55,33%,29%,12%,Not Available,31%,100
H7220,Indiana University Health Plans,"INDIANA UNIVERSITY HEALTH PLANS NFP, INC.",Indiana University Health,Not enough data available,67%,Not enough data available,84%,25%,94,0:20,83%,95%,3.75%,66%,69%,21%,2%,15%,75%,56%,75%,61%,85%,43%,66%,10%,8%,11%,94%,Plan not required to report measure,40%,67%,80%,6.83%,0:17,99,0:39,90,43%,19%,6%,4%,13.00%,4.87%,0.17%,7.60%,3.62%,CMS Found Issues with Plan's Data,10%,16%,26%,8%,11%,100
H7245,Premera Blue Cross Medicare Advantage,PREMERA BLUE CROSS,Premera,Not enough data available,69%,94%,83%,36%,93,0:23,82%,92%,2.34%,76%,86%,26%,4%,10%,72%,68%,63%,27%,85%,19%,48%,10%,13%,9%,97%,Plan not required to report measure,57%,73%,78%,2.34%,0:23,99,0:39,96,35%,15%,12%,No data available,11.18%,7.97%,0.25%,6.68%,4.25%,0.72,13%,12%,21%,9%,10%,100
H7273,Banner Medicare Advantage Plus,BANNER HEALTH INSURANCE GROUP,Banner Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:15,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,0.00%,0:15,No data available,0:13,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7284,Humana,"HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,Not enough data available,71%,Not enough data available,85%,Not enough data available,92,0:23,72%,98%,1.01%,Not enough data available,Not enough data available,22%,3%,23%,81%,70%,79%,7%,90%,5%,45%,11%,4%,13%,No data available,92%,51%,No data available,No data available,1.01%,0:23,100,0:15,88,64%,27%,9%,No data available,21.29%,12.15%,No data available,6.52%,5.00%,4.27,17%,23%,29%,Not Available,13%,100
H7301,Aetna Medicare,"COVENTRY HEALTH CARE OF ILLINOIS, INC.",CVS Health Corporation,45%,71%,96%,72%,36%,91,0:34,72%,95%,1.08%,80%,86%,29%,5%,17%,53%,58%,91%,1%,82%,1%,44%,13%,12%,13%,98%,Plan not required to report measure,36%,74%,80%,1.08%,0:34,101,0:40,91,57%,30%,8%,15%,17.43%,4.49%,0.25%,8.83%,4.75%,1.12,17%,27%,25%,Not Available,14%,100
H7322,Oscar,"OSCAR HEALTH PLAN OF NEW YORK, INC.","Oscar Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Not enough data available,Plan too new to be measured,1:08,65%,94%,4.38%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,7%,Not enough data available,78%,59%,80%,53%,67%,0%,0%,0%,No data available,Plan not required to report measure,53%,No data available,No data available,4.38%,1:08,101,0:39,92,67%,38%,6%,No data available,23.13%,3.24%,No data available,7.67%,7.24%,35.73,26%,43%,27%,Not Available,Not Available,100
H7323,Wellcare,WELLCARE NATIONAL HEALTH INSURANCE COMPANY,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Not enough data available,Plan too new to be measured,0:26,56%,87%,1.06%,Not enough data available,Not enough data available,38%,0%,Not enough data available,55%,Not enough data available,54%,3%,73%,3%,33%,3%,0%,4%,No data available,No data available,44%,No data available,No data available,1.06%,0:26,96,0:36,91,62%,36%,6%,No data available,15.13%,9.73%,No data available,5.30%,3.72%,19.24,37%,55%,16%,Not Available,29%,100
H7326,Wellcare,"WELLCARE OF SOUTH CAROLINA, INC.",Centene Corporation,52%,74%,Not enough data available,70%,Not enough data available,93,1:17,61%,95%,2.50%,79%,82%,40%,7%,14%,55%,54%,65%,11%,80%,7%,41%,12%,9%,13%,No data available,Plan not required to report measure,26%,No data available,No data available,2.50%,1:17,99,0:36,91,60%,35%,9%,No data available,20.34%,5.28%,0.45%,8.36%,6.48%,5,19%,33%,19%,Not Available,16%,80
H7330,Zing Health,"ZING HEALTH, INC.","Zing Health Consolidator, Inc",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,0:37,Plan too small to be measured,Plan too small to be measured,6.25%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,13%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,6.25%,0:37,99,0:03,52,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7360,Wellcare by Health Net,"HEALTH NET OF CALIFORNIA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7379,CareFirst BlueCross BlueShield Medicare Advantage,"CAREFIRST ADVANTAGE PPO, INC.","CareFirst, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7389,Cigna,CIGNA HEALTH AND LIFE INSURANCE COMPANY,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7399,Ascension Complete,CENTENE VENTURE COMPANY ILLINOIS,Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,0:15,Plan too small to be measured,Plan too small to be measured,3.13%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan not required to report measure,Plan too small to be measured,No data available,No data available,3.13%,0:15,92,0:12,84,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,5.47%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7404,UnitedHealthcare,PACIFICARE LIFE ASSURANCE COMPANY,"UnitedHealth Group, Inc.",65%,80%,Not enough data available,77%,Not enough data available,Plan too new to be measured,0:29,73%,93%,0.70%,69%,80%,46%,8%,14%,49%,56%,59%,25%,81%,14%,45%,12%,13%,11%,No data available,Plan not required to report measure,32%,No data available,No data available,0.70%,0:29,100,0:39,61,47%,24%,11%,No data available,15.97%,7.64%,1.43%,7.19%,4.31%,8.09,21%,21%,35%,16%,19%,100
H7409,Bright Health,"BRIGHT HEALTH COMPANY OF SOUTH CAROLINA, INC.","Bright Health Group, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,1:51,Plan too small to be measured,Plan too small to be measured,10.61%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan not required to report measure,Plan too small to be measured,No data available,No data available,10.61%,1:51,101,0:12,55,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,6.40%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7419,Tufts Health Plan,"TUFTS HEALTH PUBLIC PLANS, INC.","Point32Health, Inc.",67%,52%,Not enough data available,Not enough data available,20%,No data available,0:17,Plan too small to be measured,94%,0.78%,80%,89%,41%,10%,Not enough data available,43%,71%,10%,2%,74%,1%,22%,15%,16%,16%,100%,Plan not required to report measure,44%,100%,32%,0.78%,0:17,100,0:40,95,No data available,No data available,No data available,No data available,28.58%,10.86%,0.94%,No data available,12.97%,0.62,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7445,UnitedHealthcare,"UNITEDHEALTHCARE OF ILLINOIS, INC.","UnitedHealth Group, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan not required to report measure,Plan too small to be measured,No data available,0:42,Plan too small to be measured,Plan too small to be measured,2.50%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan not required to report measure,Plan too small to be measured,No data available,No data available,2.50%,0:42,No data available,0:39,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7464,UnitedHealthcare,"UNITEDHEALTHCARE OF THE MID-ATLANTIC, INC.","UnitedHealth Group, Inc.",48%,63%,Not enough data available,61%,31%,91,0:43,60%,96%,2.34%,74%,82%,46%,9%,25%,64%,48%,59%,12%,76%,6%,38%,9%,8%,10%,No data available,68%,31%,No data available,No data available,2.34%,0:43,100,0:39,63,61%,50%,8%,4%,16.94%,7.29%,0.77%,13.78%,9.12%,2.86,24%,43%,10%,Not Available,17%,100
H7511,Great Plains Medicare Advantage,"GOOD SAMARITAN INSURANCE PLAN OF NEBRASKA, INC.",Sanford Health,Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,0:13,Plan too small to be measured,100%,0.68%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,70%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,9%,0%,10%,No data available,99%,Not enough data available,No data available,No data available,0.68%,0:13,100,0:03,80,No data available,No data available,8%,8%,15.74%,5.38%,No data available,5.67%,13.09%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7512,Ascension Complete,CENTENE VENTURE COMPANY MICHIGAN,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7518,Wellcare,"WELLCARE OF MISSOURI HEALTH INSURANCE COMPANY, INC",Centene Corporation,Plan too small to be measured,Benefit not offered by plan,Benefit not offered by plan,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,0:26,Plan too small to be measured,Plan too small to be measured,1.06%,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,Benefit not offered by plan,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,1.06%,0:26,No data available,0:36,54,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7522,Medicare y Mucho MÃ¡s,"MMM HEALTHCARE, LLC",Anthem Inc.,Not enough data available,26%,Not enough data available,77%,24%,92,Not enough data available,23%,92%,Not enough data available,Not enough data available,Not enough data available,14%,0%,16%,75%,36%,48%,36%,78%,35%,49%,8%,0%,8%,95%,Plan not required to report measure,12%,68%,80%,Not enough data available,Not enough data available,No data available,Not enough data available,96,52%,44%,5%,No data available,No data available,No data available,No data available,3.04%,11.14%,0.26,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7556,Ascension Complete,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan not required to report measure,Plan too new to be measured,No data available,No data available,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7557,Longevity Health Plan,"LONGEVITY HEALTH PLAN OF MICHIGAN, INC.","Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:19,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.00%,0:19,No data available,0:03,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7559,Magellan Complete Care,"MAGELLAN COMPLETE CARE OF VIRGINIA, LLC.","Molina Healthcare, Inc.,",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:42,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,No data available,Plan too small to be measured,No data available,No data available,0.00%,0:42,No data available,0:14,78,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H7594,Brandman Health Plan,BRANDMAN HEALTH PLAN,Los Angeles Jewish Home for the Aging,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:10,Plan too new to be measured,Plan too new to be measured,2.68%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,2.68%,0:10,No data available,0:09,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7598,Group Health Cooperative of Eau Claire,GROUP HEALTH COOPERATIVE OF EAU CLAIRE,Group Health Cooperative of Eau Claire,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,0:00,Plan too new to be measured,Plan too new to be measured,0.79%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,0.79%,0:00,No data available,0:00,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
