CY2015 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Call Answer Timeliness - DMC02,Antidepressant Medication Management (6 months) - DMC03,Continuous Beta Blocker Treatment - DMC04,Appropriate Monitoring of Patients Taking Long-term Medications - DMC05,Osteoporosis Testing - DMC06,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC07,Doctors who Communicate Well - DMC08,Call Center – Beneficiary Hold Time - DMC09,Pneumonia Vaccine - DMC10,Access to Primary Care Doctor Visits - DMC11,Calls Disconnected When Customer Calls Health Plan - DMC12,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC13,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC14,Initiation of Alcohol or other Drug Treatment - DMC15,Engagement of Alcohol or other Drug Treatment - DMC16,Reminders for Appointments - DMC17,Reminders for Immunizations - DMC18,Reminders for Screening Tests - DMC19,Computer Used during Office Visits - DMC20,Computer Use by Doctor Helpful - DMC21,Computer Use Made Talking with Doctor Easier - DMC22,Improving Bladder Control - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H5410,"HealthSpring of Florida, Inc.",HEALTHSPRING OF FLORIDA,CIGNA,51%,80%,57%,92%,98%,87%,54%,94%,0:05,62%,99%,2.72%,69%,88%,21%,6%,85%,80%,62%,95%,96%,65%,43%,67%,75.00%,2.72%,0:05,5.9%,0.82%,100%,98,No data available,Not enough data available,0:03,47,0.0%,0.0%,38%,36%,100%,0.70,25%,30%,13%,9%,19%
H5414,Aetna Medicare,"AETNA HEALTH, INC. (FL)",Aetna Inc.,62%,84%,68%,92%,93%,87%,35%,91%,0:19,66%,97%,0.00%,80%,76%,42%,7%,65%,46%,38%,82%,Not enough data available,45%,37%,100%,100.00%,0.00%,0:19,5.3%,0.68%,96%,98,No data available,Not enough data available,0:19,98,0.0%,0.0%,41%,18%,96%,CMS Found Issues with Plan's Data,21%,30%,21%,14%,13%
H5415,"Humana Health Insurance Company of Florida, Inc.","HUMANA HEALTH INSURANCE COMPANY OF FLORIDA, INC.",Humana Inc.,Not enough data available,93%,54%,Not enough data available,94%,89%,38%,91%,0:32,81%,98%,0.39%,79%,87%,24%,2%,68%,61%,46%,89%,Not enough data available,43%,35%,100%,No data available,0.39%,0:32,4.4%,1.10%,100%,100,11.11%,Not enough data available,0:04,99,No data available,No data available,50%,22%,95%,CMS Found Issues with Plan's Data,19%,37%,20%,7%,15%
H5417,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,73%,Not enough data available,95%,64%,Not enough data available,No data available,0:55,No data available,99%,1.92%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,30%,100%,No data available,1.92%,0:55,10.9%,0.96%,No data available,No data available,18.24%,No data available,0:04,100,No data available,0.0%,No data available,No data available,No data available,0.13,No data available,No data available,No data available,No data available,No data available
H5420,"Medica HealthCare Plans, Inc.","MEDICA HEALTHCARE PLANS, INC.","UnitedHealth Group, Inc.",45%,67%,50%,94%,95%,83%,39%,93%,0:32,48%,98%,0.00%,68%,85%,11%,1%,68%,44%,45%,73%,Not enough data available,55%,41%,73%,100.00%,0.00%,0:32,6.7%,1.58%,100%,99,No data available,Not enough data available,0:04,98,0.0%,0.0%,54%,21%,98%,1.48,17%,34%,17%,16%,10%
H5422,Blue Cross Blue Shield Healthcare Plan of Georgia,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Inc.,Not enough data available,94%,46%,Not enough data available,91%,73%,48%,Not enough data available,0:32,62%,94%,0.76%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,59%,46%,42%,83%,Not enough data available,59%,Not enough data available,100%,No data available,0.76%,0:32,3.3%,0.00%,100%,102,No data available,Not enough data available,0:10,97,No data available,0.0%,39%,20%,95%,2.05,17%,21%,48%,11%,10%
H5424,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",61%,91%,46%,94%,92%,66%,26%,Not enough data available,0:31,69%,96%,1.70%,76%,88%,38%,2%,58%,57%,50%,76%,Not enough data available,58%,40%,100%,No data available,1.70%,0:31,4.5%,0.66%,No data available,98,8.28%,Not enough data available,0:03,99,0.0%,0.0%,54%,33%,95%,0.98,15%,24%,21%,9%,12%
H5425,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,39%,73%,48%,91%,94%,82%,32%,Not enough data available,0:05,77%,97%,1.66%,58%,63%,12%,1%,59%,47%,38%,86%,Not enough data available,56%,39%,70%,100.00%,1.66%,0:05,5.9%,0.36%,100%,99,7.67%,Not enough data available,0:17,97,0.0%,0.0%,42%,25%,94%,2.08,11%,29%,19%,10%,8%
H5427,"Freedom Health, Inc.","FREEDOM HEALTH, INC.","America's 1st Choice Holdings of Florida, LLC",43%,85%,56%,89%,94%,79%,80%,Not enough data available,0:03,64%,97%,0.00%,73%,78%,11%,1%,71%,41%,46%,81%,Not enough data available,43%,30%,No data available,No data available,0.00%,0:03,6.4%,1.18%,100%,98,7.14%,Not enough data available,0:03,98,0.0%,0.0%,46%,17%,97%,5.30,15%,31%,12%,8%,11%
H5428,Health Plan of San Mateo,SAN MATEO HEALTH COMMISSION,Health Plan of San Mateo,59%,94%,43%,88%,92%,62%,20%,No data available,0:30,No data available,96%,0.63%,69%,88%,32%,3%,No data available,No data available,No data available,No data available,No data available,No data available,30%,No data available,No data available,0.63%,0:30,5.1%,1.52%,100%,100,14.77%,No data available,0:48,95,No data available,No data available,No data available,No data available,No data available,4.54,7%,11%,7%,4%,4%
H5430,Care1st+,ONECARE BY CARE1ST HEALTH PLAN ARIZONA INC.,Care1st Health Plan,45%,94%,44%,Not enough data available,89%,74%,63%,Not enough data available,0:03,56%,92%,3.20%,70%,82%,34%,0%,65%,50%,46%,92%,Not enough data available,49%,Not enough data available,No data available,No data available,3.20%,0:03,3.1%,0.25%,100%,99,No data available,Not enough data available,0:07,98,No data available,0.0%,44%,28%,No data available,CMS Found Issues with Plan's Data,3%,39%,5%,3%,2%
H5431,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.","HealthSun Health Plans, Inc",31%,97%,57%,92%,97%,74%,15%,94%,0:05,33%,97%,0.50%,66%,82%,7%,1%,75%,66%,60%,92%,Not enough data available,62%,Not enough data available,No data available,No data available,0.50%,0:05,6.5%,0.56%,96%,100,No data available,Not enough data available,0:03,98,0.0%,6.7%,31%,42%,100%,CMS Found Issues with Plan's Data,26%,29%,13%,11%,28%
H5433,OneCare,ORANGE COUNTY HEALTH AUTHORITY,Orange County Health Authority,48%,89%,46%,94%,92%,59%,34%,Not enough data available,0:07,63%,94%,0.50%,68%,91%,Benefit not offered by plan ,Benefit not offered by plan ,68%,57%,47%,73%,Not enough data available,51%,43%,90%,100.00%,0.50%,0:07,5.9%,0.38%,100%,No data available,9.26%,Not enough data available,0:09,99,0.0%,0.0%,55%,35%,No data available,4.24,21%,48%,8%,14%,13%
H5434,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,Not enough data available,66%,64%,Not enough data available,93%,90%,40%,92%,0:07,77%,96%,0.60%,71%,76%,28%,0%,61%,51%,45%,86%,Not enough data available,45%,37%,100%,No data available,0.60%,0:07,5.7%,0.54%,100%,98,23.08%,Not enough data available,0:02,99,0.0%,0.0%,50%,18%,91%,CMS Found Issues with Plan's Data,13%,12%,32%,12%,10%
H5435,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",51%,85%,52%,90%,90%,72%,27%,91%,0:48,70%,94%,3.83%,70%,73%,40%,2%,57%,50%,31%,85%,Not enough data available,56%,27%,100%,100.00%,3.83%,0:48,5.5%,1.08%,100%,98,26.34%,Not enough data available,0:03,98,0.0%,0.0%,39%,17%,95%,2.23,7%,7%,36%,5%,6%
H5439,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",Not enough data available,72%,53%,Not enough data available,90%,73%,40%,Not enough data available,0:10,73%,93%,0.00%,Not enough data available,Not enough data available,22%,1%,53%,42%,30%,83%,Not enough data available,55%,32%,0%,No data available,0.00%,0:10,4.7%,0.00%,100%,102,9.09%,Not enough data available,0:13,98,No data available,0.0%,39%,14%,98%,3.76,28%,25%,35%,11%,15%
H5441,Healthfirst Medicare Plan,"MANAGED HEALTH, INC.","Healthfirst, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5471,"Simply Healthcare Plans, Inc.","SIMPLY HEALTHCARE PLANS, INC.",Anthem Inc.,41%,87%,63%,89%,96%,71%,18%,94%,0:01,46%,94%,0.00%,76%,92%,16%,1%,77%,62%,56%,87%,96%,69%,Not enough data available,100%,No data available,0.00%,0:01,5.9%,0.94%,100%,102,30.00%,81%,0:10,97,0.0%,0.0%,51%,49%,99%,1.39,22%,35%,8%,11%,17%
H5475,Meridian Health Plan,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.","Caidan Enterprises, Inc.",49%,93%,Not enough data available,Not enough data available,86%,64%,Not enough data available,Not enough data available,0:01,53%,95%,0.00%,61%,90%,49%,6%,60%,41%,55%,75%,Not enough data available,56%,Not enough data available,No data available,No data available,0.00%,0:01,5.6%,1.51%,100%,98,No data available,82%,0:15,38,No data available,0.0%,38%,27%,94%,9.02,27%,52%,14%,23%,23%
H5507,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",Not enough data available,85%,65%,90%,90%,85%,41%,91%,0:45,77%,97%,3.73%,79%,84%,27%,5%,58%,50%,36%,84%,Not enough data available,42%,33%,100%,No data available,3.73%,0:45,5.9%,1.08%,No data available,98,17.14%,Not enough data available,0:04,98,No data available,0.0%,48%,12%,97%,5.51,14%,43%,23%,10%,11%
H5508,"ADVANTAGE Health Solutions, Inc.","ADVANTAGE HEALTH SOLUTIONS, INC.",Advantage Health Solutions,78%,51%,61%,90%,88%,81%,44%,92%,1:21,69%,95%,0.49%,71%,67%,30%,6%,51%,29%,30%,91%,Not enough data available,55%,37%,50%,No data available,0.00%,0:05,5.3%,0.88%,100%,100,21.15%,84%,0:03,93,0.0%,0.0%,35%,13%,92%,0.11,16%,27%,29%,10%,8%
H5509,Coventry Health Care,COVENTRY HEALTH AND LIFE INSURANCE COMPANY,Aetna Inc.,57%,74%,60%,89%,89%,81%,42%,91%,0:14,73%,95%,2.88%,73%,75%,26%,3%,52%,32%,33%,84%,Not enough data available,48%,37%,100%,No data available,2.97%,0:14,5.9%,0.65%,No data available,98,17.21%,78%,0:10,97,0.0%,6.7%,33%,14%,99%,CMS Found Issues with Plan's Data,10%,13%,35%,8%,8%
H5516,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",62%,85%,50%,92%,93%,80%,Not enough data available,Not enough data available,0:45,73%,98%,3.80%,80%,82%,41%,4%,61%,54%,41%,92%,Not enough data available,52%,31%,100%,No data available,3.80%,0:45,5.2%,1.52%,No data available,98,18.75%,Not enough data available,0:04,98,0.0%,0.0%,51%,24%,98%,3.26,12%,15%,44%,6%,9%
H5520,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,"Health Net, Inc.",51%,68%,60%,84%,91%,78%,35%,91%,0:02,80%,94%,1.00%,75%,76%,26%,3%,62%,51%,40%,88%,Not enough data available,51%,37%,100%,100.00%,1.00%,0:02,4.6%,0.26%,100%,101,15.71%,Not enough data available,0:13,97,0.0%,0.0%,25%,21%,97%,1.79,12%,30%,19%,6%,11%
H5521,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,Aetna Inc.,56%,84%,65%,93%,92%,86%,38%,93%,0:17,78%,97%,0.27%,73%,80%,37%,5%,58%,45%,34%,84%,Not enough data available,51%,35%,97%,100.00%,0.27%,0:17,5.9%,0.64%,96%,98,15.35%,Not enough data available,0:15,98,0.0%,0.0%,35%,14%,96%,CMS Found Issues with Plan's Data,19%,28%,34%,17%,14%
H5522,HealthAmerica,"HEALTHASSURANCE PENNSYLVANIA, INC.",Aetna Inc.,52%,66%,62%,93%,92%,77%,42%,93%,0:11,75%,96%,2.00%,80%,82%,33%,3%,61%,56%,44%,86%,Not enough data available,51%,34%,100%,No data available,1.92%,0:17,5.6%,0.66%,96%,98,17.79%,Not enough data available,0:11,98,6.7%,0.0%,40%,17%,98%,CMS Found Issues with Plan's Data,13%,12%,40%,10%,10%
H5525,"Humana Benefit Plan of Illinois, Inc.","HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,52%,93%,59%,88%,91%,71%,29%,92%,0:31,72%,97%,0.33%,77%,81%,37%,2%,60%,48%,43%,91%,Not enough data available,45%,33%,100%,No data available,0.33%,0:31,4.7%,0.71%,100%,99,21.99%,Not enough data available,0:04,98,No data available,No data available,48%,18%,96%,CMS Found Issues with Plan's Data,14%,17%,33%,10%,13%
H5526,BCBS of WNY/BS of NENY/HealthNow New York Inc.,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,Not enough data available,60%,54%,89%,92%,87%,46%,92%,0:25,76%,98%,1.96%,73%,85%,33%,11%,54%,35%,32%,83%,Not enough data available,47%,40%,100%,100.00%,1.96%,0:25,6.9%,0.56%,100%,101,16.46%,Not enough data available,0:11,98,0.0%,6.7%,33%,11%,86%,0.15,6%,9%,51%,8%,3%
H5528,EmblemHealth Medicare PPO,GROUP HEALTH INCORPORATED,"EmblemHealth, Inc.",Not enough data available,79%,67%,88%,92%,79%,50%,89%,0:32,59%,95%,0.00%,68%,83%,35%,1%,57%,51%,40%,74%,Not enough data available,55%,33%,50%,No data available,1.86%,0:20,5.6%,0.42%,100%,100,21.62%,74%,0:16,99,No data available,No data available,47%,31%,97%,1.19,20%,25%,30%,19%,14%
H5529,Anthem Blue Cross and Blue Shield,COMMUNITY INSURANCE COMPANY,Anthem Inc.,58%,81%,63%,86%,91%,81%,33%,92%,1:09,75%,97%,0.92%,74%,69%,38%,3%,60%,47%,44%,83%,Not enough data available,44%,39%,100%,50.00%,0.92%,1:09,6.1%,0.40%,No data available,101,19.67%,Not enough data available,0:10,96,0.0%,0.0%,42%,17%,96%,1.06,9%,15%,50%,6%,8%
H5530,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS OF KENTUCKY, INC.",Anthem Inc.,Not enough data available,81%,51%,Not enough data available,93%,80%,32%,92%,1:22,73%,97%,2.99%,72%,84%,22%,0%,61%,42%,40%,84%,Not enough data available,45%,31%,No data available,100.00%,2.99%,1:22,5.5%,0.09%,100%,101,20.00%,Not enough data available,0:09,96,0.0%,0.0%,34%,18%,86%,0.77,12%,9%,45%,9%,9%
H5532,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",41%,85%,61%,89%,93%,87%,37%,91%,0:45,68%,97%,3.80%,81%,74%,40%,3%,60%,52%,38%,85%,Not enough data available,52%,30%,100%,No data available,3.80%,0:45,5.4%,1.59%,No data available,99,No data available,Not enough data available,0:04,98,0.0%,0.0%,45%,19%,96%,5.90,9%,13%,36%,7%,8%
H5533,UPMC Health Plan,"UPMC HEALTH NETWORK, INC.",UPMC Health System,67%,71%,64%,91%,90%,77%,40%,93%,0:14,74%,95%,0.00%,86%,74%,36%,3%,58%,42%,39%,86%,Not enough data available,43%,34%,100%,No data available,0.00%,0:14,5.4%,0.87%,100%,99,22.06%,Not enough data available,0:11,97,No data available,0.0%,38%,14%,95%,4.19,8%,7%,28%,8%,5%
H5549,VNSNY CHOICE Medicare,VNS CHOICE,Visiting Nurse Service of New York,34%,86%,42%,94%,93%,59%,39%,89%,0:02,52%,95%,1.21%,67%,88%,41%,4%,61%,63%,52%,88%,Not enough data available,69%,38%,60%,No data available,1.21%,0:02,7.0%,0.19%,100%,96,17.39%,79%,0:05,100,20.0%,46.7%,54%,61%,100%,1.83,23%,28%,12%,7%,21%
H5576,"Vantage Health Plan, Inc.","VANTAGE HEALTH PLAN, INC.","Vantage Holdings, Inc.",Not enough data available,88%,34%,Not enough data available,91%,73%,26%,95%,0:19,69%,97%,0.00%,52%,70%,17%,1%,56%,35%,33%,73%,Not enough data available,60%,35%,No data available,No data available,0.00%,0:19,5.1%,0.78%,100%,98,20.93%,85%,0:15,96,No data available,0.0%,21%,15%,96%,0.62,28%,25%,33%,17%,16%
H5577,MCS Classicare,"MCS ADVANTAGE, INC.","Medical Card System, Inc.",76%,92%,34%,82%,95%,79%,1%,Not enough data available,0:03,25%,98%,4.64%,41%,56%,24%,1%,49%,39%,44%,73%,Not enough data available,72%,Not enough data available,100%,100.00%,4.64%,0:03,5.1%,0.33%,100%,98,No data available,Not enough data available,0:03,98,No data available,No data available,35%,34%,95%,CMS Found Issues with Plan's Data,13%,19%,23%,21%,13%
H5580,Mercy Care Advantage,SOUTHWEST CATHOLIC HEALTH NETWORK CORPORATION,Southwest Catholic Health Network,53%,79%,71%,90%,95%,72%,38%,Not enough data available,0:21,69%,96%,1.42%,77%,88%,27%,3%,66%,54%,44%,83%,Not enough data available,51%,36%,71%,100.00%,1.42%,0:21,6.5%,0.35%,100%,98,26.42%,Not enough data available,0:09,98,6.7%,26.7%,47%,27%,No data available,5.38,15%,17%,12%,9%,12%
H5587,Health Choice Generations HMO SNP,"HEALTH CHOICE ARIZONA, INC.",IASIS Healthcare,41%,88%,59%,90%,92%,71%,30%,Not enough data available,0:37,64%,95%,1.90%,78%,88%,41%,2%,61%,36%,42%,82%,Not enough data available,55%,33%,50%,No data available,1.90%,0:37,6.2%,1.25%,100%,101,No data available,Not enough data available,0:07,97,26.7%,53.3%,40%,29%,No data available,2.31,19%,32%,14%,16%,15%
H5590,Bridgeway Health Solutions,BRIDGEWAY HEALTH SOLUTIONS,Centene Corporation,Not enough data available,83%,Not enough data available,Not enough data available,96%,66%,Not enough data available,Not enough data available,0:07,81%,100%,0.00%,Not enough data available,Not enough data available,82%,16%,55%,62%,34%,83%,Not enough data available,55%,29%,No data available,No data available,0.00%,0:07,9.0%,0.00%,100%,98,27.27%,Not enough data available,0:15,98,No data available,0.0%,37%,34%,No data available,0.54,No data available,No data available,No data available,No data available,No data available
H5591,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS, LLC","Martin's Point Health Care, Inc.",74%,CMS Found Issues with Plan’s Data,67%,90%,90%,88%,42%,92%,0:02,76%,96%,0.00%,82%,79%,45%,7%,55%,32%,30%,91%,93%,48%,38%,100%,100.00%,0.00%,0:02,3.8%,0.28%,100%,98,12.96%,88%,0:08,98,No data available,0.0%,18%,10%,98%,1.19,5%,3%,46%,6%,3%
H5594,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.","America's 1st Choice Holdings of Florida, LLC",47%,85%,56%,90%,96%,80%,80%,Not enough data available,0:03,66%,97%,0.00%,80%,79%,9%,0%,75%,52%,47%,80%,Not enough data available,46%,32%,0%,100.00%,0.00%,0:03,6.3%,1.37%,100%,98,No data available,Not enough data available,0:03,98,0.0%,0.0%,51%,23%,97%,4.77,14%,24%,17%,7%,10%
H5608,"Denver Health Medical Plan, Inc.","DENVER HEALTH MEDICAL PLAN, INC.",Denver Health and Hospital Authority,38%,89%,46%,Not enough data available,89%,55%,30%,91%,0:12,65%,95%,2.42%,62%,67%,27%,1%,59%,45%,50%,91%,Not enough data available,59%,39%,No data available,No data available,2.42%,0:12,7.0%,0.09%,100%,99,7.14%,Not enough data available,0:06,23,0.0%,0.0%,39%,24%,99%,1.92,14%,18%,13%,8%,11%
H5609,Blue Shield of California,GEMCARE HEALTH PLAN INC.,California Physicians' Service,Not enough data available,82%,43%,Not enough data available,93%,72%,22%,91%,0:16,74%,89%,0.71%,69%,80%,26%,1%,56%,38%,36%,67%,Not enough data available,47%,38%,No data available,No data available,0.71%,0:16,7.4%,0.47%,100%,100,12.50%,Not enough data available,0:05,98,No data available,0.0%,34%,16%,98%,CMS Found Issues with Plan's Data,12%,27%,19%,7%,6%
H5613,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5619,"Arcadian Health Plan, Inc.","ARCADIAN HEALTH PLAN, INC.",Humana Inc.,Not enough data available,93%,51%,97%,92%,76%,28%,Not enough data available,0:32,74%,96%,0.39%,82%,83%,37%,5%,60%,43%,39%,88%,Not enough data available,54%,37%,100%,No data available,0.39%,0:32,4.0%,0.48%,100%,99,25.64%,Not enough data available,0:04,99,No data available,No data available,35%,19%,95%,CMS Found Issues with Plan's Data,25%,19%,36%,10%,17%
H5628,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare, Inc.,",65%,90%,52%,Not enough data available,90%,63%,34%,90%,0:10,67%,96%,1.39%,64%,83%,37%,3%,61%,41%,46%,91%,96%,52%,Not enough data available,100%,100.00%,1.39%,0:10,6.8%,0.15%,100%,100,19.23%,79%,0:08,98,0.0%,0.0%,41%,31%,88%,6.83,32%,35%,15%,20%,19%
H5640,IEHP Medicare DualChoice,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,68%,80%,45%,84%,91%,50%,13%,Not enough data available,0:08,50%,93%,0.00%,67%,88%,32%,3%,57%,39%,39%,71%,Not enough data available,54%,Not enough data available,No data available,No data available,0.00%,0:08,6.8%,0.06%,No data available,98,No data available,82%,0:03,99,No data available,0.0%,37%,30%,No data available,4.79,8%,13%,3%,5%,6%
H5649,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",AHMC Central Health LLC,Not enough data available,83%,45%,Not enough data available,93%,67%,8%,89%,0:01,54%,94%,0.00%,52%,78%,7%,0%,66%,74%,58%,57%,93%,65%,35%,100%,No data available,0.00%,0:01,5.0%,0.31%,96%,99,7.14%,Not enough data available,0:05,99,No data available,No data available,39%,40%,98%,0.65,No data available,No data available,No data available,No data available,No data available
H5652,Erickson Advantage,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not enough data available,85%,55%,Not enough data available,97%,86%,29%,93%,0:35,95%,100%,1.60%,Not enough data available,Not enough data available,33%,3%,64%,61%,27%,95%,94%,43%,44%,No data available,No data available,1.60%,0:35,7.7%,1.14%,100%,97,14.14%,86%,0:04,99,No data available,0.0%,23%,8%,98%,0.89,1%,98%,22%,No data available,No data available
H5656,Universal American Corp.,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,36%,81%,61%,Not enough data available,95%,71%,32%,91%,0:02,65%,90%,1.67%,71%,79%,45%,5%,61%,50%,49%,85%,Not enough data available,63%,26%,No data available,No data available,1.67%,0:02,5.4%,0.42%,100%,97,12.00%,Not enough data available,0:10,98,No data available,0.0%,51%,40%,100%,8.88,21%,49%,12%,11%,13%
H5685,HAP Midwest Advantage,"HAP MIDWEST HEALTH PLAN, INC.",Henry Ford Health System,23%,78%,Not enough data available,Not enough data available,67%,Not enough data available,Not enough data available,Not enough data available,0:16,50%,95%,0.00%,Not enough data available,Not enough data available,51%,3%,60%,50%,46%,79%,Not enough data available,59%,Not enough data available,No data available,No data available,1.63%,0:04,3.6%,0.63%,100%,100,No data available,79%,0:16,99,No data available,0.0%,48%,33%,No data available,CMS Found Issues with Plan's Data,No data available,No data available,No data available,No data available,No data available
H5698,WellCare,"WINDSOR HEALTH PLAN, INC.","WellCare Health Plans, Inc.",28%,85%,39%,Not enough data available,91%,53%,31%,91%,0:11,56%,94%,2.78%,61%,73%,20%,2%,60%,52%,51%,81%,92%,61%,25%,100%,100.00%,2.78%,0:11,7.3%,0.56%,100%,99,21.90%,77%,0:07,98,40.0%,33.3%,41%,42%,97%,6.47,27%,18%,18%,18%,17%
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not enough data available,83%,Not enough data available,Not enough data available,92%,Not enough data available,Not enough data available,No data available,0:03,No data available,98%,0.00%,Not enough data available,Not enough data available,27%,7%,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,No data available,No data available,0.00%,0:03,4.0%,2.17%,96%,98,No data available,No data available,0:12,97,No data available,0.0%,No data available,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
