2021 Summary Star View: Medicare Report Card Master Table,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,SNP,2018 Disaster %,2019 Disaster %,2021 Part C Summary,2021 Part D Summary,2021 Overall
H3815 ,Local CCP ,ALIGNMENT HEALTH PLAN ,Alignment Health Plan ,"Alignment Healthcare USA, LLC ",Yes ,25,0,4,5,4
H3817 ,Local CCP ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,Regence BlueCross BlueShield of Oregon ,"Cambia Health Solutions, Inc. ",No ,0,0,4.5,4,4.5
H3822 ,Local CCP ,HEALTH CARE SERVICE CORPORATION ,"Blue Cross and Blue Shield of IL, NM ",Health Care Service Corporation ,No ,0,0,3.5,4,3.5
H3832 ,Local CCP ,HAWAII MEDICAL SERVICE ASSOCIATION ,HMSA Akamai Advantage ,Hawaii Medical Service Association ,Yes ,0,0,3.5,3.5,3.5
H3864 ,Local CCP ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource Medicare ,PacificSource ,No ,0,0,4,3.5,4
H3890 ,Local CCP ,"HOPKINS HEALTH ADVANTAGE, INC. ",Johns Hopkins HealthCare ,Johns Hopkins Healthcare LLC ,No ,0,0,3.5,3,3
H3907 ,Local CCP ,"UPMC HEALTH PLAN, INC. ",UPMC for Life ,UPMC Health System ,No ,0,0,4,4.5,4
H3909 ,Local CCP ,QCC INSURANCE COMPANY ,Independence Blue Cross ,"Independence Health Group, Inc. ",No ,0,0,3.5,3.5,3.5
H3916 ,Local CCP ,HIGHMARK SENIOR HEALTH COMPANY ,Highmark Inc. ,Highmark Health ,No ,1,0,4.5,4.5,4.5
H3923 ,Local CCP ,CAPITAL ADVANTAGE INSURANCE COMPANY ,Capital Advantage Insurance Company ,Capital BlueCross ,No ,0,0,3.5,4,4
H3924 ,Local CCP ,GEISINGER INDEMNITY INSURANCE COMPANY ,Geisinger Gold ,Geisinger Health ,No ,0,0,4,3.5,3.5
H3928 ,Local CCP ,AETNA HEALTH INC. (LA) ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,3.5,3.5,3.5
H3931 ,Local CCP ,AETNA HEALTH INC. (PA) ,Aetna Medicare ,CVS Health Corporation ,No ,1,0,3.5,3.5,3.5
H3949 ,Local CCP ,"BRAVO HEALTH PENNSYLVANIA, INC. ",Cigna ,CIGNA ,Yes ,0,0,4,4,4
H3952 ,Local CCP ,"KEYSTONE HEALTH PLAN EAST, INC. ",Independence Blue Cross ,"Independence Health Group, Inc. ",No ,0,0,4,3.5,4
H3954 ,Local CCP ,GEISINGER HEALTH PLAN ,Geisinger Gold ,Geisinger Health ,Yes ,0,0,4,4,4
H3957 ,Local CCP ,HIGHMARK CHOICE COMPANY ,Highmark Inc. ,Highmark Health ,No ,0,0,4,4.5,4
H3959 ,Local CCP ,AETNA HEALTH INC. (PA) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,4,4.5,4.5
H3962 ,Local CCP ,"KEYSTONE HEALTH PLAN CENTRAL, INC. ","Keystone Health Plan Central, Inc. ",Capital BlueCross ,Yes ,0,0,3.5,3.5,3.5
H3975 ,Local CCP ,"WELLCARE HEALTH INSURANCE COMPANY OF KENTUCKY, INC ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H3979 ,Local CCP ,"GHS HEALTH MAINTENANCE ORGANIZATION, INC. ",Blue Cross and Blue Shield of Oklahoma ,Health Care Service Corporation ,No ,0,0,3.5,3,3.5
H4003 ,Local CCP ,"MMM HEALTHCARE, LLC ",Medicare y Mucho Más ,"Summit Master Company, LLC ",Yes ,0,37,4,5,4
H4004 ,Local CCP ,"MMM HEALTHCARE, LLC ",PMC Medicare Choice ,"Summit Master Company, LLC ",Yes ,0,48,4,5,4.5
H4005 ,Local CCP ,"TRIPLE S ADVANTAGE, INC. ",Triple-S Advantage ,Triple-S Management Corporation ,No ,0,17,3.5,4,3.5
H4007 ,Local CCP ,"HUMANA HEALTH PLANS OF PUERTO RICO, INC. ",Humana ,Humana Inc. ,Yes ,0,36,4,4.5,4
H4036 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,No ,3,0,4,3.5,4
H4091 ,Local CCP ,"SIMPRA ADVANTAGE, INC. ",Simpra Advantage ,"SeniorSelect Partners, Inc ",Yes ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H4093 ,Local CCP ,"PROVIDER PARTNERS HEALTH PLAN OF PENNSYLVANIA, INC ",Provider Partners Health Plans ,"Rifkin Managed Care Holding Company, LLC ",Yes ,0,0,Not enough data available ,2.5,Not enough data available
H4094 ,Local CCP ,"OPTIMUM CHOICE, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H4140 ,Local CCP ,"DOCTORS HEALTHCARE PLANS, INC. ","Doctors HealthCare Plans, Inc. ","DOCTORS HEALTHCARE PLANS, INC. ",Yes ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H4141 ,Local CCP ,"HUMANA EMPLOYERS HEALTH PLAN OF GEORGIA, INC. ",Humana ,Humana Inc. ,Yes ,0,0,4,3.5,4
H4152 ,Local CCP ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,Blue Cross & Blue Shield of Rhode Island ,No ,0,0,4,4.5,4
H4172 ,Local CCP ,"NHC ADVANTAGE, LLC ",NHC Advantage ,"Missouri Healthcare Advisors, LLC ",Yes ,0,0,Not enough data available ,5,Not enough data available
H4198 ,Local CCP ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",CommunityCare Advantage Medicare Plan (HMO) ,St Francis Health System & St John Health System ,No ,0,0,3.5,3,3.5
H4213 ,PFFS ,USABLE MUTUAL INSURANCE COMPANY ,Arkansas Blue Medicare ,USAble Mutual Insurance Company ,No ,0,0,3,3.5,3
H4227 ,Local CCP ,"VISTA HEALTH PLAN, INC. ",VISTA Health Plan Inc. ,"Independence Health Group, Inc. ",Yes ,0,0,4,3.5,4
H4232 ,Local CCP ,"AMERICAN HEALTH PLAN OF UT, INC. ",American Health Advantage of Utah ,"American Health Companies, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4236 ,Local CCP ,"SPARTAN PLAN PA, INC. ",Sunrise Advantage Plan ,Public Sector Pension Investment Board ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4279 ,Local CCP ,"UPMC FOR YOU, INC ",UPMC for Life Dual ,UPMC Health System ,Yes ,0,0,3.5,4.5,4
H4304 ,Local CCP ,UNIVERSITY OF UTAH HEALTH INSURANCE PLANS ,Advantage U ,University of Utah ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4343 ,Local CCP ,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC. ",Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4346 ,Local CCP ,"HMO COLORADO, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,Yes ,0,0,3,3,3
H4388 ,MSA ,"SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Security Health Plan of Wisconsin, Inc. ","Marshfield Clinic Health System, Inc. ",No ,0,0,3,Not Applicable ,Not enough data available
H4407 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna ,CIGNA ,Yes ,0,0,4,3.5,4
H4461 ,Local CCP ,CARITEN HEALTH PLAN INC. ,Humana ,Humana Inc. ,Yes ,0,0,4.5,4.5,4.5
H4490 ,Local CCP ,"MISSOURI MEDICARE SELECT, LLC ",American Health Advantage of Missouri ,"American Health Companies, Inc. ",Yes ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H4497 ,Local CCP ,MEDICAL MUTUAL OF OHIO ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,No ,0,0,4.5,4.5,4.5
H4506 ,Local CCP ,"SELECTCARE OF TEXAS, INC. ",WellCare ,Centene Corporation ,No ,0,0,3.5,4,3.5
H4513 ,Local CCP ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",Cigna ,CIGNA ,Yes ,0,0,4,4,4.5
H4514 ,Local CCP ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,4,3.5
H4523 ,Local CCP ,AETNA HEALTH INC. (TX) ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,3.5,3.5,3.5
H4527 ,Local CCP ,"PHYSICIANS HEALTH CHOICE OF TEXAS, LLC ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,3.5,3.5
H4544 ,Local CCP ,"PEOPLES HEALTH, INC. ",Peoples Health ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4590 ,Local CCP ,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4.5,4,4.5
H4604 ,Local CCP ,"UNITEDHEALTHCARE OF UTAH, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,3.5,4
H4605 ,Local CCP ,REGENCE BLUECROSS BLUESHIELD OF UTAH ,Regence BlueCross BlueShield of Utah ,"Cambia Health Solutions, Inc. ",No ,0,0,4.5,3.5,4
H4623 ,Local CCP ,"HUMANA REGIONAL HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H4624 ,Local CCP ,"ZING HEALTH OF MICHIGAN, INC. ",Zing Health ,"ZING HEALTH HOLDINGS OF MICHIGAN, INC. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4675 ,Local CCP ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,Braven Health ,"NJ Collaborative Care, LLC ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4676 ,Local CCP ,"TROY HEALTH, INC. ",Troy Medicare ,"Troy Holdings, Inc. ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4699 ,Local CCP ,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4709 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,Bright Health ,"Bright Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4711 ,Local CCP ,"COVENTRY HEALTH CARE OF NEBRASKA, INC. ",Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4754 ,Local CCP ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource Medicare ,PacificSource ,No ,0,0,3.5,3.5,3.5
H4778 ,Local CCP ,"SPARTAN PLAN IL, INC. ",Sunrise Advantage Plan ,Public Sector Pension Investment Board ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4829 ,Local CCP ,UHC OF CALIFORNIA ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4835 ,Local CCP ,AETNA BETTER HEALTH OF OKLAHOMA INC. ,Aetna Medicare ,CVS Health Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4847 ,Local CCP ,"WELLCARE OF SOUTH CAROLINA, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H4853 ,Local CCP ,BRIGHT HEALTH COMPANY OF ARIZONA ,Bright Health ,"Bright Health, Inc. ",No ,0,0,2,3,2.5
H4868 ,Local CCP ,"WELLCARE OF NEW YORK, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,4,3.5,3.5
H4875 ,Local CCP ,PRIORITY HEALTH ,Priority Health Medicare ,Spectrum Health System ,No ,0,0,3.5,4,3.5
H4882 ,Local CCP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",No ,0,0,4.5,4,4.5
H4909 ,Local CCP ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,Yes ,21,0,4,4.5,4
H4922 ,Local CCP ,"AGEWELL NEW YORK, LLC ",AgeWell New York ,"ParkerCare New York, LLC ",Yes ,0,0,2.5,3,2.5
H4931 ,Local CCP ,BANNER - UNIVERSITY CARE ADVANTAGE ,Banner - University Care Advantage ,Banner Health ,Yes ,0,0,3.5,3.5,3.5
H4937 ,Local CCP ,CALIFORNIA PHYSICIANS' SERVICE ,Blue Shield of California ,California Physicians' Service ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4961 ,Local CCP ,ALIGNMENT HEALTH PLAN ,Alignment Health Plan ,"Alignment Healthcare USA, LLC ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4982 ,Local CCP ,AETNA BETTER HEALTH OF CALIFORNIA INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5008 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,3.5,3.5,3.5
H5009 ,Local CCP ,REGENCE BLUESHIELD ,Regence BlueShield ,"Cambia Health Solutions, Inc. ",No ,0,0,4,3.5,4
H5010 ,Local CCP ,ASURIS NORTHWEST HEALTH ,Asuris Northwest Health ,"Cambia Health Solutions, Inc. ",No ,0,0,4,3.5,4
H5015 ,Local CCP ,"TEXAS INDEPENDENCE HEALTH PLAN, INC. ",Texas Independence Health Plan ,Regency ISNP Holdings LLC ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5042 ,Local CCP ,"CDPHP UNIVERSAL BENEFITS, INC. ",CDPHP Medicare Advantage ,"Capital District Physicians' Health Plan, Inc. ",No ,0,0,5,5,5
H5050 ,Local CCP ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,Kaiser Foundation Health Plan of Washington ,"Kaiser Foundation Health Plan, Inc. ",No ,0,0,4.5,4.5,4.5
H5087 ,Local CCP ,"WELLCARE OF CALIFORNIA, INC. ",WellCare ,Centene Corporation ,Yes ,79,0,4,5,4.5
H5106 ,Local CCP ,HIGHMARK SENIOR SOLUTIONS COMPANY ,Highmark Inc. ,Highmark Health ,No ,0,0,4,3.5,3.5
H5117 ,Local CCP ,"LOUISIANA HEALTHCARE CONNECTIONS, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5126 ,Local CCP ,OSCAR INSURANCE COMPANY ,Oscar ,"Mulberry Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5140 ,Local CCP ,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,Blue Cross Blue Shield of Arizona ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5141 ,Local CCP ,CLOVER INSURANCE COMPANY ,Clover Health ,"Clover Health Holdings, Inc. ",No ,0,0,3.5,3,3
H5172 ,Demo ,COMMUNITY HEALTH GROUP ,Community Health Group ,Community Health Group ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5178 ,Local CCP ,"HUMANA HEALTH PLAN, INC. ",Humana ,Humana Inc. ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5190 ,Local CCP ,"SUNSHINE STATE HEALTH PLAN, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,3.5,3.5,3.5
H5199 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",WellCare ,Centene Corporation ,No ,0,0,Plan too new to be measured ,3,Plan too new to be measured
H5209 ,Local CCP ,"CARE WISCONSIN HEALTH PLAN, INC. ",My Choice Wisconsin Health Plan ,"My Choice Wisconsin, Inc. ",Yes ,0,0,3.5,5,4.5
H5211 ,Local CCP ,"SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Security Health Plan of Wisconsin, Inc. ","Marshfield Clinic Health System, Inc. ",Yes ,0,0,4,4,4
H5215 ,Local CCP ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",Yes ,0,0,4.5,5,4.5
H5216 ,Local CCP ,HUMANA INSURANCE COMPANY ,Humana ,Humana Inc. ,Yes ,1,0,3.5,3.5,4
H5232 ,Local CCP ,"PARAMOUNT CARE, INC. ",Paramount Elite/Medicare Plans ,"Promedica Health System, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5253 ,Local CCP ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,2,0,4,4,4
H5256 ,1876 Cost ,MEDICAL ASSOCIATES CLINIC HEALTH PLAN ,Medical Associates Clinic Health Plan of Wisconsin ,"Medical Associates Clinic, P.C. ",No ,0,0,4.5,Not Applicable ,Not enough data available
H5262 ,Local CCP ,QUARTZ HEALTH PLAN CORPORATION ,Quartz Medicare Advantage ,University of Wisconsin Hospitals and Clincs Autho ,No ,0,0,4.5,4,5
H5264 ,1876 Cost ,"DEAN HEALTH PLAN, INC. ","Dean Health Plan, Inc. ",SSM Healthcare Corporation ,No ,0,0,5,Not Applicable ,Not enough data available
H5273 ,Local CCP ,"CAREPARTNERS OF CONNECTICUT, INC. ",CarePartners of Connecticut ,"Tufts Health Plan, Inc ",No ,0,0,Plan too new to be measured ,2.5,Plan too new to be measured
H5280 ,Demo ,"MOLINA HEALTHCARE OF OHIO, INC. ",Molina Healthcare of Ohio ,"Molina Healthcare, Inc., ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5294 ,Local CCP ,"SUPERIOR HEALTH PLAN, INC. ",Allwell ,Centene Corporation ,Yes ,0,0,3.5,4,4
H5296 ,Local CCP ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ",Alignment Health Plan ,"Alignment Healthcare USA, LLC ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5302 ,Local CCP ,AETNA HEALTH INC. (GA) ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Not enough data available ,5,Not enough data available
H5322 ,Local CCP ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,1,0,3.5,3.5,3.5
H5325 ,Local CCP ,"COVENTRY HEALTH CARE OF KANSAS, INC. ",Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,4.5,Plan too new to be measured
H5337 ,Local CCP ,AETNA BETTER HEALTH INC. (OH) ,Aetna Better Health of Ohio (HMO SNP) ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5355 ,Demo ,IEHP HEALTH ACCESS ,IEHP DualChoice ,INLAND EMPIRE HEALTH PLAN ,No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5373 ,Local CCP ,"PARAMOUNT CARE OF INDIANA, INC. ",ProMedica Medicare Plans ,"Promedica Health System, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5374 ,Local CCP ,LONGEVITY HEALTH PLAN OF NORTH CAROLINA ,Longevity Health Plan ,"Longevity Health Founders, LLC ",Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5377 ,Local CCP ,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC. ",Humana ,Humana Inc. ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5386 ,Local CCP ,SHARP HEALTH PLAN ,Sharp Health Plan ,Sharp Healthcare ,No ,0,0,4.5,3.5,4.5
H5398 ,Local CCP ,CENTENE VENTURE COMPANY KANSAS ,Ascension Complete ,Centene Corporation ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5410 ,Local CCP ,"HEALTHSPRING OF FLORIDA, INC. ",Cigna ,CIGNA ,Yes ,1,0,5,5,5
H5420 ,Local CCP ,"MEDICA HEALTHCARE PLANS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4,4,4
H5422 ,Local CCP ,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA ,Anthem Blue Cross and Blue Shield ,Anthem Inc. ,Yes ,0,0,3.5,3,3.5
H5425 ,Local CCP ,SCAN HEALTH PLAN ,SCAN Health Plan ,SCAN Health Plan ,Yes ,43,0,4.5,4.5,4.5
H5427 ,Local CCP ,"FREEDOM HEALTH, INC. ","Freedom Health, Inc. ",Anthem Inc. ,Yes ,0,0,4,4.5,4
H5430 ,Local CCP ,ONECARE BY CARE1ST HEALTH PLAN OF ARIZONA INC. ,WellCare ,Centene Corporation ,Yes ,0,0,3,3.5,3
H5431 ,Local CCP ,"HEALTHSUN HEALTH PLANS, INC. ","HealthSun Health Plans, Inc. ",Anthem Inc. ,Yes ,0,0,5,5,5
H5433 ,Local CCP ,ORANGE COUNTY HEALTH AUTHORITY ,OneCare ,Orange County Health Authority ,Yes ,0,0,3.5,4,3.5
H5434 ,Local CCP ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Florida Blue ,Guidewell Mutual Holding Corporation ,No ,5,0,4,3.5,3.5
H5435 ,PFFS ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",No ,1,0,3,3.5,3
H5439 ,Local CCP ,HEALTH NET LIFE INSURANCE COMPANY ,Health Net Life Insurance Company ,Centene Corporation ,No ,0,0,3,3.5,3
H5447 ,Local CCP ,"COMMUNITY FIRST HEALTH PLANS, INC. ",Community First Health Plans ,Bexar County Hospital District ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5454 ,Local CCP ,"CLEAR SPRING HEALTH OF ILLINOIS, INC. ",Clear Spring Health ,Group 1001 ,No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5471 ,Local CCP ,"SIMPLY HEALTHCARE PLANS, INC. ","Simply Healthcare Plans, Inc. ",Anthem Inc. ,Yes ,0,0,4,4,4
H5475 ,Local CCP ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",WellCare ,Centene Corporation ,Yes ,0,0,3.5,3.5,3.5
H5496 ,Local CCP ,"IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ","Imperial Health Plan of California, Inc. ",Imperial Health Plan of California ,Yes ,12,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5521 ,Local CCP ,AETNA LIFE INSURANCE COMPANY ,Aetna Medicare ,CVS Health Corporation ,No ,2,0,4,3.5,4
H5522 ,Local CCP ,"HEALTHASSURANCE PENNSYLVANIA, INC. ",Aetna Medicare ,CVS Health Corporation ,No ,0,0,4.5,5,4.5
H5525 ,Local CCP ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana ,Humana Inc. ,Yes ,6,0,4,4,4
H5526 ,Local CCP ,HEALTHNOW NEW YORK INC. ,BlueCross BlueShield of WNY and BlueShield of NENY ,HealthNow New York Inc. ,No ,0,0,5,5,5
H5528 ,Local CCP ,GROUP HEALTH INCORPORATED ,EmblemHealth Medicare PPO ,"EmblemHealth, Inc. ",No ,0,0,Not enough data available ,Not enough data available ,Not enough data available
H5533 ,Local CCP ,"UPMC HEALTH NETWORK, INC. ",UPMC for Life ,UPMC Health System ,No ,0,0,4.5,4,4.5
H5549 ,Local CCP ,VNS CHOICE ,VNSNY CHOICE Medicare ,Visiting Nurse Service of New York ,Yes ,0,0,3,5,4
H5576 ,Local CCP ,"VANTAGE HEALTH PLAN, INC. ",Vantage Health Plan ,Louisiana Health Service & Indemnity Company ,Yes ,0,0,3.5,4.5,4
H5577 ,Local CCP ,"MCS ADVANTAGE, INC. ",MCS Classicare ,"Medical Card System, Inc. ",Yes ,0,29,4,5,4
H5580 ,Local CCP ,MERCY CARE ,Mercy Care Advantage ,Mercy Care ,Yes ,0,0,3,3,3
H5587 ,Local CCP ,"HEALTH CHOICE ARIZONA, INC. ",Health Choice Arizona ,Blue Cross Blue Shield of Arizona ,Yes ,0,0,3,4,3
H5590 ,Local CCP ,BRIDGEWAY HEALTH SOLUTIONS ,Allwell ,Centene Corporation ,Yes ,0,0,Not enough data available ,3.5,Not enough data available
H5591 ,Local CCP ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ",Martin's Point Generations Advantage ,"Martin's Point Health Care, Inc. ",Yes ,0,0,4.5,4.5,5
H5593 ,Local CCP ,AETNA HEALTH OF IOWA INC. ,Aetna Medicare ,CVS Health Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5594 ,Local CCP ,"OPTIMUM HEALTHCARE, INC. ","Optimum HealthCare, Inc. ",Anthem Inc. ,Yes ,0,0,4,5,4.5
H5599 ,Local CCP ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Fidelis Care ,Centene Corporation ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5608 ,Local CCP ,"DENVER HEALTH MEDICAL PLAN, INC. ","Denver Health Medical Plan, Inc. ",Denver Health and Hospital Authority ,Yes ,0,0,3.5,3.5,3.5
H5613 ,MSA ,"MVP HEALTH PLAN, INC. ",MVP HEALTH CARE ,"MVP Health Care, Inc. ",No ,0,0,Not enough data available ,Not Applicable ,Not enough data available
H5619 ,Local CCP ,"ARCADIAN HEALTH PLAN, INC. ",Humana ,Humana Inc. ,Yes ,5,0,3.5,4,4
H5628 ,Local CCP ,"MOLINA HEALTHCARE OF UTAH, INC. ",Molina Healthcare of Utah & Idaho ,"Molina Healthcare, Inc., ",Yes ,0,0,3,4,3.5
H5644 ,Local CCP ,NETWORK HEALTH INSURANCE CORPORATION ,Network Health Medicare Advantage Plans ,"Network Health, Inc. ",No ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5649 ,Local CCP ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ",Central Health Medicare Plan ,AHMC Central Health LLC ,Yes ,76,0,3.5,3.5,3.5
H5652 ,Local CCP ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",Yes ,0,0,4.5,4.5,5
H5656 ,Local CCP ,"SELECTCARE HEALTH PLANS, INC. ",WellCare ,Centene Corporation ,No ,0,0,3,3.5,3.5
H5703 ,Local CCP ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,South Country Health Alliance ,Yes ,0,0,Not enough data available ,4.5,Not enough data available
H5742 ,Local CCP ,"SHA, L.L.C ",FirstCare Advantage ,Baylor Scott & White Holdings ,Yes ,0,0,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5746 ,Local CCP ,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC. ",Amerigroup Community Care of New Mexico ,Anthem Inc. ,No ,0,0,3,3,3
