Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP_x,Part C Summary,Overall,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,SNP_y,Part D Summary,Year,2014 Part D Summary Rating,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,SNP,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions
H3959,Local CCP,Aetna Health Inc. (pa),HealthAmerica Pennsylvania,Aetna Inc.,3,3,0,0,0,4,2,4,1,3,5,4,0,3,3,3,4,0,5,3,3,2,4,5,5,1,5,3,5,4,5,4,4,4,4,5,3,4,4,0,4,0,4,4,5,5,0,4,5,4,5,3,4,5,0,0,0,0,0,5,0,4,0,0,4.5,2018 Fall,0,3,4,4,5,4,Yes,3,4,4,2,4,0,0,0,0,0
H3962,Local CCP,"Keystone Health Plan Central, Inc.","Keystone Health Plan Central, Inc.",Capital BlueCross,3,4,0,0,0,5,4,3,1,4,0,0,0,1,4,4,5,0,3,3,3,3,3,4,5,5,4,4,3,5,5,5,3,4,4,3,3,3,4,0,4,0,3.5,4,3,5,5,5,5,5,3,3,4,5,0,0,0,0,0,4,0,4,0,0,4.5,2018 Fall,0,0,0,5,5,4,Yes,4,5,4,4,4,0,0,0,0,0
H4003,Local CCP,"Mmm Healthcare, Llc",Medicare y Mucho Mßs,InnovaCare Inc.,5,5,0,0,0,1,2,4,3,5,5,5,0,5,4,5,5,0,3,4,2,4,4,4,1,5,5,5,3,5,5,3,4,5,5,4,4,4,4,0,5,0,4,4.5,4,5,3,5,5,3,5,5,5,5,0,0,0,0,0,4,0,5,0,0,5,2018 Fall,0,3,5,4,5,3,Yes,3,3,2,4,2,0,0,0,0,0
H4004,Local CCP,"Mmm Healthcare, Llc",PMC Medicare Choice,InnovaCare Inc.,5,5,0,0,0,1,5,4,1,5,5,5,0,5,4,5,5,0,4,5,2,4,4,4,2,2,5,5,4,5,5,2,4,4,4,4,4,4,4,0,4,0,4.5,4.5,4,5,0,5,5,2,4,5,4,5,0,0,0,0,0,5,0,5,0,0,4.5,2018 Fall,0,2,5,4,4,4,Yes,4,4,2,4,3,0,0,0,0,0
H4005,Local CCP,"Triple S Advantage, Inc.",Triple-S Advantage,Triple-S Management Corporation,3,4,0,0,0,1,2,4,5,3,0,0,0,1,3,5,2,0,1,3,4,3,4,4,1,3,5,4,2,4,4,5,5,5,4,4,3,3,3,0,4,0,3.5,3.5,4,5,0,4,4,5,5,4,4,5,0,0,0,0,0,5,0,4,0,0,5,2018 Fall,0,0,0,5,5,3,No,2,3,1,5,1,0,0,0,0,0
H4007,Local CCP,"Humana Health Plans Of Puerto Rico, Inc.","HUMANA HEALTH PLANS OF PUERTO RICO, INC.",Humana Inc.,4,5,0,0,0,1,4,4,5,5,5,4,0,2,4,5,5,0,4,3,0,4,3,3,1,3,4,5,4,5,3,2,4,3,5,5,4,4,3,0,4,0,4,4,5,5,0,5,3,2,5,5,4,5,0,0,0,0,0,5,0,5,0,0,5,2018 Fall,0,3,4,4,4,4,Yes,3,3,2,5,2,0,0,0,0,0
H4036,Local CCP,"Anthem Insurance Companies, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,3,3,0,0,0,5,2,4,3,5,0,0,0,2,3,3,5,0,3,4,4,2,4,4,4,3,4,3,3,5,4,5,5,4,4,5,4,3,4,0,4,0,4,4,5,5,5,5,4,5,3,2,4,4,0,0,0,0,0,5,0,3,0,0,4,2018 Fall,0,0,0,5,4,4,No,4,5,4,5,4,0,0,0,0,0
H4141,Local CCP,"Humana Employers Health Plan Of Georgia, Inc.","Humana Employers Health Plan of Georgia, Inc.",Humana Inc.,3,3,0,0,0,3,1,3,5,5,4,5,0,2,3,4,4,0,3,3,4,2,3,4,2,2,2,2,3,4,3,4,4,1,4,4,3,4,3,0,3,0,3,3.5,5,5,0,4,3,4,5,3,4,5,0,0,0,0,0,5,0,4,0,0,3.5,2018 Fall,0,4,5,4,4,3,Yes,2,3,3,3,3,0,0,0,0,0
H4152,Local CCP,Blue Cross & Blue Shield Of Rhode Island,Blue Cross & Blue Shield of Rhode Island,Blue Cross & Blue Shield of Rhode Island,4,4,0,0,0,3,2,5,3,3,0,0,0,3,4,4,5,0,4,3,4,3,3,4,3,3,4,2,3,5,4,5,4,4,5,4,3,4,3,0,4,0,4,4,5,5,2,5,4,5,4,2,4,4,0,0,0,0,0,4,0,3,0,0,4,2018 Fall,0,0,0,5,5,4,No,4,5,4,4,5,0,0,0,0,0
H4213,PFFS,Usable Mutual Insurance Company,ARKANSAS BLUE CROSS AND BLUE SHIELD,USAble Mutual Insurance Company,2,2,0,0,0,2,4,4,1,3,0,0,0,1,2,1,3,0,2,4,2,2,3,3,2,3,2,2,3,4,4,3,3,0,0,5,3,2,3,0,0,0,3,3,5,5,0,4,4,3,1,1,2,4,0,0,0,0,0,5,0,2,0,0,3,2018 Fall,0,0,0,4,3,3,No,3,3,3,4,2,0,0,0,0,0
H4227,Local CCP,"Vista Health Plan, Inc.",VISTA Health Plan Inc.,"Independence Health Group, Inc.",3,2,0,0,0,3,2,2,3,4,5,1,0,0,3,3,3,0,3,1,2,4,2,3,3,4,3,4,4,4,4,3,4,5,3,5,3,3,4,0,4,0,3,3,5,5,0,4,4,3,3,4,4,5,0,0,0,0,0,5,0,4,0,0,3.5,2018 Fall,0,1,3,4,4,3,Yes,2,2,2,5,3,0,0,0,0,0
H4279,Local CCP,"Upmc For You, Inc",UPMC for You,UPMC Health System,2,2,0,0,0,2,3,4,1,5,4,3,0,3,4,4,4,0,4,3,4,4,3,4,3,5,4,5,4,5,5,5,3,5,4,5,3,4,4,0,5,0,4,4,5,4,3,5,5,5,4,5,4,4,0,0,0,0,0,4,0,5,0,0,4,2018 Fall,0,3,4,5,5,3,Yes,4,3,4,2,4,0,0,0,0,0
H4346,Local CCP,"Hmo Colorado, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,3,5,0,0,0,1,1,2,3,4,5,5,0,5,5,5,5,0,4,4,2,3,3,1,2,4,2,4,1,4,5,4,4,3,5,5,3,4,2,0,4,0,3.5,3.5,4,5,0,4,5,4,5,4,3,5,0,0,0,0,0,5,0,4,0,0,4.5,2018 Fall,0,4,5,4,5,4,Yes,3,4,3,5,4,0,0,0,0,0
H4407,Local CCP,"Healthspring Of Tennessee, Inc.",Cigna-HealthSpring,CIGNA,4,5,0,0,0,3,2,2,1,5,5,5,0,4,4,5,5,0,3,5,3,3,3,5,3,3,4,4,5,3,1,3,3,2,3,0,3,4,4,0,3,0,3.5,3.5,0,4,4,3,1,3,2,4,4,4,0,0,0,0,0,4,0,4,0,0,3,2018 Fall,0,4,5,3,2,3,Yes,2,3,2,5,5,0,0,0,0,0
H4454,Local CCP,"Healthspring Of Tennessee, Inc.",Cigna-HealthSpring,CIGNA,4,5,0,0,0,4,2,3,2,5,5,5,0,4,4,5,5,0,4,4,2,2,3,5,3,4,4,4,4,4,1,4,3,3,3,0,4,4,4,0,3,0,3.5,3.5,0,1,1,4,1,4,3,4,4,4,0,0,0,0,0,1,0,4,0,0,3,2018 Fall,0,4,5,3,3,3,Yes,3,3,3,4,5,0,0,0,0,0
H4461,Local CCP,Cariten Health Plan Inc.,Cariten Health Plan Inc.,Humana Inc.,4,5,0,0,0,5,4,3,3,5,5,5,0,2,4,4,5,0,4,4,3,2,3,5,4,3,5,4,5,5,2,5,4,2,4,4,4,4,4,0,3,0,4,4.5,5,5,3,5,2,5,5,5,4,5,0,0,0,0,0,4,0,5,0,0,4.5,2018 Fall,0,4,5,4,4,4,Yes,4,4,4,4,5,0,0,0,0,0
H4506,Local CCP,"Selectcare Of Texas, Inc.","Universal American, A WellCare Company","WellCare Health Plans, Inc.",3,4,0,0,0,4,5,3,3,5,0,0,0,2,3,4,5,0,3,3,3,3,4,4,3,3,4,5,4,5,5,5,3,5,5,5,4,3,4,0,5,0,4,4,5,5,5,5,5,5,3,5,4,5,0,0,0,0,0,5,0,5,0,0,4,2018 Fall,0,0,0,5,5,3,No,3,3,3,3,3,0,0,0,0,0
H4513,Local CCP,"Healthspring Life & Health Insurance Company, Inc.",Cigna-HealthSpring,CIGNA,5,5,0,0,0,5,4,5,2,5,5,5,0,4,5,5,5,0,4,5,4,2,3,3,2,4,4,5,3,5,1,4,4,3,4,0,4,4,4,0,4,0,4.5,4,0,4,4,5,1,4,4,5,4,4,0,0,0,0,0,4,0,5,0,0,3.5,2018 Fall,0,4,5,4,4,4,Yes,3,4,3,4,4,0,0,0,0,0
H4514,Local CCP,"Unitedhealthcare Community Plan Of Texas, L.l.c.",UnitedHealthcare,"UnitedHealth Group, Inc.",2,3,0,0,0,2,4,4,4,4,4,4,0,4,3,5,3,0,2,3,1,4,3,2,1,3,3,4,3,4,2,2,5,5,5,5,3,3,3,0,5,0,3.5,3.5,5,5,5,4,2,2,4,4,4,5,0,0,0,0,0,5,0,4,0,0,3.5,2018 Fall,0,3,4,3,3,3,Yes,2,2,2,2,3,0,0,0,0,0
H4523,Local CCP,Aetna Health Inc. (tx),Aetna Medicare,Aetna Inc.,2,3,0,0,0,2,5,5,4,5,0,0,0,4,3,4,5,0,4,3,5,2,3,3,2,4,2,2,2,3,5,2,3,4,5,5,4,4,3,0,5,0,3.5,3.5,5,5,0,3,5,2,3,4,3,5,0,0,0,0,0,5,0,4,0,0,3,2018 Fall,0,0,0,3,3,3,No,2,3,2,3,4,0,0,0,0,0
H4527,Local CCP,"Physicians Health Choice Of Texas, Llc",UnitedHealthcare,"UnitedHealth Group, Inc.",5,5,0,0,0,4,3,3,4,5,5,5,0,5,5,5,5,0,5,3,2,2,4,2,2,4,4,4,3,5,2,4,4,5,5,5,4,4,3,0,5,0,4.5,4.5,5,5,0,5,2,4,5,4,2,5,0,0,0,0,0,5,0,3,0,0,4.5,2018 Fall,0,3,5,4,4,4,Yes,4,5,4,4,5,0,0,0,0,0
H4564,1876 Cost,Scott And White Health Plan,Baylor Scott & White Health Plan,Baylor Scott & White Holdings,4,4,0,0,0,5,3,3,3,5,0,0,0,3,4,3,5,0,4,5,5,3,0,5,5,4,5,5,5,4,5,5,3,4,5,0,4,4,5,0,5,0,4.5,4.5,0,5,4,4,5,5,3,4,4,5,0,0,0,0,0,5,0,4,0,0,4,2018 Fall,0,0,0,4,4,4,No,4,5,4,2,0,0,0,0,0,0
H4590,Local CCP,"Unitedhealthcare Benefits Of Texas, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,5,0,0,0,5,2,4,4,5,5,4,0,3,4,5,5,0,4,3,2,3,4,4,3,3,4,5,3,5,2,5,5,5,5,5,4,4,4,0,5,0,4.5,4.5,5,5,5,5,2,5,5,5,3,5,0,0,0,0,0,5,0,4,0,0,4.5,2018 Fall,0,3,5,4,4,4,Yes,3,4,3,4,4,0,0,0,0,0
H4604,Local CCP,"Unitedhealthcare Of Utah, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,0,0,0,4,2,4,3,4,0,0,0,4,3,4,5,0,4,5,3,1,3,4,4,3,4,4,3,5,3,5,4,5,5,5,3,4,4,0,5,0,4,4,5,5,4,5,3,5,5,3,4,5,0,0,0,0,0,5,0,4,0,0,4.5,2018 Fall,0,0,0,4,5,4,No,4,4,4,4,3,0,0,0,0,0
H4605,Local CCP,Regence Bluecross Blueshield Of Utah,Regence BlueCross BlueShield of Utah,"Cambia Health Solutions, Inc.",3,4,0,0,0,4,2,2,5,3,0,0,0,2,4,4,3,0,2,5,4,2,4,4,5,4,4,4,4,5,5,5,1,5,5,5,3,3,4,0,5,0,3.5,3.5,5,5,3,5,5,5,3,2,3,4,0,0,0,0,0,4,0,3,0,0,4,2018 Fall,0,0,0,4,5,4,No,4,4,4,4,3,0,0,0,0,0
H4754,Local CCP,Pacificsource Community Health Plans,PacificSource Medicare,PacificSource Health Plans,2,2,0,0,0,2,4,5,2,3,0,0,0,0,3,4,3,0,2,3,4,1,3,4,3,5,4,2,3,5,4,4,2,5,5,5,3,3,4,0,5,0,3.5,3.5,5,5,0,5,4,4,5,1,4,5,0,0,0,0,0,5,0,3,0,0,4.5,2018 Fall,0,0,0,4,5,4,No,3,5,4,5,1,0,0,0,0,0
H4875,Local CCP,Priority Health,Priority Health Medicare,Spectrum Health System,4,4,0,0,0,3,2,3,3,2,0,0,0,4,3,3,4,0,3,4,4,1,4,4,4,4,4,2,4,5,4,4,2,5,5,5,3,3,4,0,5,0,3.5,3.5,4,5,2,5,4,4,3,2,4,4,0,0,0,0,0,4,0,3,0,0,4,2018 Fall,0,0,0,4,4,4,No,4,5,4,4,3,0,0,0,0,0
H4909,Local CCP,"Anthem Insurance Companies, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,5,5,0,0,0,4,3,5,5,4,0,0,0,0,4,0,4,0,2,0,4,2,0,5,4,3,5,4,4,5,4,0,3,0,0,5,4,3,4,0,0,0,4,4.5,5,5,0,5,4,0,3,5,5,4,0,0,0,0,0,5,0,5,0,0,4.5,2018 Fall,0,0,0,4,4,4,No,4,5,4,5,4,0,0,0,0,0
H5008,Local CCP,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",2,4,0,0,0,2,4,2,3,4,5,4,0,4,4,5,5,0,3,3,5,4,4,1,2,1,2,3,3,4,3,4,3,5,5,5,3,4,2,0,5,0,3.5,3.5,5,5,0,4,3,4,3,2,2,5,0,0,0,0,0,5,0,2,0,0,3.5,2018 Fall,0,3,5,4,4,4,Yes,4,3,4,3,4,0,0,0,0,0
H5009,Local CCP,Regence Blueshield,Regence BlueShield,"Cambia Health Solutions, Inc.",4,4,0,0,0,5,2,3,3,3,0,0,0,2,4,3,3,0,2,4,5,2,4,4,5,3,4,2,5,5,5,4,4,5,5,5,3,3,4,0,5,0,3.5,4,5,5,5,5,5,4,4,1,4,4,0,0,0,0,0,5,0,3,0,0,4.5,2018 Fall,0,0,0,5,5,4,No,4,5,5,4,3,0,0,0,0,0
H5010,Local CCP,Asuris Northwest Health,Asuris Northwest Health,"Cambia Health Solutions, Inc.",3,4,0,0,0,4,2,5,4,3,0,0,0,0,3,2,4,0,3,0,5,1,3,4,5,4,4,3,5,5,5,5,4,0,0,5,4,3,4,0,0,0,4,4,5,5,0,5,5,5,3,2,4,4,0,0,0,0,0,5,0,3,0,0,4,2018 Fall,0,0,0,5,5,4,No,4,4,4,4,3,0,0,0,0,0
H5042,Local CCP,"Cdphp Universal Benefits, Inc.",CDPHP Medicare Choices,"Capital District Physicians' Health Plan, Inc.",5,4,0,0,0,5,5,3,4,5,0,0,0,0,5,4,5,0,4,5,5,1,3,5,5,5,5,5,5,5,5,0,4,4,4,0,4,4,5,0,4,0,4.5,5,0,5,0,5,5,0,4,5,5,0,0,0,0,0,0,0,0,5,0,0,5,2018 Fall,0,0,0,5,5,4,No,5,5,5,2,5,0,0,0,0,0
H5050,Local CCP,Kaiser Foundation Health Plan Of Washington,Kaiser Foundation Health Plan of Washington,"Kaiser Foundation Health Plan, Inc.",5,5,0,0,0,5,3,5,4,5,0,0,0,3,5,4,5,0,4,5,4,2,3,4,5,3,5,4,4,5,4,5,3,4,4,5,5,4,4,0,4,0,4.5,4.5,5,5,2,5,4,5,1,4,2,5,0,0,0,0,0,4,0,3,0,0,3.5,2018 Fall,0,0,0,4,4,5,No,4,5,5,4,3,0,0,0,0,0
H5087,Local CCP,Easy Choice Health Plan Inc.,Easy Choice Health Plan,"WellCare Health Plans, Inc.",3,3,0,0,0,3,3,4,4,5,4,4,0,2,4,4,5,0,2,2,0,4,4,1,1,1,2,2,1,5,4,4,4,3,5,4,4,3,1,0,4,0,3.5,3.5,4,5,2,5,4,4,5,4,1,5,0,0,0,0,0,4,0,3,0,0,3.5,2018 Fall,0,1,4,4,5,3,Yes,3,3,3,2,3,0,0,0,0,0
H5106,Local CCP,Highmark Senior Solutions Company,Highmark Senior Solutions Company,Highmark Health,2,4,0,0,0,4,3,4,1,5,0,0,0,2,3,4,4,0,4,3,1,2,4,5,4,5,4,3,5,4,5,5,4,4,4,5,3,3,4,0,4,0,4,3.5,5,3,2,4,5,5,3,2,5,4,0,0,0,0,0,3,0,4,0,0,3.5,2018 Fall,0,0,0,5,4,3,No,3,4,3,2,4,0,0,0,0,0
H5141,Local CCP,Clover Insurance Company,CLOVER HEALTH,"Clover Health Holdings, Inc.",3,3,0,0,0,1,1,2,4,4,0,0,0,0,3,5,5,0,3,3,5,4,3,2,1,3,2,4,1,2,2,3,4,3,2,4,3,4,2,0,3,0,3,3,4,5,2,2,2,3,5,3,3,5,0,0,0,0,0,4,0,3,0,0,3.5,2018 Fall,0,0,0,3,3,3,No,2,3,2,4,3,0,0,0,0,0
H5190,Local CCP,"Sunshine State Health Plan, Inc.",Allwell,Centene Corporation,0,2,0,0,0,1,0,0,4,4,3,4,0,0,4,0,3,0,1,0,0,0,0,0,2,4,0,3,0,1,5,1,0,0,0,4,3,3,0,0,0,0,3,3,5,3,0,1,5,1,3,3,0,5,0,0,0,0,0,4,0,0,0,0,3.5,2018 Fall,0,4,4,2,3,3,Yes,4,3,3,2,2,0,0,0,0,0
H5209,Local CCP,"Care Wisconsin Health Plan, Inc.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",2,3,0,0,0,5,2,3,3,5,5,5,0,0,5,4,3,0,5,0,4,5,3,2,5,3,4,4,4,5,3,5,3,0,0,4,3,5,4,0,0,0,4,4.5,4,5,0,5,3,5,3,5,3,4,0,0,0,0,0,5,0,4,0,0,4.5,2018 Fall,0,5,5,4,4,5,Yes,5,5,5,5,5,0,0,0,0,0
H5211,Local CCP,"Security Health Plan Of Wisconsin, Inc.","Security Health Plan of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",4,4,0,0,0,5,2,4,1,4,0,0,0,1,4,4,5,0,5,5,5,1,4,5,5,5,5,5,5,5,5,5,4,5,3,3,3,4,5,0,4,0,4.5,4.5,2,5,0,5,5,5,4,2,5,5,0,0,0,0,0,4,0,4,0,0,4.5,2018 Fall,0,0,0,5,5,5,Yes,5,5,5,4,4,0,0,0,0,0
H5215,Local CCP,Network Health Insurance Corporation,Network Health Medicare Advantage Plans,"Network Health, Inc.",4,4,0,0,0,3,2,4,4,4,5,4,0,1,4,4,5,0,4,5,5,2,4,5,5,5,4,4,5,5,5,5,3,4,3,4,4,4,5,0,4,0,4.5,4.5,4,5,3,5,5,5,4,3,5,4,0,0,0,0,0,4,0,4,0,0,5,2018 Fall,0,4,5,5,5,5,Yes,5,5,4,5,5,0,0,0,0,0
H5216,Local CCP,Humana Insurance Company,Humana Insurance Company,Humana Inc.,3,4,0,0,0,5,3,4,3,4,0,0,0,2,3,4,5,0,4,4,4,1,3,4,5,3,4,2,4,5,3,5,3,1,3,4,4,3,4,0,3,0,3.5,4,5,5,5,5,3,5,4,4,4,5,0,0,0,0,0,5,0,4,0,0,5,2018 Fall,0,0,0,4,4,4,No,4,5,4,4,4,0,0,0,0,0
H5253,Local CCP,"Unitedhealthcare Of Wisconsin, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,0,0,0,5,2,4,2,4,5,4,0,3,4,4,5,0,3,4,2,2,4,4,4,3,4,2,4,5,3,5,3,5,5,5,3,4,4,0,5,0,4,4,5,5,5,5,3,5,1,3,4,5,0,0,0,0,0,5,0,4,0,0,3.5,2018 Fall,0,4,5,4,4,4,Yes,4,4,4,3,4,0,0,0,0,0
H5256,1876 Cost,Medical Associates Clinic Health Plan,Medical Associates Clinic Health Plan of Wisconsin,"Medical Associates Clinic, P.C.",4,3,0,0,0,3,4,4,1,4,0,0,0,Benefit not offered by plan,5,3,5,0,5,Benefit not offered by plan,4,3,0,5,5,5,5,5,5,5,5,5,3,0,0,0,3,4,5,0,0,0,5,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,2018 Fall,0,0,0,5,0,0,No,0,0,0,0,0,0,0,0,0,0
H5262,Local CCP,Gundersen Health Plan,Senior Preferred,University of Wisconsin Hospitals and Clincs Autho,5,4,0,0,0,4,2,4,3,5,0,0,0,3,5,4,5,0,5,5,4,2,4,5,5,5,5,5,5,5,4,5,4,5,3,4,4,4,5,0,4,0,4.5,5,4,5,0,5,4,5,4,5,5,5,0,0,0,0,0,5,0,5,0,0,5,2018 Fall,0,0,0,5,5,4,No,5,5,5,1,5,0,0,0,0,0
H5264,1876 Cost,"Dean Health Plan, Inc.","Dean Health Plan, Inc.",SSM Healthcare Corporation,4,4,0,0,0,4,3,4,3,5,0,0,0,Benefit not offered by plan,5,3,5,0,5,Benefit not offered by plan,2,3,0,5,5,4,5,5,5,5,4,5,3,4,3,0,4,4,5,0,4,0,4.5,Not Applicable,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Not Applicable,2018 Fall,0,0,0,4,0,0,No,0,0,0,0,0,0,0,0,0,0
H5294,Local CCP,"Superior Health Plan, Inc.",Allwell,Centene Corporation,3,2,0,0,0,4,3,4,4,4,5,5,0,0,4,4,3,0,2,0,0,0,0,3,3,4,3,3,3,2,4,2,4,0,0,4,3,4,3,0,0,0,3.5,3.5,5,5,0,2,4,2,3,4,0,5,0,0,0,0,0,5,0,0,0,0,3.5,2018 Fall,0,5,5,3,3,3,Yes,4,3,2,2,3,0,0,0,0,0
H5302,Local CCP,Aetna Health Inc. (ga),Coventry Health Care,Aetna Inc.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2018 Fall,0,0,0,0,0,4,No,4,4,2,0,0,0,0,0,0,0
H5410,Local CCP,Healthspring Of Florida,"HealthSpring of Florida, Inc.",CIGNA,5,5,0,0,0,4,2,2,4,5,5,5,0,5,5,5,5,0,5,5,5,4,2,5,4,5,5,5,5,5,1,5,3,4,4,0,4,5,5,0,4,0,4,4,0,5,2,5,1,5,4,5,4,4,0,0,0,0,0,4,0,5,0,0,4.5,2018 Fall,0,4,5,4,4,5,Yes,5,5,5,5,5,0,0,0,0,0
H5420,Local CCP,"Medica Healthcare Plans, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",5,5,0,0,0,1,3,2,5,5,5,5,0,5,5,5,5,0,4,2,3,3,4,2,1,3,4,4,4,5,2,5,4,5,5,5,4,4,3,0,5,0,4,4,5,5,5,5,2,5,4,3,2,5,0,0,0,0,0,5,0,3,0,0,4,2018 Fall,0,4,5,4,4,4,Yes,4,5,2,5,3,0,0,0,0,0
H5422,Local CCP,Blue Cross Blue Shield Healthcare Plan Of Georgia,Blue Cross Blue Shield Healthcare Plan of Georgia,Anthem Inc.,2,3,0,0,0,1,4,4,3,4,4,5,0,0,2,3,4,0,1,0,4,3,3,3,2,2,2,2,2,1,5,2,4,5,5,5,3,3,2,0,5,0,3,3,5,5,0,1,5,2,3,2,2,5,0,0,0,0,0,5,0,2,0,0,3,2018 Fall,0,2,5,3,3,3,Yes,2,3,2,4,3,0,0,0,0,0
H5425,Local CCP,Scan Health Plan,SCAN Health Plan,SCAN Health Plan,4,4,0,0,0,3,2,4,4,5,5,5,0,4,5,5,5,0,5,3,4,3,4,2,3,3,4,5,2,5,4,5,4,5,5,5,4,4,3,0,5,0,4.5,4.5,5,5,5,5,4,5,5,5,4,4,0,0,0,0,0,5,0,5,0,0,4.5,2018 Fall,0,4,5,5,5,3,Yes,3,4,3,3,4,0,0,0,0,0
H5427,Local CCP,"Freedom Health, Inc.","Freedom Health, Inc.","America's 1st Choice Holdings of Florida, LLC",4,5,0,0,0,1,2,3,4,5,5,5,0,5,5,5,5,0,4,4,1,2,4,3,3,2,2,3,2,5,5,4,4,5,5,5,3,4,3,0,5,0,4,4,5,5,0,5,5,4,5,4,4,5,0,0,0,0,0,5,0,4,0,0,5,2018 Fall,0,4,5,5,5,4,Yes,4,4,4,5,4,0,0,0,0,0
H5430,Local CCP,Onecare By Care1st Health Plan Arizona Inc.,Care1st+,"WellCare Health Plans, Inc.",3,2,0,0,0,1,1,4,2,4,4,4,0,0,4,3,3,0,4,3,0,4,2,2,3,4,3,4,3,5,5,4,4,0,0,4,2,4,3,0,0,0,3.5,3.5,4,5,0,5,5,4,3,4,3,5,0,0,0,0,0,5,0,4,0,0,3.5,2018 Fall,0,3,5,5,4,3,Yes,2,3,2,4,4,0,0,0,0,0
H5431,Local CCP,"Healthsun Health Plans, Inc.","HealthSun Health Plans, Inc.","HealthSun Health Plans, Inc",5,4,0,0,0,1,4,2,5,5,0,0,0,3,5,5,5,0,5,5,0,5,4,5,3,5,5,5,5,5,4,3,4,5,5,4,4,5,5,0,5,0,4.5,5,3,5,0,5,4,3,5,5,4,5,0,0,0,0,0,4,0,5,0,0,5,2018 Fall,0,0,0,4,4,4,No,5,5,3,4,5,0,0,0,0,0
