2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organizatoin Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Calls Disconnected When Customer Calls Health Plan  - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Reminders for Appointments - DMC16,Reminders for Immunizations - DMC17,Reminders for Screening Tests - DMC18,Computer Used during Office Visits - DMC19,Computer Use by Doctor Helpful - DMC20,Computer Use Made Talking with Doctor Easier - DMC21,Improving Bladder Control - DMC22,Medication Reconciliation Post Discharge - DMC23,Hospitalization for Potentially Preventable Complications - DMC24,Statin Therapy for Patients with Cardiovascular Disease - DMC25,Medication Management for People With Asthma - DMC26,Asthma Medication Ratio - DMC27,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Calls Disconnected When Customer Calls Drug Plan  - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Rate of Chronic Use of Atypical Antipsychotics by Elderly Beneficiaries in Nursing Homes - DMD09,Getting Information from Drug Plan - DMD10,Call Center – Pharmacy Hold Time - DMD11,Plan Submitted Higher Prices for Display on MPF - DMD12,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD13,Transition monitoring - failure rate for all other drugs - DMD14,Reminders to Fill prescriptions - DMD15,Reminders to Take Medications - DMD16,Statin Use in Persons with Diabetes (SUPD) - DMD17,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H5590,Bridgeway Health Solutions,BRIDGEWAY HEALTH SOLUTIONS,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,99%,Not enough data available,Not enough data available,Not enough data available,0:18,81%,99%,0.00%,68%,88%,81%,8%,49%,57,34,Not enough data available,Not enough data available,Not enough data available,50%,6%,35,61%,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:18,9%,0.00%,100%,103,26.00%,Not enough data available,0:36,94,No data available,No data available,29,29,78%,No data available,2.44,No data available,No data available,No data available,No data available,No data available
H5591,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Health Care, Inc.",78%,65%,94%,91%,84%,42%,93%,0:38,79%,97%,0.40%,83%,76%,44%,6%,56%,43,35,93,92,47,46%,14%,54,83%,74%,86%,100%,100.00%,0.00%,0:34,3%,0.44%,100%,99,13.33%,88,0:10,98,0.0%,0.0%,18,10,78%,98%,1.89,10%,7%,38%,5%,8%
H5594,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.","America's 1st Choice Holdings of Florida, LLC",35%,58%,88%,97%,85%,76%,90%,0:29,66%,97%,0.79%,CMS Found Issues with Plan’s Data,CMS Found Issues with Plan’s Data,8%,1%,69%,49,44,85,Not enough data available,52,43%,16%,40,61%,57%,78%,50%,100.00%,0.79%,0:29,6%,0.89%,100%,99,No data available,Not enough data available,0:13,98,0.0%,6.7%,50,22,78%,99%,7.62,21%,29%,23%,17%,12%
H5608,"Denver Health Medical Plan, Inc.","DENVER HEALTH MEDICAL PLAN, INC.",Denver Health and Hospital Authority,68%,52%,Not enough data available,89%,52%,28%,92%,0:15,71%,95%,0.00%,83%,90%,31%,2%,58%,54,48,92,Not enough data available,64,49%,71%,45,84%,55%,31%,No data available,No data available,0.00%,0:15,9%,0.00%,100%,99,No data available,Not enough data available,0:03,14,0.0%,0.0%,35,29,78%,100%,2.18,25%,21%,17%,6%,18%
H5609,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Not enough data available,46%,85%,94%,74%,28%,89%,0:49,76%,97%,0.00%,76%,81%,20%,0%,51%,35,32,81,Not enough data available,49,45%,24%,44,73%,Not enough data available,81%,No data available,No data available,0.00%,0:49,7%,0.26%,100%,99,16.67%,Not enough data available,0:24,99,No data available,0.0%,31,15,77%,85%,CMS identified issues with this plan's data,9%,23%,32%,9%,8%
H5613,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Not enough data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5619,"Arcadian Health Plan, Inc.","ARCADIAN HEALTH PLAN, INC.",Humana Inc.,40%,49%,86%,91%,81%,29%,Not enough data available,0:37,69%,95%,2.60%,77%,81%,24%,2%,Not enough data available,55,46,90,Not enough data available,Not enough data available,53%,9%,46,74%,53%,71%,100%,No data available,2.60%,0:37,3%,0.85%,100%,99,16.28%,Not enough data available,0:04,99,0.0%,6.7%,46,34,81%,96%,CMS identified issues with this plan's data,30%,26%,28%,16%,21%
H5628,Molina Healthcare of Utah,"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare, Inc.,",55%,52%,Not enough data available,90%,66%,25%,89%,0:06,69%,96%,2.76%,77%,82%,40%,3%,64%,54,49,92,95,55,Not enough data available,17%,33,79%,67%,64%,100%,100.00%,2.76%,0:06,8%,0.50%,100%,99,20.83%,81,0:10,99,No data available,No data available,38,34,74%,No data available,4.76,29%,26%,18%,5%,16%
H5649,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",AHMC Central Health LLC,37%,40%,85%,91%,64%,10%,86%,0:09,63%,94%,0.80%,68%,84%,6%,0%,69%,72,58,62,95,59,37%,7%,26,61%,44%,73%,100%,No data available,0.80%,0:09,4%,0.36%,100%,99,12.00%,Not enough data available,0:22,99,No data available,0.0%,43,40,76%,100%,0.79,26%,47%,19%,30%,23%
H5652,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not enough data available,59%,Not enough data available,98%,92%,34%,93%,0:19,95%,100%,4.43%,Not enough data available,Not enough data available,43%,0%,63%,57,27,96,95,48,56%,71%,53,Not enough data available,Not enough data available,Not enough data available,100%,No data available,4.43%,0:19,6%,0.00%,100%,99,16.85%,87,0:10,99,No data available,No data available,26,12,74%,98%,1.12,No data available,No data available,No data available,No data available,No data available
H5656,Universal American Corp.,"SELECTCARE HEALTH PLANS, INC.",Universal American Corp.,33%,41%,Not enough data available,95%,68%,36%,Not enough data available,0:09,69%,91%,0.79%,75%,80%,41%,3%,62%,47,37,83,Not enough data available,51,44%,7%,63,79%,Not enough data available,63%,No data available,No data available,0.79%,0:09,5%,0.35%,100%,102,13.04%,Not enough data available,0:13,97,No data available,0.0%,51,31,79%,98%,CMS identified issues with this plan's data,23%,42%,19%,10%,14%
H5685,HAP Midwest Advantage,"HAP MIDWEST HEALTH PLAN, INC.",Henry Ford Health System,38%,41%,Not enough data available,72%,54%,Not enough data available,Not enough data available,0:53,53%,94%,0.00%,13%,85%,45%,1%,55%,41,46,86,Not enough data available,60,Not enough data available,13%,106,80%,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:41,5%,0.45%,100%,99,No data available,Not enough data available,1:36,99,0.0%,6.7%,51,33,75%,No data available,CMS identified issues with this plan's data,18%,28%,12%,20%,11%
H5698,WellCare,"HARMONY HEALTH PLAN, INC.","WellCare Health Plans, Inc.",35%,45%,83%,91%,52%,31%,90%,0:10,52%,94%,1.16%,67%,81%,27%,2%,55%,46,44,83,92,62,35%,7%,91,71%,53%,62%,100%,87.50%,1.16%,0:10,8%,0.18%,100%,100,27.62%,79,0:12,98,No data available,No data available,38,36,71%,98%,3.69,No data available,No data available,No data available,No data available,No data available
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not enough data available,Not enough data available,Not enough data available,94%,Not enough data available,Not enough data available,No data available,0:49,No data available,99%,0.00%,Not enough data available,Not enough data available,23%,6%,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,10%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,0%,No data available,0.00%,0:49,7%,2.05%,100%,102,No data available,No data available,0:06,98,No data available,0.0%,No data available,No data available,81%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5746,Amerigroup Community Care of New Mexico,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.",Anthem Inc.,50%,48%,Not enough data available,80%,65%,27%,Not enough data available,0:40,75%,92%,1.89%,50%,63%,27%,2%,54%,41,37,92,95,61,39%,30%,48,71%,Not enough data available,Not enough data available,No data available,No data available,1.89%,0:40,6%,0.20%,100%,98,No data available,Not enough data available,0:20,97,No data available,No data available,35,28,72%,96%,CMS identified issues with this plan's data,11%,23%,17%,9%,15%
H5774,Triple S Advantage,"TRIPLE S ADVANTAGE, INC.",Triple-S Management Corporation,78%,44%,80%,94%,82%,31%,94%,0:07,31%,98%,2.31%,39%,61%,22%,2%,64%,61,55,76,98,70,44%,13%,Insufficient data,73%,62%,82%,36%,60.00%,2.31%,0:07,5%,0.28%,100%,100,No data available,Not enough data available,0:04,97,0.0%,0.0%,43,39,72%,97%,CMS identified issues with this plan's data,15%,18%,26%,20%,12%
H5779,MeridianCare,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",Not enough data available,Not enough data available,Not enough data available,87%,Plan too small to be measured,Not enough data available,No data available,0:28,No data available,91%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,18%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,No data available,0.00%,0:28,4%,2.75%,92%,100,No data available,No data available,0:25,54,No data available,No data available,No data available,No data available,67%,79%,Plan too small to be measured,37%,57%,24%,26%,29%
H5793,Aetna Medicare,AETNA HEALTH INC. (CT),Aetna Inc.,77%,60%,98%,92%,77%,51%,Not enough data available,0:49,67%,97%,0.69%,79%,87%,32%,3%,56%,46,39,77,Not enough data available,46,51%,23%,50,81%,65%,83%,100%,No data available,0.69%,0:49,4%,0.76%,100%,99,14.58%,Not enough data available,0:42,98,0.0%,6.7%,45,17,77%,96%,2.22,14%,13%,46%,11%,7%
H5810,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",39%,55%,Not enough data available,89%,Not enough data available,11%,85%,0:08,57%,94%,1.59%,75%,85%,45%,4%,66%,53,45,87,89,52,Not enough data available,13%,52,73%,39%,58%,0%,No data available,1.59%,0:08,5%,0.50%,100%,98,No data available,78,0:10,99,No data available,No data available,41,37,75%,97%,10.28,25%,40%,12%,10%,22%
H5817,Amerigroup,"AMERIGROUP TEXAS, INC.",Anthem Inc.,52%,55%,91%,95%,60%,36%,Not enough data available,0:38,62%,95%,1.71%,69%,84%,26%,2%,63%,57,50,85,Not enough data available,67,49%,17%,66,72%,60%,69%,80%,No data available,1.71%,0:38,5%,0.20%,100%,98,23.08%,Not enough data available,0:20,99,0.0%,0.0%,43,41,77%,92%,CMS identified issues with this plan's data,18%,26%,15%,14%,14%
H5823,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare, Inc.,",31%,55%,94%,93%,58%,21%,88%,0:08,59%,95%,1.56%,71%,85%,31%,2%,63%,50,44,92,95,59,Not enough data available,16%,49,77%,51%,56%,100%,100.00%,1.56%,0:08,7%,0.26%,100%,99,25.00%,81,0:10,98,No data available,No data available,35,34,76%,No data available,5.16,31%,34%,15%,24%,17%
H5826,Community HealthFirst Medicare Advantage Plan,COMMUNITY HEALTH PLAN OF WASHINGTON,Community Health Plan of Washington,48%,47%,90%,91%,62%,25%,Not enough data available,0:22,77%,95%,2.44%,74%,82%,27%,1%,69%,48,41,92,Not enough data available,52,50%,32%,62,76%,55%,56%,50%,88.89%,2.44%,0:22,5%,0.35%,100%,101,13.64%,Not enough data available,0:17,97,0.0%,13.3%,31,23,75%,77%,CMS identified issues with this plan's data,22%,36%,24%,10%,11%
H5852,AHF,AIDS HEALTHCARE FOUNDATION,AIDS Healthcare Foundation,Not enough data available,82%,Not enough data available,98%,Not enough data available,Not enough data available,Not enough data available,0:25,90%,98%,0.80%,Not enough data available,Not enough data available,20%,2%,69%,38,29,96,Not enough data available,59,Not enough data available,47%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,100.00%,0.81%,0:19,11%,0.00%,100%,99,No data available,Not enough data available,0:07,100,No data available,No data available,58,30,75%,No data available,3.31,No data available,No data available,No data available,No data available,No data available
H5854,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.",Anthem Inc.,52%,67%,Not enough data available,93%,72%,Not enough data available,Not enough data available,0:17,68%,96%,2.34%,56%,69%,36%,7%,Not enough data available,44,36,83,Not enough data available,Not enough data available,46%,5%,52,83%,Not enough data available,Not enough data available,100%,No data available,2.34%,0:17,5%,0.62%,100%,99,27.27%,Not enough data available,0:20,99,0.0%,0.0%,43,24,79%,96%,CMS identified issues with this plan's data,29%,24%,25%,31%,23%
H5859,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.","CareOregon, Inc.",58%,53%,89%,91%,56%,30%,Not enough data available,0:15,66%,96%,0.78%,78%,88%,45%,6%,65%,50,41,92,Not enough data available,53,52%,83%,167,72%,65%,60%,100%,100.00%,0.78%,0:15,7%,0.12%,100%,100,18.75%,Not enough data available,0:23,99,0.0%,0.0%,41,36,78%,98%,7.26,16%,32%,16%,9%,13%
H5883,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,Blue Cross Blue Shield of Michigan Mutual Insuranc,80%,63%,96%,92%,82%,51%,90%,0:35,79%,96%,0.00%,77%,81%,42%,5%,55%,45,38,86,90,44,50%,27%,59,79%,59%,86%,100%,No data available,0.00%,0:35,5%,0.61%,100%,103,13.83%,82,0:17,97,0.0%,0.0%,36,9,76%,92%,1.13,18%,25%,31%,8%,7%
H5926,Molina Healthcare of Michigan,"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare, Inc.,",54%,51%,100%,92%,56%,30%,90%,0:05,54%,97%,0.78%,77%,91%,43%,2%,62%,52,51,81,91,61,Not enough data available,19%,54,75%,53%,56%,100%,100.00%,0.78%,0:05,7%,0.32%,100%,99,15.22%,82,0:10,99,No data available,No data available,50,44,77%,No data available,14.44,20%,24%,10%,7%,14%
H5928,Care1st Health Plan,CARE1ST HEALTH PLAN,California Physicians' Service,46%,61%,91%,87%,62%,26%,89%,1:01,62%,95%,0.00%,65%,84%,43%,3%,59%,48,44,85,Not enough data available,63,43%,14%,CMS Found Issues with Plan’s Data,66%,65%,37%,72%,87.50%,0.00%,1:01,4%,0.22%,100%,100,13.85%,Not enough data available,0:07,99,0.0%,0.0%,58,36,77%,98%,CMS identified issues with this plan's data,27%,34%,16%,23%,22%
H5932,Gateway Health Medicare Assured,"GATEWAY HEALTH PLAN, INC.","Gateway Health Plan, LP",50%,50%,93%,93%,64%,29%,91%,0:12,66%,96%,0.00%,70%,83%,41%,4%,63%,52,51,89,92,54,49%,25%,Insufficient data,77%,69%,66%,100%,100.00%,0.00%,0:12,6%,0.27%,100%,100,24.84%,82,0:17,91,No data available,No data available,54,37,75%,No data available,3.16,28%,35%,39%,23%,22%
H5937,UCare,UCARE MINNESOTA,UCare Minnesota,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5938,Capital Health Plan,CAPITAL HEALTH PLAN,Guidewell Mutual Holding Corporation,71%,61%,97%,92%,89%,45%,91%,0:08,82%,98%,0.00%,75%,83%,69%,1%,68%,40,48,85,92,55,49%,85%,43,77%,49%,86%,80%,100.00%,0.00%,0:08,5%,0.37%,100%,102,22.64%,83,0:08,96,No data available,0.0%,41,13,77%,99%,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H5943,VillageHealth,SCAN HEALTH PLAN,SCAN Health Plan,Not enough data available,39%,Not enough data available,90%,Not enough data available,Not enough data available,Not enough data available,0:09,85%,100%,0.00%,Not enough data available,Not enough data available,45%,0%,70%,58,41,Not enough data available,Not enough data available,Not enough data available,Not enough data available,20%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:09,5%,0.00%,100%,97,No data available,Not enough data available,0:17,99,No data available,No data available,60,54,66%,No data available,0.70,No data available,No data available,No data available,No data available,No data available
H5945,Prominence Health Plan,PROMINENCE HEALTHFIRST,"Universal Health Services, Inc.",Not enough data available,Not enough data available,Not enough data available,87%,No data available,Not enough data available,91%,0:03,71%,91%,0.00%,Not enough data available,Not enough data available,29%,0%,57%,34,33,82,Not enough data available,53,No data available,6%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,0%,No data available,0.00%,0:03,5%,1.27%,92%,101,No data available,Not enough data available,0:08,98,No data available,No data available,27,14,79%,94%,5.68,No data available,No data available,No data available,No data available,No data available
H5969,AlohaCare,ALOHACARE,AlohaCare,Not enough data available,Not enough data available,Not enough data available,95%,Not enough data available,Not enough data available,No data available,0:03,No data available,96%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,25%,136,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:03,4%,0.00%,100%,101,No data available,No data available,0:17,97,No data available,No data available,No data available,No data available,73%,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5970,Humana Insurance Company of New York,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,62%,53%,93%,92%,81%,32%,89%,0:41,75%,96%,2.54%,71%,79%,37%,3%,53%,48,44,89,Not enough data available,49,51%,18%,52,76%,55%,69%,0%,100.00%,2.54%,0:41,4%,0.58%,100%,100,17.65%,Not enough data available,0:04,99,No data available,0.0%,50,24,73%,99%,CMS identified issues with this plan's data,22%,27%,39%,15%,20%
H5985,Phoenix Health Plans,"PHOENIX HEALTH PLANS, INC.",Tenet Healthcare Corporation,47%,49%,75%,90%,66%,43%,Not enough data available,0:15,68%,92%,2.38%,77%,75%,37%,1%,56%,42,38,87,Not enough data available,46,40%,5%,55,70%,51%,67%,100%,100.00%,2.38%,0:15,5%,0.22%,100%,102,No data available,Not enough data available,0:10,97,No data available,0.0%,30,13,70%,98%,CMS identified issues with this plan's data,26%,37%,14%,12%,18%
H5989,CenterLight Healthcare,"CENTERLIGHT HEALTHCARE, INC.","CenterLight Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,100%,Not enough data available,Not enough data available,No data available,0:17,No data available,100%,2.44%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.64%,0:16,7%,0.00%,100%,98,12.44%,No data available,0:16,100,No data available,No data available,No data available,No data available,75%,No data available,0.16,No data available,No data available,No data available,No data available,No data available
H5991,Affinity Health Plan,"AFFINITY HEALTH PLAN, INC.","Affinity Health Services Holdings, Inc.",56%,42%,Not enough data available,89%,67%,46%,90%,0:20,47%,94%,2.31%,76%,92%,34%,7%,58%,59,45,93,Not enough data available,61,Not enough data available,3%,Insufficient data,83%,70%,78%,No data available,No data available,1.56%,0:17,6%,0.10%,100%,101,No data available,Not enough data available,0:13,99,0.0%,20.0%,43,34,78%,96%,CMS identified issues with this plan's data,28%,36%,16%,20%,23%
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","SWH Holdings, Inc.",Not enough data available,Not enough data available,Not enough data available,84%,No data available,Not enough data available,No data available,0:05,No data available,94%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,1.56%,0:05,No data available,No data available,100%,125,No data available,No data available,0:18,92,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5995,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not enough data available,61%,Not enough data available,95%,56%,15%,Not enough data available,0:15,62%,96%,0.00%,77%,89%,26%,1%,56%,38,34,91,Not enough data available,50,56%,3%,47,69%,57%,58%,100%,No data available,0.00%,0:15,6%,0.82%,100%,100,17.14%,Not enough data available,0:02,98,No data available,0.0%,25,26,74%,No data available,1.50,No data available,No data available,No data available,No data available,No data available
H6050,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Not enough data available,Not enough data available,Not enough data available,93%,No data available,Not enough data available,No data available,Not enough data available,No data available,75%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Not enough data available,Insufficient data,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H6052,Kaiser Permanente Medicare Cost,"KAISER FOUNDATION HP, INC.","Kaiser Foundation Health Plan, Inc.",Not enough data available,Not enough data available,Not enough data available,96%,Not enough data available,Not enough data available,92%,Not enough data available,89%,90%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,44%,44,12,93,Not enough data available,54,46%,Not enough data available,32,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,4.06,No data available,No data available,No data available,No data available,No data available
H6080,Meridian Complete,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.","Caidan Enterprises, Inc.",34%,51%,Not enough data available,90%,No data available,Not enough data available,Not enough data available,0:38,44%,80%,0.78%,63%,79%,48%,7%,63%,54,53,89,Not enough data available,Not enough data available,No data available,20%,Insufficient data,Not enough data available,Not enough data available,Not enough data available,100%,100.00%,0.78%,0:38,6%,0.71%,92%,98,19.61%,Not enough data available,0:23,65,No data available,No data available,41,38,72%,No data available,5.49,No data available,No data available,No data available,No data available,No data available
H6229,Anthem Blue Cross Cal MediConnect,"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.",Anthem Inc.,Not enough data available,46%,Not enough data available,89%,No data available,Not enough data available,Not enough data available,0:20,61%,71%,2.76%,58%,82%,13%,1%,Not enough data available,56,37,Not enough data available,Not enough data available,Not enough data available,No data available,0%,14,64%,Not enough data available,Not enough data available,100%,No data available,2.76%,0:20,5%,0.21%,96%,100,14.29%,Not enough data available,0:20,94,No data available,0.0%,38,32,72%,No data available,CMS identified issues with this plan's data,No data available,No data available,No data available,No data available,No data available
H6237,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",Not enough data available,73%,Not enough data available,92%,85%,Not enough data available,Not enough data available,0:41,78%,94%,0.68%,Not enough data available,Not enough data available,44%,7%,53%,39,44,95,Not enough data available,51,50%,9%,16,Not enough data available,Not enough data available,Not enough data available,100%,100.00%,0.68%,0:41,4%,1.07%,100%,103,No data available,91,0:16,97,No data available,0.0%,29,14,67%,97%,CMS identified issues with this plan's data,18%,25%,21%,8%,12%
H6298,Medical Mutual of Ohio,HEALTHSPAN INTEGRATED CARE,Catholic Health Partners,Not enough data available,85%,Not enough data available,90%,No data available,Not enough data available,Not enough data available,0:26,74%,92%,0.00%,Not enough data available,Not enough data available,27%,0%,59%,40,28,91,Not enough data available,Not enough data available,No data available,6%,26,79%,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:26,5%,1.38%,100%,100,No data available,Not enough data available,0:03,97,No data available,0.0%,26,11,79%,76%,CMS identified issues with this plan's data,29%,48%,22%,12%,23%
H6306,FirstMedicare Direct,FIRSTCAROLINACARE INSURANCE COMPANY,"FirstHealth of the Carolinas, Inc.",Not enough data available,61%,Not enough data available,96%,74%,Not enough data available,91%,0:20,84%,98%,0.00%,83%,88%,34%,0%,57%,43,36,91,Not enough data available,56,50%,50%,39,76%,Not enough data available,Not enough data available,100%,100.00%,0.00%,0:20,4%,0.25%,100%,101,No data available,Not enough data available,0:06,99,No data available,No data available,36,19,77%,63%,2.38,17%,23%,17%,9%,11%
