2020 Domain Star View: Medicare Report Card Master Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,HD4: Member Complaints and Changes in the Health Plan's Performance,HD5: Health Plan Customer Service,DD1: Drug Plan Customer Service,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD3: Member Experience with the Drug Plan,DD4: Drug Safety and Accuracy of Drug Pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5302,Local CCP,Aetna Health Inc. (ga),Aetna Medicare,CVS Health Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5322,Local CCP,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,"UnitedHealth Group, Inc.",3,4,3,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5325,Local CCP,"Coventry Health Care Of Kansas, Inc.",Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5337,Local CCP,"Aetna Better Health, Inc. (oh)",Aetna Better Health of Ohio (HMO SNP),CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5355,Demo,Iehp Health Access,IEHP DualChoice,INLAND EMPIRE HEALTH PLAN,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5377,Local CCP,"Humana Medical Plan Of Pennsylvania, Inc.",Humana,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5386,Local CCP,Sharp Health Plan,Sharp Health Plan,Sharp Healthcare,5,4,5,4,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5398,Local CCP,Centene Venture Company Kansas,Ascension Complete,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5410,Local CCP,Healthspring Of Florida,"HealthSpring of Florida, Inc.",CIGNA,5,5,5,4,5,4,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5420,Local CCP,"Medica Healthcare Plans, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,5,5,5,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5422,Local CCP,Blue Cross Blue Shield Healthcare Plan Of Georgia,Anthem Blue Cross and Blue Shield,Anthem Inc.,3,3,3,4,4,5,3,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5425,Local CCP,Scan Health Plan,SCAN Health Plan,SCAN Health Plan,4,4,3,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5427,Local CCP,"Freedom Health, Inc.","Freedom Health, Inc.",Anthem Inc.,4,4,3,4,5,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5430,Local CCP,Onecare By Care1st Health Plan Arizona Inc.,WellCare,"WellCare Health Plans, Inc.",3,3,3,3,Not enough data available,4,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5431,Local CCP,"Healthsun Health Plans, Inc.","HealthSun Health Plans, Inc.",Anthem Inc.,4,5,5,5,5,5,5,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5433,Local CCP,Orange County Health Authority,OneCare,Orange County Health Authority,3,3,3,3,4,5,3,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5434,Local CCP,"Blue Cross And Blue Shield Of Florida, Inc.",Florida Blue,Guidewell Mutual Holding Corporation,4,4,4,4,4,4,3,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5435,PFFS,Unitedhealthcare Insurance Company,UnitedHealthcare,"UnitedHealth Group, Inc.",3,2,3,4,5,5,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5439,Local CCP,Health Net Life Insurance Company,Health Net Life Insurance Company,Centene Corporation,3,3,2,5,4,3,5,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5454,Local CCP,"Clear Spring Health Of Illinois, Inc.",Clear Spring Health,Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5471,Local CCP,"Simply Healthcare Plans, Inc.","Simply Healthcare Plans, Inc.",Anthem Inc.,4,4,4,4,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5475,Local CCP,"Meridian Health Plan Of Michigan, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,3,4,4,5,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5496,Local CCP,"Imperial Health Plan Of California, Inc.","Imperial Health Plan of California, Inc.",Imperial Health Plan of California,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5521,Local CCP,Aetna Life Insurance Company,Aetna Medicare,CVS Health Corporation,4,4,4,5,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5522,Local CCP,"Healthassurance Pennsylvania, Inc.",Aetna Medicare,CVS Health Corporation,3,3,5,5,5,5,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5525,Local CCP,"Humana Benefit Plan Of Illinois, Inc.",Humana,Humana Inc.,3,4,4,4,4,5,4,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5526,Local CCP,Healthnow New York Inc.,BlueCross BlueShield of WNY and BlueShield of NENY,HealthNow New York Inc.,5,3,4,5,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5528,Local CCP,Group Health Incorporated,EmblemHealth Medicare PPO,"EmblemHealth, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5533,Local CCP,"Upmc Health Network, Inc.",UPMC for Life,UPMC Health System,4,4,4,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5549,Local CCP,Vns Choice,VNSNY CHOICE Medicare,Visiting Nurse Service of New York,3,4,3,5,3,3,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5576,Local CCP,"Vantage Health Plan, Inc.","Vantage Health Plan, Inc.","Vantage Holdings, Inc.",3,4,4,4,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5577,Local CCP,"Mcs Advantage, Inc.",MCS Classicare,"Medical Card System, Inc.",4,4,3,4,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5580,Local CCP,Mercy Care,Mercy Care Advantage,Mercy Care,3,3,3,4,4,4,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5587,Local CCP,"Health Choice Arizona, Inc.",Steward Health Choice Arizona,"Steward Health Care System, LLC",3,2,2,4,3,4,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5590,Local CCP,Bridgeway Health Solutions,Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5591,Local CCP,"Martin's Point Generations Advantage, Inc.",Martin's Point Generations Advantage,"Martin's Point Health Care, Inc.",4,4,5,4,4,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5593,Local CCP,Aetna Health Of Iowa Inc.,Aetna Medicare,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5594,Local CCP,"Optimum Healthcare, Inc.","Optimum HealthCare, Inc.",Anthem Inc.,4,4,4,4,5,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5608,Local CCP,"Denver Health Medical Plan, Inc.","Denver Health Medical Plan, Inc.",Denver Health and Hospital Authority,4,3,3,4,3,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5613,MSA,"Mvp Health Plan, Inc.",MVP HEALTH CARE,"MVP Health Care, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5619,Local CCP,"Arcadian Health Plan, Inc.",Humana,Humana Inc.,4,4,3,5,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5628,Local CCP,"Molina Healthcare Of Utah, Inc.",Molina Healthcare of Utah & Idaho,"Molina Healthcare, Inc.,",3,3,3,3,4,5,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5644,Local CCP,Network Health Insurance Corporation,Network Health Medicare Advantage Plans,"Network Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5649,Local CCP,"Central Health Plan Of California, Inc.",Central Health Medicare Plan,AHMC Central Health LLC,4,4,1,4,5,5,5,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5652,Local CCP,"Sierra Health And Life Insurance Company, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",4,4,4,4,Not enough data available,5,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5656,Local CCP,"Selectcare Health Plans, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,2,4,4,4,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5703,Local CCP,South Country Health Alliance,South Country Health Alliance,South Country Health Alliance,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5742,Local CCP,"Sha, Llc",FirstCare Advantage,Baylor Scott & White Holdings,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5746,Local CCP,"Amerigroup Community Care Of New Mexico, Inc.",Amerigroup Community Care of New Mexico,Anthem Inc.,3,4,Not enough data available,4,Not enough data available,5,4,Not enough data available,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5774,Local CCP,"Triple S Advantage, Inc.",Triple S Advantage,Triple-S Management Corporation,4,4,3,4,5,5,4,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5779,Local CCP,"Meridian Health Plan Of Illinois, Inc.",WellCare,"WellCare Health Plans, Inc.",3,3,3,3,5,5,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5793,Local CCP,Aetna Health Inc. (ct),Aetna Medicare,CVS Health Corporation,4,4,3,3,5,5,4,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5810,Local CCP,Molina Healthcare Of California,Molina Healthcare of California,"Molina Healthcare, Inc.,",3,3,3,4,Not enough data available,5,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5823,Local CCP,"Molina Healthcare Of Washington, Inc.","Molina Healthcare of Washington, Inc.","Molina Healthcare, Inc.,",3,3,2,4,4,5,5,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5826,Local CCP,Community Health Plan Of Washington,Community Health Plan of WA Medicare Advantage,Community Health Plan of Washington,3,3,2,3,4,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5841,Local CCP,Bright Health Insurance Company,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5852,Local CCP,Aids Healthcare Foundation,AHF,AIDS Healthcare Foundation,4,4,3,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5854,Local CCP,"Anthem Health Plans, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,4,4,4,4,5,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5859,Local CCP,"Health Plan Of Careoregon, Inc.",CareOregon Advantage,"CareOregon, Inc.",3,4,3,5,5,5,4,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5883,Local CCP,Blue Care Network Of Michigan,Blue Care Network,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,4,4,3,5,4,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5926,Local CCP,"Molina Healthcare Of Michigan, Inc.",Molina Healthcare of Michigan,"Molina Healthcare, Inc.,",3,3,3,4,4,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5928,Local CCP,Blue Shield Of California Promise Health Plan,Blue Shield of California Promise Health Plan,California Physicians' Service,4,3,2,3,4,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5932,Local CCP,"Gateway Health Plan, Inc.",Gateway Health Medicare Assured,"Gateway Health Plan, LP",3,3,4,4,5,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5937,Local CCP,Ucare Minnesota,UCare,UCare Minnesota,4,Not enough data available,4,5,Not enough data available,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5938,Local CCP,Capital Health Plan,Capital Health Plan,Guidewell Mutual Holding Corporation,5,4,5,4,5,5,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5943,Local CCP,Scan Health Plan,VillageHealth,SCAN Health Plan,3,4,3,5,4,5,5,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5945,Local CCP,Prominence Healthfirst,Prominence Health Plan,"Universal Health Services, Inc.",4,3,2,5,3,4,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5959,Local CCP,Blue Cross And Blue Shield Of Minnesota,Blue Cross Blue Shield of Minnesota,"Aware Integrated, Inc.",4,3,5,4,5,5,5,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5965,Local CCP,Wellcare Health Insurance Company Of Washington,WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5969,Local CCP,Alohacare,AlohaCare,AlohaCare,3,3,2,4,Not enough data available,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5970,Local CCP,Humana Insurance Company Of New York,Humana,Humana Inc.,4,4,4,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5989,Local CCP,"Centerlight Healthcare, Inc.",CenterLight Healthcare,"CenterLight Health System, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5991,Local CCP,Health Insurance Plan Of Greater New York,EmblemHealth Medicare HMO,"EmblemHealth, Inc.",4,3,Not enough data available,3,4,5,4,Not enough data available,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5992,Local CCP,"Senior Whole Health Of New York, Inc.",Senior Whole Health of New York,"Magellan Health, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H5995,Local CCP,Atrio Health Plans,ATRIO Health Plans,ATRIO Health Plans,3,3,3,5,4,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6080,Demo,"Meridian Health Plan Of Illinois, Inc.",MeridianComplete,"WellCare Health Plans, Inc.",Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6121,Local CCP,Bright Health Insurance Company Of Illinois,Bright Health,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6154,Local CCP,Medica Health Plans,Medica,Medica Holding Company,3,3,4,4,4,5,5,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6229,Demo,"Blue Cross Of California Partnership Plan, Inc.",Anthem Blue Cross Cal MediConnect,Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6237,Local CCP,Regence Bluecross Blueshield Of Oregon,Regence BlueCross BlueShield of Oregon,"Cambia Health Solutions, Inc.",4,4,4,4,5,5,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6306,Local CCP,Firstcarolinacare Insurance Company,FirstMedicare Direct,"FirstHealth of the Carolinas, Inc.",4,3,4,4,Not enough data available,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6316,Local CCP,"Missouri Care, Incorporated",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6328,Local CCP,"Care N' Care Insurance Company, Inc.",Care NÆ Care Insurance Company,Texas Health Resources,4,4,4,4,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6345,Local CCP,"Pruitthealth Premier North Carolina, Llc",PruittHealth Premier,"UNICO Premier, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6348,Local CCP,Coordinated Care Corporation,Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6351,Local CCP,"Liberty Advantage, Llc",Liberty Advantage,Liberty Healthcare Insurance,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6379,Local CCP,"Clear Spring Health (co), Inc.",Clear Spring Health,Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6396,Local CCP,Caresource,CareSource,CareSource Management Group Co.,2,Not enough data available,3,4,3,5,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6439,Local CCP,"Wellcare Health Plans Of Arizona, Inc.",WellCare,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6446,Local CCP,"Silversummit Healthplan, Inc.",Allwell,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6453,Local CCP,"Hmo Louisiana, Inc.",Blue Cross and Blue Shield of Louisiana HMO,Louisiana Health Service & Indemnity Company,3,3,3,4,5,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6502,Local CCP,Missouri Valley Life And Health Insurance Company,Blue Cross and Blue Shield of Kansas City (Blue KC,Blue Cross and Blue Shield of Kansas City,Not enough data available,Not enough data available,4,5,Not enough data available,5,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6526,Local CCP,"Unitedhealthcare Of New Mexico, Inc.",UnitedHealthcare,"UnitedHealth Group, Inc.",Not enough data available,Not enough data available,1,4,5,5,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6528,Local CCP,Care Improvement Plus South Central Insurance Co.,UnitedHealthcare,"UnitedHealth Group, Inc.",4,3,3,4,5,5,4,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6550,Local CCP,"Sunflower State Health Plan, Inc.",Allwell,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6595,Local CCP,"Unitedhealthcare Of Kentucky, Ltd.",UnitedHealthcare,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6622,Local CCP,Humana Wi Health Organization Insurance Corp,Humana,Humana Inc.,4,4,4,4,4,5,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6672,Local CCP,"Eon Health, Inc. (ga)",Clear Spring Health,Delaware Life Insurance Company,Not enough data available,Not enough data available,Not enough data available,Not enough data available,3,Not enough data available,Not enough data available,Not enough data available,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6723,Local CCP,Medical Mutual Of Ohio,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,3,3,4,5,4,5,5,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6743,Local CCP,Atrio Health Plans,ATRIO Health Plans,ATRIO Health Plans,3,3,3,4,4,4,4,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6750,Local CCP,"Harvard Pilgrim Health Care Of New England, Inc.","Harvard Pilgrim Health Care of New England, Inc.","Harvard Pilgrim Health Care, Inc.",4,3,4,4,3,4,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6776,Local CCP,"Elderserve Health, Inc.",RiverSpring Health Plans,Riverspring Health Holding Corp.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6786,Local CCP,"Anthem Health Plans Of Maine, Inc.",Anthem Blue Cross and Blue Shield,Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6815,Local CCP,Health Net Health Plan Of Oregon,"Health Net Health Plan of Oregon, Inc.",Centene Corporation,4,3,3,4,4,3,4,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6821,Local CCP,Mutual Of Omaha Medicare Advantage Company,Mutual of Omaha Medicare Advantage,Mutual of Omaha Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6832,Local CCP,"Align Senior Care Mi, Llc",Align Senior Care,"Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H6870,Demo,"Superior Health Plan, Inc.",Superior HealthPlan,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
