2020 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Plan Makes Timely Decisions about Appeals - DMC16,Controlling High Blood Pressure - DMC17,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC18,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC19,Transitions of Care - Notification of Inpatient Admission - DMC20,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC21,Transitions of Care - Receipt of Discharge Information - DMC22,Transitions of Care - Average - DMC23,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Reminders to Fill Prescriptions - DMD11,Reminders to Take Medications - DMD12,High Risk Medication - DMD13,Antipsychotic Use in Persons with Dementia - DMD14,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD15,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD16,Use of Opioids at High Dosage and from Multiple Providers - DMD17,MPF Price Accuracy - DMD18,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H5294,Allwell,"Superior Health Plan, Inc.",Centene Corporation,49%,57%,Not enough data available,65%,Not enough data available,Not enough data available,00:15,57%,97%,0.00%,Not enough data available,Not enough data available,30%,1%,43,Not enough data available,69%,48%,46%,5%,82%,0%,33%,No data available,No data available,0.00%,00:15,3%,0.17%,100%,100,00:09,93,70%,60%,10%,7%,7%,No data available,0.00,95,9.74,Not Available,36%,14%,Not Available,Not Available,100
H5302,Aetna Medicare,Aetna Health Inc. (ga),CVS Health Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:50,No data available,97%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,65%,51%,83%,0%,80%,0%,41%,No data available,No data available,0.00%,00:50,3%,1.60%,100%,101,00:26,95,No data available,No data available,7%,No data available,No data available,No data available,0.00,98,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5322,UnitedHealthcare,Care Improvement Plus South Central Insurance Co.,"UnitedHealth Group, Inc.",41%,53%,88%,67%,31%,91,00:27,57%,97%,2.31%,72%,83%,35%,4%,49,100%,75%,53%,51%,8%,83%,1%,36%,100%,No data available,2.31%,00:27,4%,0.00%,96%,100,00:26,94,57%,50%,16%,7%,6%,9%,0.98,94,2.57,20%,41%,13%,Not Available,11%,100
H5325,Aetna Medicare,"Coventry Health Care Of Kansas, Inc.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:48,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.19%,00:06,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:26,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5337,Aetna Better Health of Ohio (HMO SNP),"Aetna Better Health, Inc. (oh)",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:30,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.00%,00:30,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:08,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5355,IEHP DualChoice,Iehp Health Access,INLAND EMPIRE HEALTH PLAN,53%,52%,84%,43%,26%,90,00:12,55%,93%,0.00%,77%,91%,20%,3%,27,76%,67%,49%,40%,10%,80%,3%,33%,63%,66.67%,0.00%,00:12,3%,0.01%,100%,102,00:03,88,58%,45%,10%,8%,8%,8%,0.43,88,18.92,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5377,Humana,"Humana Medical Plan Of Pennsylvania, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:17,Plan too new to be measured,Plan too new to be measured,1.62%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.62%,00:17,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:10,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5386,Sharp Health Plan,Sharp Health Plan,Sharp Healthcare,Not enough data available,63%,Not enough data available,83%,Not enough data available,94,00:07,80%,97%,0.00%,Not enough data available,Not enough data available,15%,1%,52,92%,81%,57%,65%,48%,86%,18%,54%,100%,100.00%,0.00%,00:07,2%,0.00%,100%,100,00:07,93,38%,18%,7%,12%,10%,No data available,0.00,98,7.09,Not Available,Not Available,Not Available,Not Available,Not Available,60
H5398,Ascension Complete,Centene Venture Company Kansas,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5410,"HealthSpring of Florida, Inc.",Healthspring Of Florida,CIGNA,65%,63%,92%,88%,81%,97,00:23,71%,98%,0.35%,71%,85%,39%,8%,30,100%,85%,66%,92%,39%,95%,10%,59%,83%,100.00%,0.35%,00:23,2%,0.19%,100%,99,00:05,-97,46%,45%,5%,15%,15%,No data available,0.17,98,1.39,24%,28%,7%,9%,15%,100
H5420,UnitedHealthcare,"Medica Healthcare Plans, Inc.","UnitedHealth Group, Inc.",49%,54%,86%,92%,38%,94,00:23,51%,98%,0.00%,65%,84%,7%,0%,27,99%,86%,63%,75%,7%,86%,1%,42%,100%,No data available,0.00%,00:23,3%,0.01%,96%,100,00:26,94,58%,36%,13%,10%,9%,No data available,0.34,95,8.94,19%,25%,18%,17%,13%,100
H5422,Anthem Blue Cross and Blue Shield,Blue Cross Blue Shield Healthcare Plan Of Georgia,Anthem Inc.,34%,42%,Not enough data available,72%,35%,Not enough data available,01:24,62%,91%,0.00%,58%,75%,44%,4%,45,88%,57%,46%,27%,5%,67%,1%,25%,No data available,No data available,0.00%,01:24,2%,0.45%,100%,100,00:04,86,51%,39%,5%,10%,9%,No data available,0.00,84,3.71,27%,29%,15%,Not Available,19%,60
H5425,SCAN Health Plan,Scan Health Plan,SCAN Health Plan,39%,52%,79%,78%,29%,Not enough data available,00:22,76%,96%,1.18%,55%,71%,12%,1%,30,98%,75%,57%,72%,14%,87%,10%,46%,86%,100.00%,1.18%,00:22,2%,0.76%,100%,100,00:04,88,62%,43%,7%,10%,10%,10%,0.43,75,3.17,17%,29%,17%,Not Available,14%,60
H5427,"Freedom Health, Inc.","Freedom Health, Inc.",Anthem Inc.,44%,58%,88%,82%,39%,89,00:01,66%,98%,3.13%,72%,75%,7%,1%,30,99%,79%,58%,77%,0%,88%,0%,41%,50%,No data available,3.13%,00:01,4%,0.51%,100%,100,00:14,81,61%,40%,8%,7%,7%,15%,0.08,88,8.85,17%,35%,12%,7%,11%,100
H5430,WellCare,Onecare By Care1st Health Plan Arizona Inc.,"WellCare Health Plans, Inc.",57%,46%,Not enough data available,65%,21%,Not enough data available,01:44,57%,92%,3.45%,85%,92%,33%,6%,29,Not enough data available,71%,58%,68%,16%,86%,11%,45%,No data available,No data available,3.45%,01:44,4%,0.00%,100%,101,01:26,91,54%,42%,7%,8%,8%,No data available,0.00,96,3.35,10%,26%,4%,5%,8%,100
H5431,"HealthSun Health Plans, Inc.","Healthsun Health Plans, Inc.",Anthem Inc.,28%,70%,95%,73%,19%,97,00:14,41%,98%,0.00%,76%,93%,74%,7%,32,99%,89%,64%,87%,1%,95%,9%,48%,100%,No data available,0.00%,00:14,2%,0.32%,100%,100,00:13,85,41%,56%,13%,11%,11%,No data available,0.00,94,7.39,Not Available,Not Available,Not Available,Not Available,Not Available,80
H5433,OneCare,Orange County Health Authority,Orange County Health Authority,Not enough data available,58%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,00:30,33%,95%,1.56%,Not enough data available,Not enough data available,26%,0%,No data available,94%,77%,56%,51%,8%,82%,1%,35%,No data available,No data available,1.56%,00:30,1%,0.00%,100%,102,00:05,92,57%,40%,5%,5%,No data available,No data available,0.00,98,18.34,0%,9%,3%,0%,1%,100
H5434,Florida Blue,"Blue Cross And Blue Shield Of Florida, Inc.",Guidewell Mutual Holding Corporation,Not enough data available,70%,Not enough data available,90%,44%,92,00:43,75%,98%,0.63%,62%,65%,28%,2%,36,90%,69%,61%,62%,13%,86%,1%,40%,100%,100.00%,0.63%,00:43,3%,0.33%,100%,100,00:05,91,50%,20%,8%,9%,9%,No data available,0.00,93,8.82,12%,11%,39%,9%,9%,100
H5435,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",59%,58%,91%,68%,25%,91,00:29,74%,95%,3.13%,75%,74%,39%,6%,50,99%,64%,52%,47%,11%,82%,2%,35%,100%,No data available,3.13%,00:29,3%,0.05%,96%,101,00:26,94,43%,25%,11%,10%,7%,20%,0.61,94,2.26,11%,8%,34%,7%,6%,100
H5439,Health Net Life Insurance Company,Health Net Life Insurance Company,Centene Corporation,46%,56%,83%,85%,30%,90,00:08,76%,95%,0.79%,80%,78%,36%,4%,39,98%,73%,59%,51%,7%,83%,0%,35%,92%,100.00%,0.79%,00:08,3%,0.02%,100%,100,00:09,94,31%,17%,7%,11%,11%,14%,0.90,93,2.16,18%,34%,18%,9%,16%,100
H5441,Healthfirst Medicare Plan,"Healthfirst Health Plan, Inc.","Healthfirst, Inc.",Not enough data available,63%,Not enough data available,69%,31%,Not enough data available,00:02,79%,99%,1.57%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,64,Not enough data available,61%,45%,51%,1%,77%,0%,32%,100%,No data available,1.57%,00:02,2%,0.28%,100%,103,00:21,94,61%,58%,13%,15%,17%,8%,0.00,90,6.15,Not Available,Not Available,Not Available,Not Available,Not Available,80
H5454,Clear Spring Health,"Clear Spring Health Of Illinois, Inc.",Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:12,Plan too new to be measured,Plan too new to be measured,4.40%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0.78%,00:03,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:05,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5471,"Simply Healthcare Plans, Inc.","Simply Healthcare Plans, Inc.",Anthem Inc.,28%,58%,87%,80%,26%,94,01:36,46%,97%,3.97%,70%,81%,9%,1%,39,99%,86%,53%,75%,2%,85%,1%,41%,75%,100.00%,3.97%,01:36,3%,0.41%,100%,100,00:04,86,59%,53%,11%,10%,10%,11%,0.40,81,11.47,Not Available,Not Available,Not Available,Not Available,Not Available,60
H5475,WellCare,"Meridian Health Plan Of Michigan, Inc.","WellCare Health Plans, Inc.",35%,55%,82%,56%,38%,90,00:47,50%,94%,0.63%,50%,79%,42%,5%,24,100%,63%,56%,24%,1%,70%,5%,25%,100%,No data available,0.63%,00:47,3%,0.53%,100%,100,00:20,31,62%,54%,12%,8%,7%,No data available,0.53,96,4.99,35%,34%,18%,18%,23%,80
H5496,"Imperial Health Plan of California, Inc.","Imperial Health Plan Of California, Inc.",Imperial Health Plan of California,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,01:34,No data available,95%,1.56%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,0%,Not enough data available,0%,CMS Found Issues with Plan's Data,67%,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,No data available,No data available,1.56%,01:34,1%,1.13%,100%,100,00:23,90,No data available,No data available,2%,No data available,No data available,No data available,No data available,97,CMS identified issues with this plan's data,Not Available,Not Available,Not Available,Not Available,Not Available,80
H5521,Aetna Medicare,Aetna Life Insurance Company,CVS Health Corporation,47%,65%,89%,86%,39%,92,01:04,80%,97%,0.50%,76%,79%,26%,4%,36,98%,65%,53%,62%,2%,76%,1%,35%,100%,100.00%,0.50%,01:04,3%,0.63%,100%,100,00:26,96,53%,27%,8%,10%,9%,13%,0.71,98,2.90,13%,18%,32%,Not Available,13%,80
H5522,Aetna Medicare,"Healthassurance Pennsylvania, Inc.",CVS Health Corporation,45%,59%,90%,77%,35%,93,00:47,79%,96%,0.78%,84%,89%,28%,1%,51,97%,65%,57%,90%,2%,78%,3%,43%,100%,No data available,3.16%,00:10,3%,0.90%,100%,100,00:26,97,54%,31%,7%,10%,7%,17%,0.74,98,2.70,7%,24%,23%,8%,5%,100
H5525,Humana,"Humana Benefit Plan Of Illinois, Inc.",Humana Inc.,48%,57%,91%,73%,32%,93,00:19,75%,97%,1.51%,71%,72%,38%,5%,53,95%,77%,57%,43%,2%,91%,0%,34%,100%,No data available,1.51%,00:19,3%,0.56%,100%,100,00:10,92,57%,36%,11%,11%,10%,14%,0.38,97,0.61,16%,17%,38%,8%,12%,100
H5526,BlueCross BlueShield of WNY and BlueShield of NENY,Healthnow New York Inc.,HealthNow New York Inc.,Not enough data available,63%,96%,89%,40%,92,00:29,85%,98%,0.00%,78%,82%,16%,1%,35,100%,74%,62%,44%,22%,79%,5%,37%,100%,100.00%,0.00%,00:29,3%,0.46%,100%,102,00:04,87,44%,20%,8%,11%,10%,12%,0.00,91,1.47,11%,11%,44%,7%,5%,60
H5528,EmblemHealth Medicare PPO,Group Health Incorporated,"EmblemHealth, Inc.",Not enough data available,Not enough data available,Not enough data available,Plan too small to be measured,Not enough data available,No data available,Not enough data available,No data available,91%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,Not enough data available,Not enough data available,No data available,No data available,100%,No data available,Not enough data available,No data available,No data available,No data available,15%,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5533,UPMC for Life,"Upmc Health Network, Inc.",UPMC Health System,Not enough data available,63%,Not enough data available,82%,35%,92,00:02,83%,97%,0.78%,69%,82%,7%,1%,52,100%,70%,52%,75%,33%,84%,39%,58%,67%,100.00%,0.78%,00:02,2%,0.22%,100%,103,00:04,90,51%,29%,7%,10%,9%,12%,0.00,84,3.01,8%,23%,29%,5%,5%,60
H5549,VNSNY CHOICE Medicare,Vns Choice,Visiting Nurse Service of New York,46%,58%,98%,65%,41%,93,01:31,69%,94%,24.00%,74%,93%,42%,7%,49,97%,40%,48%,20%,1%,77%,0%,24%,100%,100.00%,24.00%,01:31,2%,0.14%,100%,101,00:09,93,72%,77%,5%,12%,12%,7%,1.11,97,0.16,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5576,"Vantage Health Plan, Inc.","Vantage Health Plan, Inc.","Vantage Holdings, Inc.",29%,51%,86%,67%,75%,93,00:12,66%,96%,1.56%,58%,68%,17%,1%,55,99%,76%,51%,64%,18%,83%,6%,43%,100%,No data available,1.56%,00:12,5%,0.48%,100%,100,00:17,-4,43%,31%,19%,9%,8%,15%,0.25,100,14.49,24%,26%,27%,Not Available,10%,80
H5577,MCS Classicare,"Mcs Advantage, Inc.","Medical Card System, Inc.",77%,46%,80%,82%,60%,93,00:14,33%,98%,10.94%,46%,53%,7%,0%,40,99%,87%,43%,59%,5%,83%,2%,37%,97%,100.00%,10.94%,00:14,1%,0.16%,100%,100,00:12,83,52%,54%,4%,9%,9%,No data available,0.14,96,1.09,10%,17%,20%,Not Available,10%,80
H5580,Mercy Care Advantage,Mercy Care,Mercy Care,62%,52%,Not enough data available,70%,44%,Not enough data available,00:08,55%,97%,4.65%,83%,88%,38%,6%,42,95%,68%,65%,60%,11%,87%,5%,41%,79%,62.50%,4.65%,00:08,5%,0.37%,100%,100,00:00,98,49%,36%,12%,12%,13%,9%,3.15,97,CMS identified issues with this plan's data,9%,15%,6%,6%,6%,100
H5587,Steward Health Choice Arizona,"Health Choice Arizona, Inc.","Steward Health Care System, LLC",53%,45%,Not enough data available,69%,24%,Not enough data available,00:09,54%,92%,0.00%,61%,85%,58%,12%,28,88%,74%,56%,35%,5%,81%,1%,30%,50%,100.00%,0.00%,00:09,3%,0.04%,100%,101,00:05,87,52%,37%,8%,7%,6%,No data available,1.59,91,2.08,20%,32%,7%,6%,6%,80
H5590,Allwell,Bridgeway Health Solutions,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:21,No data available,92%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,68%,61%,43%,3%,81%,0%,32%,100%,100.00%,0.78%,00:21,3%,0.00%,100%,100,00:09,93,No data available,No data available,6%,No data available,No data available,No data available,0.00,95,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5591,Martin's Point Generations Advantage,"Martin's Point Generations Advantage, Inc.","Martin's Point Health Care, Inc.",64%,68%,90%,86%,45%,93,00:49,80%,97%,2.40%,84%,86%,40%,6%,34,97%,71%,57%,67%,60%,91%,48%,67%,100%,100.00%,2.40%,00:49,2%,0.48%,100%,100,00:18,81,30%,15%,7%,10%,8%,17%,0.00,87,CMS identified issues with this plan's data,10%,12%,29%,10%,8%,100
H5593,Aetna Medicare,Aetna Health Of Iowa Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5594,"Optimum HealthCare, Inc.","Optimum Healthcare, Inc.",Anthem Inc.,41%,61%,91%,83%,42%,91,00:01,65%,97%,0.78%,69%,75%,8%,1%,29,100%,78%,55%,78%,0%,87%,0%,42%,100%,No data available,0.78%,00:01,4%,0.58%,100%,100,00:14,81,61%,36%,7%,6%,6%,4%,0.10,88,8.66,16%,26%,13%,6%,10%,100
H5608,"Denver Health Medical Plan, Inc.","Denver Health Medical Plan, Inc.",Denver Health and Hospital Authority,55%,55%,Not enough data available,47%,36%,Not enough data available,00:25,69%,96%,0.78%,70%,82%,63%,8%,45,78%,69%,55%,78%,82%,83%,57%,75%,No data available,No data available,0.78%,00:25,3%,0.00%,100%,101,00:06,17,43%,37%,7%,5%,5%,No data available,0.00,99,CMS identified issues with this plan's data,20%,22%,29%,Not Available,16%,80
H5613,MVP HEALTH CARE,"Mvp Health Plan, Inc.","MVP Health Care, Inc.",Not enough data available,Benefit not offered by plan ,Benefit not offered by plan ,No data available,Not enough data available,No data available,Plan not required to report measure,No data available,87%,Plan not required to report measure,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,Benefit not offered by plan ,No data available,Not enough data available,60%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan too small to be measured,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,100
H5619,Humana,"Arcadian Health Plan, Inc.",Humana Inc.,41%,57%,86%,76%,29%,Not enough data available,00:19,71%,96%,1.51%,73%,79%,56%,6%,41,95%,78%,54%,42%,1%,89%,1%,33%,98%,100.00%,1.51%,00:19,2%,0.40%,100%,100,00:10,92,55%,36%,9%,10%,9%,17%,0.57,96,0.92,21%,24%,23%,9%,13%,100
H5628,Molina Healthcare of Utah & Idaho,"Molina Healthcare Of Utah, Inc.","Molina Healthcare, Inc.,",65%,54%,Not enough data available,72%,27%,90,00:11,64%,97%,2.03%,59%,76%,26%,4%,30,96%,64%,52%,26%,7%,79%,4%,29%,100%,No data available,2.03%,00:11,4%,0.14%,100%,102,00:21,92,49%,42%,11%,10%,12%,11%,1.22,93,11.03,33%,41%,20%,Not Available,23%,100
H5644,Network Health Medicare Advantage Plans,Network Health Insurance Corporation,"Network Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:47,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.56%,00:47,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:04,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5649,Central Health Medicare Plan,"Central Health Plan Of California, Inc.",AHMC Central Health LLC,20%,41%,73%,62%,25%,Not enough data available,00:30,65%,95%,0.00%,62%,80%,7%,1%,19,100%,82%,49%,50%,13%,81%,1%,36%,80%,No data available,0.00%,00:30,2%,0.27%,100%,98,00:09,94,49%,42%,5%,4%,4%,4%,0.46,97,CMS identified issues with this plan's data,26%,37%,14%,Not Available,19%,80
H5652,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",Not enough data available,66%,Not enough data available,87%,41%,92,00:29,91%,100%,1.24%,84%,94%,27%,0%,51,Not enough data available,74%,74%,78%,12%,89%,2%,45%,100%,No data available,1.24%,00:29,3%,0.00%,96%,101,00:26,94,46%,16%,7%,6%,6%,7%,0.00,93,0.77,Not Available,Not Available,Not Available,Not Available,Not Available,80
H5656,WellCare,"Selectcare Health Plans, Inc.","WellCare Health Plans, Inc.",Not enough data available,52%,Not enough data available,68%,42%,Not enough data available,02:00,60%,88%,4.69%,Not enough data available,Not enough data available,29%,2%,32,100%,66%,46%,52%,1%,75%,0%,32%,No data available,No data available,4.69%,02:00,2%,0.00%,100%,102,00:49,92,58%,47%,6%,5%,3%,No data available,0.00,97,15.73,18%,46%,9%,Not Available,11%,100
