2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC04,Doctors who Communicate Well - DMC05,Call Center – Beneficiary Hold Time - DMC06,Pneumonia Vaccine - DMC07,Access to Primary Care Doctor Visits - DMC08,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC09,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC10,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC11,Initiation of Alcohol or other Drug Treatment - DMC12,Engagement of Alcohol or other Drug Treatment - DMC13,Hospitalization for Potentially Preventable Complications - DMC14,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC15,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC16,Transitions of Care - Notification of Inpatient Admission - DMC17,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC18,Transitions of Care - Receipt of Discharge Information - DMC19,Transitions of Care - Average - DMC20,Plan All-Cause Readmissions (18+) - DMC21,Plan All-Cause Readmissions (18-64) - DMC22,Plan All-Cause Readmissions (65+) - DMC23,Physical Functioning Activities of Daily Living - DMC24,Care of Older Adults - Functional Status - DMC25,Kidney Health Evaluation for Patients With Diabetes - DMC26,Improving or Maintaining Physical Health - DMC27,Improving or Maintaining Mental Health - DMC28,Cardiac Rehabiliation - Acheivement - DMC29,Cardiac Rehabiliation - Engagement 1 - DMC30,Cardiac Rehabiliation - Engagement 2 - DMC31,Cardiac Rehabilation - Initiation - DMC32,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD01,Call Center – Beneficiary Hold Time - DMD02,MPF – Stability - DMD03,Call Center – Pharmacy Hold Time - DMD04,Plan Submitted Higher Prices for Display on MPF - DMD05,Reminders to Fill Prescriptions - DMD06,Reminders to Take Medications - DMD07,Antipsychotic Use in Persons with Dementia - DMD08,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD09,Concurrent Use of Opioids and Benzodiazepines - DMD10,Use of Opioids at High Dosage in Persons Without Cancer - DMD11,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD12,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD13,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD14,Initial Opioid Prescribing (IOP-LD) - DMD15,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H6408,Trinity Health Plan Of New England,MOUNT CARMEL HEALTH PLAN OF CONNECTICUT INC,Trinity Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6446,Wellcare by Allwell,"SILVERSUMMIT HEALTHPLAN, INC.",Centene Corporation,21%,73%,Not enough data available,Not enough data available,Plan too new to be measured,2:21,54%,86%,14.84%,59%,64%,32%,4%,Not enough data available,40%,31%,4%,66%,3%,26%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,39%,51%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,14.84%,2:21,99,0:12,96,54%,31%,5%,No data available,12.30%,10.16%,0.46%,11.01%,12.92%,17.73%,22.79,23%,30%,9%,5%,21%,100
H6453,Blue Cross and Blue Shield of Louisiana,"HMO LOUISIANA, INC.",Louisiana Health Service & Indemnity Company,39%,67%,89%,38%,No data available,0:21,73%,96%,1.12%,71%,82%,15%,2%,15%,58%,78%,57%,88%,43%,66%,12%,9%,12%,95%,Plan not required to report measure,43%,66%,80%,1%,3%,3%,2%,1.12%,0:21,99,0:48,48,54%,38%,13%,No data available,10.55%,6.09%,0.49%,6.73%,10.39%,10.24%,7.48,17%,17%,29%,17%,12%,100
H6502,Blue Medicare Advantage,MISSOURI VALLEY LIFE AND HEALTH INSURANCE COMPANY,Blue Cross and Blue Shield of Kansas City,Not enough data available,75%,Not enough data available,39%,92,0:13,81%,95%,1.08%,79%,70%,35%,3%,21%,56%,57%,14%,83%,20%,44%,12%,Not enough data available,12%,96%,Plan not required to report measure,51%,66%,78%,5%,17%,13%,16%,1.08%,0:13,99,1:29,56,52%,21%,9%,No data available,18.87%,6.22%,0.00%,6.55%,11.64%,11.77%,3.39,12%,12%,18%,10%,12%,100
H6526,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW MEXICO, INC.","UnitedHealth Group, Inc.",28%,65%,Not enough data available,31%,No data available,0:36,78%,92%,0.00%,Not enough data available,Not enough data available,21%,2%,10%,48%,65%,18%,88%,20%,48%,13%,Not enough data available,12%,93%,Plan not required to report measure,44%,63%,73%,10%,24%,24%,22%,0.00%,0:36,100,0:36,57,52%,24%,5%,No data available,8.60%,7.27%,0.00%,7.11%,7.92%,13.19%,8.91,16%,21%,16%,5%,9%,100
H6528,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",42%,64%,81%,33%,No data available,0:32,69%,97%,0.46%,69%,78%,36%,4%,13%,58%,55%,11%,83%,14%,41%,11%,11%,10%,97%,No data available,34%,60%,80%,4%,10%,8%,6%,0.46%,0:32,100,0:36,57,54%,29%,7%,No data available,16.10%,6.17%,0.49%,9.07%,14.26%,18.45%,6.97,10%,22%,28%,Not Available,9%,100
H6529,MyTruAdvantage,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","SIHO Holding, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:10,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.74%,0:08,95,1:01,92,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,4.08%,9.78%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6545,Devoted Health,DEVOTED HEALTH INSURANCE COMPANY OF ILLINOIS INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6550,Wellcare by Allwell,"SUNFLOWER STATE HEALTH PLAN, INC.",Centene Corporation,75%,55%,Not enough data available,Not enough data available,No data available,2:31,52%,94%,11.32%,79%,86%,40%,8%,15%,55%,50%,11%,77%,7%,36%,15%,Not enough data available,Not enough data available,100%,63%,33%,76%,74%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,11.32%,2:31,100,0:12,96,60%,43%,11%,No data available,18.93%,7.74%,0.76%,11.22%,17.09%,17.42%,9.08,17%,24%,12%,Not Available,19%,100
H6586,Devoted Health,"DEVOTED HEALTH INSURANCE COMPANY OF ARIZONA, INC.","Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6594,Wellcare,"WELLCARE HEALTH PLANS OF VERMONT, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:45,62%,88%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,55%,32%,87%,19%,48%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,38%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:45,99,1:06,93,44%,31%,9%,No data available,18.47%,17.66%,0.00%,11.38%,9.61%,17.07%,10.21,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6595,UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",52%,57%,Not enough data available,Not enough data available,92,0:35,56%,97%,0.00%,72%,82%,42%,11%,19%,55%,58%,12%,83%,12%,41%,17%,19%,15%,Plan too new to be measured,64%,31%,Plan too new to be measured,Plan too new to be measured,0%,1%,1%,1%,0.00%,0:35,100,0:36,59,54%,40%,10%,13%,20.64%,3.77%,0.26%,19.21%,27.45%,22.09%,5.55,20%,18%,20%,Not Available,23%,100
H6605,Wellcare by â€˜Ohana Health Plan,"WELLCARE HEALTH INSURANCE OF HAWAII, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1:22,Plan too new to be measured,Plan too new to be measured,1.27%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1.27%,1:22,No data available,1:06,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6622,Humana,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP,Humana Inc.,45%,65%,91%,25%,93,0:18,70%,96%,1.40%,76%,84%,51%,7%,14%,67%,86%,18%,90%,9%,51%,12%,13%,12%,97%,93%,53%,69%,82%,4%,8%,7%,6%,1.40%,0:18,100,0:47,87,59%,29%,6%,8%,12.50%,6.24%,0.29%,8.91%,11.78%,19.06%,2.59,16%,21%,18%,Not Available,15%,100
H6652,American Health Advantage of Florida,"AMERICAN HEALTH PLAN OF FL, INC.",Mitchell Family Office,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:47,Plan too small to be measured,Plan too small to be measured,1.09%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,No data available,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.09%,0:47,No data available,0:13,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No Data Available,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6672,Clear Spring Health,"CLEAR SPRING HEALTH (GA), INC.",Group 1001,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:26,Plan too small to be measured,Plan too small to be measured,1.85%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.85%,0:26,92,0:48,49,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6678,Ascension Complete,CENTENE VENTURE INSURANCE COMPANY TEXAS,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,1:52,Plan too new to be measured,Plan too new to be measured,4.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,4.00%,1:52,No data available,0:12,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6706,UnitedHealthcare,"UnitedHealthcare Benefits of Texas, Inc.","UnitedHealth Group, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:36,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:36,No data available,0:36,56,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,13.20%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6713,Wellcare,"WELLCARE OF ILLINOIS, INC.",Centene Corporation,10%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,0:46,47%,84%,0.00%,67%,80%,33%,3%,Not enough data available,54%,44%,12%,66%,8%,33%,Not enough data available,Not enough data available,Not enough data available,Plan too new to be measured,Plan not required to report measure,41%,Plan too new to be measured,Plan too new to be measured,Not enough data available,Not enough data available,Not enough data available,Not enough data available,0.00%,0:46,99,1:06,91,51%,41%,5%,No data available,14.05%,5.84%,0.69%,8.15%,8.77%,14.79%,22.62,28%,47%,13%,Not Available,26%,100
H6723,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,MEDICAL MUTUAL OF OHIO,49%,70%,98%,31%,93,0:15,76%,96%,0.00%,76%,84%,36%,5%,19%,60%,72%,32%,88%,24%,54%,14%,14%,14%,93%,Plan not required to report measure,41%,65%,79%,2%,8%,7%,4%,0.00%,0:15,100,0:48,48,57%,27%,8%,10%,9.87%,6.45%,0.32%,8.06%,10.62%,13.38%,3.99,11%,17%,30%,8%,7%,100
H6743,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not enough data available,62%,87%,22%,91,1:15,75%,94%,0.91%,78%,76%,26%,3%,7%,57%,55%,41%,88%,42%,56%,8%,13%,7%,95%,Plan not required to report measure,24%,66%,80%,0%,0%,0%,4%,0.91%,1:15,100,0:05,90,29%,16%,10%,No data available,10.68%,7.04%,0.36%,7.91%,10.86%,12.98%,0.88,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6750,"Harvard Pilgrim Health Care of New England, Inc.","HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Point32Health, Inc.",Not enough data available,69%,Not enough data available,29%,92,0:36,76%,96%,2.08%,85%,85%,31%,5%,14%,61%,71%,44%,88%,27%,57%,10%,11%,10%,99%,Plan not required to report measure,51%,70%,80%,4%,14%,8%,11%,2.08%,0:36,99,0:16,54,54%,24%,10%,No data available,20.33%,13.10%,0.00%,7.38%,9.28%,8.49%,7.09,Not Available,Not Available,Not Available,Not Available,Not Available,60
H6765,Iowa Health Advantage,AMERICAN HEALTH PLAN OF IOWA INC,Mitchell Family Office,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6776,RiverSpring Health Plans,"ELDERSERVE HEALTH, INC.",RiverSpring Living Holding Corp.,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,0:17,Plan too small to be measured,Plan too small to be measured,3.21%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,No data available,97%,Plan too small to be measured,No data available,No data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,3.57%,0:25,100,0:21,13,No data available,No data available,6%,4%,No data available,No data available,No data available,No data available,20.19%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6813,Devoted Health,DEVOTED HEALTH INSURANCE COMPANY OF TEXAS INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6815,Wellcare by Health Net,"HEALTH NET HEALTH PLAN OF OREGON, INC.",Centene Corporation,42%,67%,94%,25%,91,2:25,75%,93%,5.33%,73%,82%,34%,3%,11%,56%,70%,41%,88%,38%,59%,10%,Not enough data available,10%,96%,Plan not required to report measure,45%,62%,83%,1%,10%,8%,7%,5.33%,2:25,101,0:12,96,37%,17%,9%,No data available,7.84%,4.40%,0.56%,6.00%,8.68%,16.73%,3.07,22%,19%,14%,8%,15%,100
H6830,Ascension Complete,CENTENE VENTURE COMPANY KANSAS,Centene Corporation,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,2:00,Plan too small to be measured,Plan too small to be measured,1.39%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,CMS found issues with plan's data,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,Plan not required to report measure,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,1.39%,2:00,94,0:12,93,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6832,Align Senior Care,"ALIGN SENIOR CARE MI, LLC","Innovative Long Term Care Management, Inc.",Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,0:11,Plan too small to be measured,Plan too small to be measured,0.00%,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Not enough data available,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too new to be measured,84%,Plan too small to be measured,Plan too new to be measured,Plan too new to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,Plan too small to be measured,0.00%,0:11,No data available,2:08,No data available,Plan too new to be measured,Plan too new to be measured,6%,7%,15.66%,2.77%,0.00%,No data available,27.14%,No data available,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H6847,Mass General Brigham Health Plan,ALLWAYS HEALTH PARTNERS INC,Mass General Brigham Incorporated,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6851,WellSense Health Plan,"BOSTON MEDICAL CENTER HEALTH PLAN, INC.","BMC Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,0:15,Plan too new to be measured,Plan too new to be measured,2.04%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,2.04%,0:15,No data available,0:48,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6852,Devoted Health,DEVOTED HEALTH PLAN OF PENNSYLVANIA INC,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan not required to report measure,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,No data available,No data available,No data available,No data available,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
