2017 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Appropriate Monitoring of Patients Taking Long-term Medications - DMC04,Osteoporosis Testing - DMC05,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC06,Doctors who Communicate Well - DMC07,Call Center – Beneficiary Hold Time - DMC08,Pneumonia Vaccine - DMC09,Access to Primary Care Doctor Visits - DMC10,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC11,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC12,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC13,Initiation of Alcohol or other Drug Treatment - DMC14,Engagement of Alcohol or other Drug Treatment - DMC15,Hospitalization for Potentially Preventable Complications - DMC16,Statin Therapy for Patients with Cardiovascular Disease - DMC17,Asthma Medication Ratio - DMC18,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Diabetes Medication Dosing - DMD06,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD07,MPF – Stability - DMD08,Call Center – Pharmacy Hold Time - DMD09,Plan Submitted Higher Prices for Display on MPF - DMD10,Transition monitoring - failure rate for drugs within classes of clinical concern - DMD11,Transition monitoring - failure rate for all other drugs - DMD12,Reminders to Fill prescriptions - DMD13,Reminders to Take Medications - DMD14,Statin Use in Persons with Diabetes (SUPD) - DMD15,High Risk Medication - DMD16,Formulary Administration Analysis - DMD17,Antipsychotic Use in Persons with Dementia - DMD18,Enrollment Timeliness - DME01,Grievance Rate - DME02,"Disenrollment Reasons - Problems Getting Needed Care, Coverage, and Cost Information (MA-PD, MA-only) - DME03","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME04","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME05","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME06","Disenrollment Reasons - Problems Getting Information about Prescription Drugs (MA-PD, PDP) - DME07"
H4875,Priority Health Medicare,Priority Health,Spectrum Health System,63%,68%,90%,91%,86%,36%,92,1:26,76%,96%,0.00%,80%,81%,42%,4%,38,79%,88%,82%,100.00%,0.00%,1:26,4%,0.58%,100%,98,3:12,97,0.0%,0.0%,44%,27%,76%,4%,No data available,11%,92%,5.48,16%,16%,35%,8%,11%
H4876,Constellation Health,"Constellation Health, Llc.","Constellation Health, LLC.",Not enough data available,Not enough data available,Not enough data available,94%,No data available,Not enough data available,No data available,1:27,No data available,98%,2.21%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,2.31%,1:31,8%,0.00%,100%,102,0:08,99,No data available,No data available,No data available,No data available,84%,7%,No data available,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H4882,HealthPartners,"Healthpartners, Inc.","HealthPartners, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4909,Anthem Blue Cross and Blue Shield,"Anthem Insurance Companies, Inc.",Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,94%,87%,Not enough data available,92,0:39,80%,99%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,27,80%,Not enough data available,100%,No data available,0.00%,0:39,7%,0.00%,100%,97,0:21,98,No data available,No data available,31%,20%,79%,10%,No data available,12%,No data available,0.92,No data available,No data available,No data available,No data available,No data available
H4922,AgeWell New York,"Agewell New York, Llc","ParkerCare New York, LLC",Not enough data available,Not enough data available,Not enough data available,91%,79%,Not enough data available,90,0:09,57%,93%,0.82%,39%,59%,29%,0%,No data available,Not enough data available,Not enough data available,0%,100.00%,1.69%,0:53,4%,0.85%,100%,100,0:41,98,No data available,0.0%,50%,29%,74%,3%,0.0%,11%,88%,2.25,28%,54%,27%,25%,15%
H4931,University Care Advantage,"University Care Advantage, Inc.",Banner Health,75%,90%,Not enough data available,92%,59%,Not enough data available,90,0:26,58%,94%,0.00%,72%,86%,30%,4%,45,78%,52%,100%,50.00%,0.00%,0:26,6%,0.06%,100%,100,0:05,98,0.0%,0.0%,47%,41%,74%,4%,No data available,4%,No data available,7.44,21%,23%,11%,12%,16%
H5008,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",41%,49%,88%,94%,60%,30%,88,0:19,68%,96%,0.96%,70%,86%,33%,2%,41,81%,71%,100%,No data available,0.96%,0:19,6%,0.19%,100%,100,0:43,98,No data available,0.0%,53%,41%,80%,8%,No data available,17%,No data available,5.32,24%,31%,24%,11%,18%
H5009,Regence BlueShield,Regence Blueshield,"Cambia Health Solutions, Inc.",76%,62%,87%,92%,85%,35%,94,0:49,84%,97%,1.34%,67%,77%,39%,4%,31,82%,84%,100%,100.00%,1.34%,0:49,5%,0.95%,100%,98,0:32,99,No data available,No data available,45%,26%,79%,7%,0.0%,17%,97%,CMS identified issues with this plan's data,11%,20%,48%,7%,6%
H5010,Asuris Northwest Health,Asuris Northwest Health,"Cambia Health Solutions, Inc.",Not enough data available,62%,Not enough data available,93%,84%,Not enough data available,91,0:49,79%,97%,1.34%,Not enough data available,Not enough data available,37%,3%,13,68%,Not enough data available,100%,100.00%,1.34%,0:49,5%,0.61%,100%,97,0:32,99,No data available,No data available,41%,23%,74%,7%,3.3%,18%,No data available,0.73,10%,12%,42%,8%,4%
H5042,CDPHP Medicare Choices,"Cdphp Universal Benefits, Inc.","Capital District Physicians' Health Plan, Inc.",Not enough data available,63%,Not enough data available,95%,94%,36%,94,Not enough data available,84%,98%,Not enough data available,86%,89%,Not enough data available,Not enough data available,50,84%,91%,100%,No data available,Not enough data available,Not enough data available,4%,0.42%,100%,No data available,Not enough data available,No data available,No data available,No data available,48%,20%,82%,4%,No data available,12%,No data available,3.13,No data available,No data available,No data available,No data available,No data available
H5050,Kaiser Foundation Health Plan of Washington,Kaiser Foundation Health Plan Of Washington,"Kaiser Foundation Health Plan, Inc.",70%,63%,96%,92%,84%,35%,92,0:57,85%,96%,0.81%,59%,77%,34%,3%,30,85%,86%,100%,100.00%,0.81%,0:57,3%,1.15%,100%,99,0:04,88,0.0%,0.0%,17%,14%,84%,4%,0.0%,18%,99%,CMS identified issues with this plan's data,21%,24%,36%,8%,11%
H5087,Easy Choice Health Plan,Easy Choice Health Plan Inc.,"WellCare Health Plans, Inc.",26%,40%,95%,92%,58%,17%,86,0:18,49%,93%,0.80%,74%,86%,13%,1%,23,72%,66%,100%,100.00%,0.80%,0:18,4%,0.15%,100%,101,0:13,99,0.0%,0.0%,53%,53%,77%,2%,No data available,6%,99%,3.81,14%,33%,11%,8%,10%
H5106,Highmark Senior Solutions Company,Highmark Senior Solutions Company,Highmark Health,51%,56%,96%,91%,73%,30%,93,0:22,77%,97%,0.83%,69%,54%,45%,2%,42,74%,Not enough data available,85%,100.00%,0.83%,0:22,6%,0.49%,100%,97,0:09,98,0.0%,26.7%,38%,24%,71%,9%,0.0%,14%,100%,0.51,14%,6%,49%,6%,8%
H5117,Allwell,"Louisiana Healthcare Connections, Inc.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5141,CLOVER HEALTH,Clover Insurance Company,"Clover Health Holdings, Inc.",40%,44%,82%,93%,68%,51%,90,0:39,55%,94%,0.00%,72%,77%,38%,2%,48,74%,67%,100%,100.00%,0.00%,0:21,4%,0.33%,100%,100,0:36,99,0.0%,0.0%,57%,51%,75%,3%,3.3%,6%,99%,CMS identified issues with this plan's data,27%,40%,23%,14%,17%
H5172,Community Health Group,Community Health Group,Community Health Group,37%,48%,Not enough data available,94%,Not enough data available,20%,90,0:16,65%,91%,0.80%,62%,83%,25%,2%,43,82%,85%,No data available,No data available,0.80%,0:16,4%,0.07%,100%,100,0:04,98,No data available,0.0%,57%,47%,84%,4%,3.3%,8%,No data available,2.42,No data available,No data available,No data available,No data available,No data available
H5190,Allwell,"Sunshine State Health Plan, Inc.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,95%,Not enough data available,Not enough data available,Not enough data available,0:23,38%,90%,0.84%,69%,73%,31%,4%,No data available,Not enough data available,Not enough data available,100%,100.00%,0.84%,0:23,7%,0.00%,100%,92,0:11,98,No data available,0.0%,54%,49%,76%,4%,No data available,6%,No data available,6.56,34%,60%,13%,17%,23%
H5199,WellCare,"Wellcare Health Insurance Of Arizona, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5209,"Care Wisconsin Health Plan, Inc.","Care Wisconsin Health Plan, Inc.","Care Wisconsin First, Inc.",Not enough data available,Not enough data available,Not enough data available,96%,62%,44%,Not enough data available,0:34,74%,100%,0.00%,69%,88%,10%,1%,162,Not enough data available,80%,No data available,No data available,0.00%,0:34,8%,1.05%,96%,99,1:03,55,0.0%,0.0%,46%,44%,80%,10%,16.7%,18%,No data available,0.00,No data available,No data available,No data available,No data available,No data available
H5211,"Security Health Plan of Wisconsin, Inc.","Security Health Plan Of Wisconsin, Inc.","Marshfield Clinic Health System, Inc.",Not enough data available,67%,96%,95%,83%,30%,94,1:48,84%,96%,0.00%,78%,82%,30%,2%,40,81%,87%,100%,No data available,0.00%,1:48,5%,0.36%,100%,102,1:36,98,0.0%,0.0%,22%,20%,78%,7%,0.0%,12%,97%,1.08,9%,15%,42%,6%,7%
H5215,Network Health Medicare Advantage Plans,Network Health Insurance Corporation,"Network Health, Inc.",67%,79%,91%,94%,83%,43%,91,1:33,80%,95%,0.81%,83%,84%,36%,4%,36,78%,89%,67%,100.00%,0.81%,1:33,5%,0.07%,100%,102,0:09,97,0.0%,6.7%,24%,15%,78%,5%,No data available,12%,97%,1.22,8%,36%,21%,5%,6%
H5216,Humana Insurance Company,Humana Insurance Company,Humana Inc.,70%,60%,92%,92%,79%,29%,91,0:45,80%,97%,0.00%,68%,75%,35%,4%,39,80%,79%,100%,No data available,0.00%,0:45,5%,0.49%,100%,100,0:32,98,0.0%,0.0%,59%,33%,79%,5%,0.0%,12%,97%,CMS identified issues with this plan's data,19%,11%,33%,13%,15%
H5253,UnitedHealthcare,"Unitedhealthcare Of Wisconsin, Inc.","UnitedHealth Group, Inc.",57%,54%,91%,93%,75%,33%,91,0:16,75%,96%,0.22%,74%,77%,38%,4%,42,78%,78%,92%,100.00%,0.22%,0:16,5%,0.26%,100%,99,0:43,99,0.0%,13.3%,48%,26%,78%,4%,No data available,11%,97%,4.89,15%,23%,27%,12%,12%
H5256,Medical Associates Clinic Health Plan of Wisconsin,Medical Associates Clinic Health Plan,"Medical Associates Clinic, P.C.",Not enough data available,Benefit not offered by plan,Plan not required to report measure,Benefit not offered by plan,75%,33%,95,Plan not required to report measure,77%,97%,Plan not required to report measure,Benefit not offered by plan,Benefit not offered by plan,Not enough data available,Not enough data available,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,0.42,No data available,No data available,No data available,No data available,No data available
H5262,Senior Preferred,Gundersen Health Plan,University of Wisconsin Hospitals and Clincs Autho,Not enough data available,65%,100%,93%,85%,49%,95,0:37,86%,97%,0.00%,85%,87%,32%,9%,CMS Found Issues with Plan’s Data,88%,94%,67%,No data available,0.00%,0:37,3%,0.91%,100%,103,0:24,98,0.0%,0.0%,22%,17%,86%,4%,10.0%,15%,93%,1.66,9%,19%,34%,9%,7%
H5264,"Dean Health Plan, Inc.","Dean Health Plan, Inc.",SSM Healthcare Corporation,86%,Benefit not offered by plan,Plan not required to report measure,Benefit not offered by plan,80%,48%,94,Plan not required to report measure,81%,97%,Plan not required to report measure,Benefit not offered by plan,Benefit not offered by plan,29%,2%,Plan not required to report measure,Plan not required to report measure,Benefit not offered by plan,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,No data available,CMS identified issues with this plan's data,7%,21%,21%,No data available,No data available
H5280,Molina Healthcare of Ohio,"Molina Healthcare Of Ohio, Inc.","Molina Healthcare, Inc.,",74%,57%,87%,94%,Not enough data available,13%,90,0:12,57%,96%,0.00%,79%,88%,37%,7%,32,83%,65%,83%,No data available,0.00%,0:12,8%,0.42%,100%,99,0:34,99,0.0%,0.0%,53%,48%,78%,9%,No data available,14%,No data available,30.44,No data available,No data available,No data available,No data available,No data available
H5294,Allwell,"Superior Health Plan, Inc.",Centene Corporation,53%,60%,Not enough data available,96%,Not enough data available,Not enough data available,Not enough data available,0:12,57%,95%,0.00%,Not enough data available,Not enough data available,46%,2%,28,78%,Not enough data available,No data available,No data available,0.00%,0:12,4%,0.00%,100%,98,0:09,98,No data available,0.0%,63%,54%,79%,5%,No data available,13%,No data available,4.10,20%,40%,18%,15%,16%
H5302,Coventry Health Care,Aetna Health Inc. (ga),Aetna Inc.,Not enough data available,Not enough data available,Not enough data available,94%,Plan too small to be measured,Not enough data available,No data available,0:04,No data available,99%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,No data available,No data available,0.00%,0:16,5%,1.69%,100%,102,0:28,98,No data available,0.0%,No data available,No data available,73%,4%,0.0%,No data available,No data available,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5322,UnitedHealthcare,Care Improvement Plus South Central Insurance Co.,"UnitedHealth Group, Inc.",Not enough data available,63%,Not enough data available,93%,77%,Not enough data available,93,0:18,76%,97%,0.36%,Not enough data available,Not enough data available,38%,0%,44,84%,Not enough data available,100%,No data available,0.36%,0:18,6%,0.23%,100%,99,0:43,99,No data available,6.7%,43%,27%,76%,6%,No data available,14%,No data available,4.78,19%,15%,28%,7%,11%
H5355,IEHP DualChoice,Iehp Health Access,INLAND EMPIRE HEALTH PLAN,60%,48%,86%,92%,47%,20%,87,0:29,53%,92%,0.00%,74%,87%,25%,1%,33,69%,59%,No data available,No data available,0.00%,0:29,6%,0.15%,100%,100,0:06,98,0.0%,0.0%,60%,51%,74%,8%,0.0%,10%,No data available,9.57,No data available,No data available,No data available,No data available,No data available
H5386,Sharp Health Plan,Sharp Health Plan,Sharp Healthcare,Not enough data available,Not enough data available,Not enough data available,89%,No data available,Not enough data available,No data available,0:13,No data available,98%,0.00%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,100%,No data available,0.00%,0:13,4%,0.00%,100%,No data available,0:04,No data available,No data available,No data available,No data available,No data available,82%,10%,No data available,No data available,93%,Plan too small to be measured,No data available,No data available,No data available,No data available,No data available
H5410,"HealthSpring of Florida, Inc.",Healthspring Of Florida,CIGNA,74%,88%,96%,98%,85%,63%,96,0:22,73%,98%,0.80%,74%,89%,38%,8%,25,72%,73%,86%,100.00%,0.80%,0:22,3%,0.94%,100%,102,0:16,52,0.0%,0.0%,48%,46%,78%,2%,0.0%,11%,No data available,0.61,24%,28%,14%,12%,20%
H5415,"Humana Health Insurance Company of Florida, Inc.","Humana Health Insurance Company Of Florida, Inc.",Humana Inc.,Not enough data available,62%,94%,94%,87%,42%,89,0:45,72%,98%,0.00%,63%,77%,20%,2%,45,76%,74%,100%,No data available,0.00%,0:45,5%,0.70%,100%,100,0:32,99,0.0%,0.0%,63%,36%,76%,7%,0.0%,9%,98%,CMS identified issues with this plan's data,17%,46%,32%,10%,10%
H5420,UnitedHealthcare,"Medica Healthcare Plans, Inc.","UnitedHealth Group, Inc.",50%,52%,98%,96%,86%,38%,92,0:27,50%,98%,2.48%,68%,85%,7%,0%,26,76%,85%,96%,No data available,2.48%,0:27,5%,0.26%,100%,99,0:43,99,0.0%,0.0%,60%,36%,76%,3%,No data available,10%,97%,1.64,16%,22%,23%,19%,12%
H5422,Blue Cross Blue Shield Healthcare Plan of Georgia,Blue Cross Blue Shield Healthcare Plan Of Georgia,Anthem Inc.,Not enough data available,Not enough data available,Not enough data available,91%,69%,Not enough data available,90,0:34,67%,94%,0.00%,Not enough data available,Not enough data available,33%,0%,28,80%,Not enough data available,0%,No data available,0.00%,0:34,5%,0.00%,100%,100,0:21,98,No data available,No data available,47%,27%,72%,4%,0.0%,10%,98%,4.49,30%,39%,25%,11%,23%
H5425,SCAN Health Plan,Scan Health Plan,SCAN Health Plan,42%,48%,86%,94%,77%,30%,90,0:38,73%,96%,1.20%,48%,56%,14%,1%,27,68%,78%,73%,100.00%,1.20%,0:38,5%,0.29%,100%,99,0:42,99,0.0%,0.0%,57%,40%,77%,3%,No data available,11%,97%,1.62,26%,26%,21%,18%,19%
H5427,"Freedom Health, Inc.","Freedom Health, Inc.","America's 1st Choice Holdings of Florida, LLC",44%,57%,93%,97%,76%,70%,88,0:04,64%,97%,0.00%,74%,79%,9%,1%,24,68%,84%,0%,No data available,0.00%,0:04,5%,0.54%,100%,101,0:25,97,0.0%,0.0%,67%,40%,79%,3%,6.7%,7%,98%,7.83,16%,28%,13%,13%,10%
H5430,Care1st+,Onecare By Care1st Health Plan Arizona Inc.,"WellCare Health Plans, Inc.",56%,49%,Not enough data available,92%,69%,27%,Not enough data available,0:26,54%,94%,0.80%,68%,84%,60%,8%,57,85%,Not enough data available,100%,100.00%,0.80%,0:26,3%,0.04%,100%,101,0:10,98,No data available,0.0%,52%,38%,78%,4%,3.3%,8%,No data available,0.77,No data available,No data available,No data available,No data available,No data available
H5431,"HealthSun Health Plans, Inc.","Healthsun Health Plans, Inc.","HealthSun Health Plans, Inc",10%,61%,95%,98%,65%,19%,96,0:32,39%,98%,0.00%,65%,85%,4%,0%,12,73%,57%,100%,No data available,0.00%,0:32,4%,0.42%,100%,100,2:21,98,No data available,No data available,42%,58%,79%,1%,13.3%,10%,99%,CMS identified issues with this plan's data,18%,34%,9%,12%,18%
H5433,OneCare,Orange County Health Authority,Orange County Health Authority,Not enough data available,51%,Not enough data available,93%,Not enough data available,Not enough data available,Not enough data available,0:08,39%,96%,0.00%,Not enough data available,Not enough data available,Benefit not offered by plan,Benefit not offered by plan,No data available,Not enough data available,Not enough data available,100%,No data available,0.00%,0:08,4%,0.08%,100%,100,0:15,98,No data available,0.0%,53%,39%,70%,7%,0.0%,18%,No data available,11.94,No data available,No data available,No data available,No data available,No data available
H5434,Florida Blue,"Blue Cross And Blue Shield Of Florida, Inc.",Guidewell Mutual Holding Corporation,64%,60%,92%,94%,89%,35%,93,0:22,77%,98%,1.30%,57%,73%,31%,2%,47,74%,90%,96%,100.00%,1.30%,0:22,6%,0.31%,100%,100,0:12,99,No data available,No data available,48%,22%,77%,6%,0.0%,11%,98%,3.53,8%,16%,45%,14%,7%
H5435,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",66%,56%,92%,91%,69%,28%,91,0:20,73%,95%,0.51%,73%,72%,38%,1%,57,74%,80%,67%,No data available,0.51%,0:20,6%,0.16%,100%,99,0:43,98,0.0%,0.0%,47%,29%,72%,5%,No data available,13%,98%,4.33,9%,8%,37%,8%,10%
H5439,Health Net Life Insurance Company,Health Net Life Insurance Company,Centene Corporation,Not enough data available,Not enough data available,Not enough data available,89%,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,91%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,40,Not enough data available,Not enough data available,100%,100.00%,Not enough data available,Not enough data available,4%,0.00%,100%,101,Not enough data available,99,No data available,No data available,No data available,No data available,80%,3%,0.0%,No data available,No data available,No Data Available,No data available,No data available,No data available,No data available,No data available
H5441,Healthfirst Medicare Plan,"Healthfirst Health Plan, Inc.","Healthfirst, Inc.",Not enough data available,42%,Not enough data available,97%,60%,Not enough data available,Not enough data available,0:25,75%,99%,0.00%,44%,78%,Not enough data available,Not enough data available,123,Not enough data available,Not enough data available,100%,No data available,0.00%,0:25,7%,0.00%,100%,100,0:34,99,No data available,No data available,70%,67%,87%,4%,No data available,17%,No data available,3.12,No data available,No data available,No data available,No data available,No data available
H5471,"Simply Healthcare Plans, Inc.","Simply Healthcare Plans, Inc.",Anthem Inc.,17%,55%,85%,97%,76%,19%,94,0:36,44%,96%,1.67%,70%,86%,10%,1%,25,70%,70%,78%,No data available,1.67%,0:36,6%,0.18%,100%,102,0:22,98,No data available,No data available,57%,50%,76%,3%,0.0%,10%,99%,13.08,18%,37%,16%,12%,13%
H5475,MeridianCare,"Meridian Health Plan Of Michigan, Inc.","Caidan Enterprises, Inc.",63%,56%,Not enough data available,86%,59%,Not enough data available,Not enough data available,1:02,52%,94%,0.00%,76%,86%,40%,4%,42,76%,56%,No data available,No data available,0.00%,1:02,7%,0.65%,96%,101,0:38,38,No data available,0.0%,63%,56%,72%,10%,No data available,11%,97%,21.13,21%,34%,15%,10%,14%
H5496,"Imperial Health Plan of California, Inc.","Imperial Health Plan Of California, Inc.",Imperial Health Plan of California,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5520,Health Net Life Insurance Company,Health Net Life Insurance Company,Centene Corporation,62%,54%,90%,91%,82%,30%,91,0:51,74%,94%,1.60%,61%,63%,27%,2%,40,76%,80%,84%,100.00%,1.60%,0:51,5%,0.06%,100%,101,0:14,98,0.0%,0.0%,26%,23%,73%,4%,0.0%,12%,97%,3.25,8%,37%,26%,4%,5%
H5521,Aetna Medicare,Aetna Life Insurance Company,Aetna Inc.,56%,65%,92%,93%,87%,39%,92,0:19,74%,97%,0.51%,73%,79%,27%,3%,36,79%,86%,93%,100.00%,0.51%,0:19,5%,0.88%,100%,101,0:28,97,6.7%,0.0%,56%,28%,76%,5%,0.0%,12%,98%,1.34,16%,25%,38%,14%,11%
H5522,HealthAmerica,"Healthassurance Pennsylvania, Inc.",Aetna Inc.,56%,57%,92%,92%,73%,35%,93,0:07,77%,96%,0.84%,76%,82%,31%,3%,39,76%,85%,100%,No data available,0.00%,0:16,5%,0.87%,100%,101,0:28,98,0.0%,0.0%,43%,30%,75%,4%,0.0%,11%,99%,1.67,14%,16%,39%,13%,10%
H5525,"Humana Benefit Plan of Illinois, Inc.","Humana Benefit Plan Of Illinois, Inc.",Humana Inc.,48%,58%,89%,92%,75%,30%,93,0:47,73%,97%,0.00%,62%,69%,32%,4%,48,77%,81%,100%,50.00%,0.00%,0:47,6%,0.68%,100%,100,0:32,99,0.0%,0.0%,55%,35%,75%,8%,0.0%,11%,98%,CMS identified issues with this plan's data,23%,19%,43%,15%,17%
H5526,BlueCross BlueShield of WNY and BlueShield of NENY,Healthnow New York Inc.,HealthNow New York Inc.,Not enough data available,58%,97%,93%,91%,46%,92,0:06,80%,98%,0.80%,84%,93%,12%,2%,39,80%,95%,100%,100.00%,0.80%,0:06,5%,0.34%,100%,101,0:42,97,0.0%,26.7%,39%,19%,78%,6%,No data available,11%,97%,0.41,8%,6%,50%,6%,4%
H5528,EmblemHealth Medicare PPO,Group Health Incorporated,"EmblemHealth, Inc.",Not enough data available,58%,Not enough data available,94%,74%,51%,No data available,Not enough data available,No data available,92%,Not enough data available,68%,79%,63%,7%,76,73%,70%,88%,No data available,Not enough data available,Not enough data available,6%,0.29%,100%,100,Not enough data available,98,No data available,No data available,No data available,No data available,75%,5%,0.0%,12%,No data available,0.72,16%,30%,29%,13%,11%
H5530,Anthem Blue Cross and Blue Shield,"Anthem Health Plans Of Kentucky, Inc.",Anthem Inc.,Not enough data available,51%,Not enough data available,92%,73%,35%,91,0:45,75%,96%,0.00%,77%,77%,37%,3%,38,77%,90%,100%,100.00%,0.00%,0:45,5%,0.43%,100%,100,0:21,98,No data available,No data available,33%,22%,78%,6%,0.0%,12%,98%,1.27,15%,8%,39%,10%,7%
