2020 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H5325,Aetna Medicare,"Coventry Health Care Of Kansas, Inc.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5337,Aetna Better Health of Ohio (HMO SNP),"Aetna Better Health, Inc. (oh)",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5355,IEHP DualChoice,Iehp Health Access,INLAND EMPIRE HEALTH PLAN,Not Available,Not Available,Not Available,Not Available,Not Available
H5377,Humana,"Humana Medical Plan Of Pennsylvania, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5386,Sharp Health Plan,Sharp Health Plan,Sharp Healthcare,Not Available,Not Available,Not Available,Not Available,Not Available
H5398,Ascension Complete,Centene Venture Company Kansas,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5410,"HealthSpring of Florida, Inc.",Healthspring Of Florida,CIGNA,24%,28%,7%,9%,15%
H5420,UnitedHealthcare,"Medica Healthcare Plans, Inc.","UnitedHealth Group, Inc.",19%,25%,18%,17%,13%
H5422,Anthem Blue Cross and Blue Shield,Blue Cross Blue Shield Healthcare Plan Of Georgia,Anthem Inc.,27%,29%,15%,Not Available,19%
H5425,SCAN Health Plan,Scan Health Plan,SCAN Health Plan,17%,29%,17%,Not Available,14%
H5427,"Freedom Health, Inc.","Freedom Health, Inc.",Anthem Inc.,17%,35%,12%,7%,11%
H5430,WellCare,Onecare By Care1st Health Plan Arizona Inc.,"WellCare Health Plans, Inc.",10%,26%,4%,5%,8%
H5431,"HealthSun Health Plans, Inc.","Healthsun Health Plans, Inc.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H5433,OneCare,Orange County Health Authority,Orange County Health Authority,0%,9%,3%,0%,1%
H5434,Florida Blue,"Blue Cross And Blue Shield Of Florida, Inc.",Guidewell Mutual Holding Corporation,12%,11%,39%,9%,9%
H5435,UnitedHealthcare,Unitedhealthcare Insurance Company,"UnitedHealth Group, Inc.",11%,8%,34%,7%,6%
H5439,Health Net Life Insurance Company,Health Net Life Insurance Company,Centene Corporation,18%,34%,18%,9%,16%
H5454,Clear Spring Health,"Clear Spring Health Of Illinois, Inc.",Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5471,"Simply Healthcare Plans, Inc.","Simply Healthcare Plans, Inc.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H5475,WellCare,"Meridian Health Plan Of Michigan, Inc.","WellCare Health Plans, Inc.",35%,34%,18%,18%,23%
H5496,"Imperial Health Plan of California, Inc.","Imperial Health Plan Of California, Inc.",Imperial Health Plan of California,Not Available,Not Available,Not Available,Not Available,Not Available
H5521,Aetna Medicare,Aetna Life Insurance Company,CVS Health Corporation,13%,18%,32%,Not Available,13%
H5522,Aetna Medicare,"Healthassurance Pennsylvania, Inc.",CVS Health Corporation,7%,24%,23%,8%,5%
H5525,Humana,"Humana Benefit Plan Of Illinois, Inc.",Humana Inc.,16%,17%,38%,8%,12%
H5526,BlueCross BlueShield of WNY and BlueShield of NENY,Healthnow New York Inc.,HealthNow New York Inc.,11%,11%,44%,7%,5%
H5528,EmblemHealth Medicare PPO,Group Health Incorporated,"EmblemHealth, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5533,UPMC for Life,"Upmc Health Network, Inc.",UPMC Health System,8%,23%,29%,5%,5%
H5549,VNSNY CHOICE Medicare,Vns Choice,Visiting Nurse Service of New York,Not Available,Not Available,Not Available,Not Available,Not Available
H5576,"Vantage Health Plan, Inc.","Vantage Health Plan, Inc.","Vantage Holdings, Inc.",24%,26%,27%,Not Available,10%
H5577,MCS Classicare,"Mcs Advantage, Inc.","Medical Card System, Inc.",10%,17%,20%,Not Available,10%
H5580,Mercy Care Advantage,Mercy Care,Mercy Care,9%,15%,6%,6%,6%
H5587,Steward Health Choice Arizona,"Health Choice Arizona, Inc.","Steward Health Care System, LLC",20%,32%,7%,6%,6%
H5590,Allwell,Bridgeway Health Solutions,Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5591,Martin's Point Generations Advantage,"Martin's Point Generations Advantage, Inc.","Martin's Point Health Care, Inc.",10%,12%,29%,10%,8%
H5593,Aetna Medicare,Aetna Health Of Iowa Inc.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5594,"Optimum HealthCare, Inc.","Optimum Healthcare, Inc.",Anthem Inc.,16%,26%,13%,6%,10%
H5608,"Denver Health Medical Plan, Inc.","Denver Health Medical Plan, Inc.",Denver Health and Hospital Authority,20%,22%,29%,Not Available,16%
H5613,MVP HEALTH CARE,"Mvp Health Plan, Inc.","MVP Health Care, Inc.",Not Available,Not Available,Not Available,Not Applicable,Not Applicable
H5619,Humana,"Arcadian Health Plan, Inc.",Humana Inc.,21%,24%,23%,9%,13%
H5628,Molina Healthcare of Utah & Idaho,"Molina Healthcare Of Utah, Inc.","Molina Healthcare, Inc.,",33%,41%,20%,Not Available,23%
H5644,Network Health Medicare Advantage Plans,Network Health Insurance Corporation,"Network Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5649,Central Health Medicare Plan,"Central Health Plan Of California, Inc.",AHMC Central Health LLC,26%,37%,14%,Not Available,19%
H5652,UnitedHealthcare,"Sierra Health And Life Insurance Company, Inc.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5656,WellCare,"Selectcare Health Plans, Inc.","WellCare Health Plans, Inc.",18%,46%,9%,Not Available,11%
H5703,South Country Health Alliance,South Country Health Alliance,South Country Health Alliance,Not Available,Not Available,Not Available,Not Available,Not Available
H5742,FirstCare Advantage,"Sha, Llc",Baylor Scott & White Holdings,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5746,Amerigroup Community Care of New Mexico,"Amerigroup Community Care Of New Mexico, Inc.",Anthem Inc.,26%,28%,33%,Not Available,18%
H5774,Triple S Advantage,"Triple S Advantage, Inc.",Triple-S Management Corporation,25%,24%,27%,25%,16%
H5779,WellCare,"Meridian Health Plan Of Illinois, Inc.","WellCare Health Plans, Inc.",24%,44%,12%,10%,18%
H5793,Aetna Medicare,Aetna Health Inc. (ct),CVS Health Corporation,13%,5%,25%,9%,8%
H5810,Molina Healthcare of California,Molina Healthcare Of California,"Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H5823,"Molina Healthcare of Washington, Inc.","Molina Healthcare Of Washington, Inc.","Molina Healthcare, Inc.,",25%,40%,12%,Not Available,12%
H5826,Community Health Plan of WA Medicare Advantage,Community Health Plan Of Washington,Community Health Plan of Washington,16%,27%,21%,9%,9%
H5841,Bright Health,Bright Health Insurance Company,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5852,AHF,Aids Healthcare Foundation,AIDS Healthcare Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H5854,Anthem Blue Cross and Blue Shield,"Anthem Health Plans, Inc.",Anthem Inc.,11%,14%,14%,11%,10%
H5859,CareOregon Advantage,"Health Plan Of Careoregon, Inc.","CareOregon, Inc.",14%,25%,8%,Not Available,6%
H5883,Blue Care Network,Blue Care Network Of Michigan,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,17%,23%,36%,9%,10%
H5926,Molina Healthcare of Michigan,"Molina Healthcare Of Michigan, Inc.","Molina Healthcare, Inc.,",24%,28%,17%,19%,16%
H5928,Blue Shield of California Promise Health Plan,Blue Shield Of California Promise Health Plan,California Physicians' Service,16%,41%,12%,Not Available,17%
H5932,Gateway Health Medicare Assured,"Gateway Health Plan, Inc.","Gateway Health Plan, LP",14%,22%,11%,11%,12%
H5937,UCare,Ucare Minnesota,UCare Minnesota,Not Available,Not Available,Not Available,Not Available,Not Available
H5938,Capital Health Plan,Capital Health Plan,Guidewell Mutual Holding Corporation,16%,29%,27%,9%,8%
H5943,VillageHealth,Scan Health Plan,SCAN Health Plan,Not Available,Not Available,Not Available,Not Available,Not Available
H5945,Prominence Health Plan,Prominence Healthfirst,"Universal Health Services, Inc.",30%,23%,21%,13%,16%
H5959,Blue Cross Blue Shield of Minnesota,Blue Cross And Blue Shield Of Minnesota,"Aware Integrated, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5965,WellCare,Wellcare Health Insurance Company Of Washington,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5969,AlohaCare,Alohacare,AlohaCare,Not Available,Not Available,Not Available,Not Available,Not Available
H5970,Humana,Humana Insurance Company Of New York,Humana Inc.,26%,30%,28%,13%,16%
H5989,CenterLight Healthcare,"Centerlight Healthcare, Inc.","CenterLight Health System, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5991,EmblemHealth Medicare HMO,Health Insurance Plan Of Greater New York,"EmblemHealth, Inc.",24%,33%,11%,Not Available,14%
H5992,Senior Whole Health of New York,"Senior Whole Health Of New York, Inc.","Magellan Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5995,ATRIO Health Plans,Atrio Health Plans,ATRIO Health Plans,Not Available,Not Available,Not Available,Not Available,Not Available
H6080,MeridianComplete,"Meridian Health Plan Of Illinois, Inc.","WellCare Health Plans, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H6121,Bright Health,Bright Health Insurance Company Of Illinois,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6154,Medica,Medica Health Plans,Medica Holding Company,9%,31%,21%,Not Available,6%
H6229,Anthem Blue Cross Cal MediConnect,"Blue Cross Of California Partnership Plan, Inc.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H6237,Regence BlueCross BlueShield of Oregon,Regence Bluecross Blueshield Of Oregon,"Cambia Health Solutions, Inc.",16%,24%,32%,9%,9%
H6306,FirstMedicare Direct,Firstcarolinacare Insurance Company,"FirstHealth of the Carolinas, Inc.",13%,22%,33%,6%,9%
H6316,WellCare,"Missouri Care, Incorporated","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6328,Care NÆ Care Insurance Company,"Care N' Care Insurance Company, Inc.",Texas Health Resources,19%,42%,22%,8%,12%
H6345,PruittHealth Premier,"Pruitthealth Premier North Carolina, Llc","UNICO Premier, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6348,Allwell,Coordinated Care Corporation,Centene Corporation,30%,42%,21%,Not Available,21%
H6351,Liberty Advantage,"Liberty Advantage, Llc",Liberty Healthcare Insurance,Not Available,Not Available,Not Available,Not Available,Not Available
H6379,Clear Spring Health,"Clear Spring Health (co), Inc.",Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6396,CareSource,Caresource,CareSource Management Group Co.,30%,38%,19%,10%,20%
H6439,WellCare,"Wellcare Health Plans Of Arizona, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6446,Allwell,"Silversummit Healthplan, Inc.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6453,Blue Cross and Blue Shield of Louisiana HMO,"Hmo Louisiana, Inc.",Louisiana Health Service & Indemnity Company,16%,12%,31%,10%,12%
H6502,Blue Cross and Blue Shield of Kansas City (Blue KC,Missouri Valley Life And Health Insurance Company,Blue Cross and Blue Shield of Kansas City,27%,33%,30%,Not Available,13%
H6526,UnitedHealthcare,"Unitedhealthcare Of New Mexico, Inc.","UnitedHealth Group, Inc.",37%,54%,18%,Not Available,24%
H6528,UnitedHealthcare,Care Improvement Plus South Central Insurance Co.,"UnitedHealth Group, Inc.",12%,6%,36%,9%,10%
H6550,Allwell,"Sunflower State Health Plan, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H6595,UnitedHealthcare,"Unitedhealthcare Of Kentucky, Ltd.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6622,Humana,Humana Wi Health Organization Insurance Corp,Humana Inc.,28%,39%,18%,11%,16%
H6672,Clear Spring Health,"Eon Health, Inc. (ga)",Delaware Life Insurance Company,35%,45%,13%,Not Available,17%
H6723,Medical Mutual of Ohio,Medical Mutual Of Ohio,MEDICAL MUTUAL OF OHIO,15%,19%,35%,9%,8%
H6743,ATRIO Health Plans,Atrio Health Plans,ATRIO Health Plans,7%,25%,27%,5%,5%
H6750,"Harvard Pilgrim Health Care of New England, Inc.","Harvard Pilgrim Health Care Of New England, Inc.","Harvard Pilgrim Health Care, Inc.",16%,13%,33%,9%,12%
H6776,RiverSpring Health Plans,"Elderserve Health, Inc.",Riverspring Health Holding Corp.,Not Available,Not Available,Not Available,Not Available,Not Available
H6786,Anthem Blue Cross and Blue Shield,"Anthem Health Plans Of Maine, Inc.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H6815,"Health Net Health Plan of Oregon, Inc.",Health Net Health Plan Of Oregon,Centene Corporation,26%,33%,13%,9%,13%
H6821,Mutual of Omaha Medicare Advantage,Mutual Of Omaha Medicare Advantage Company,Mutual of Omaha Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6832,Align Senior Care,"Align Senior Care Mi, Llc","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6870,Superior HealthPlan,"Superior Health Plan, Inc.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H6910,MediGold,"Mount Carmel Health Plan Of Idaho, Inc.",Trinity Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6936,Blue Cross Blue Shield of Arizona,"Blue Cross & Blue Shield Of Arizona, Inc.",Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6959,KeyCare Advantage,"Isnp Ventures, Llc","ISNP Holdings, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6975,WellCare,"Wellcare Of Alabama, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6988,Centers Plan for Healthy Living,"Centers Plan For Healthy Living, Llc","Centers Plan for Healthy Living, LLC",49%,48%,18%,Not Available,25%
H7006,ATRIO Health Plans,Atrio Health Plans,ATRIO Health Plans,7%,11%,55%,5%,4%
H7020,Cigna,"Cigna Healthcare Of South Carolina, Inc.",CIGNA,20%,26%,22%,Not Available,13%
H7063,Blue Cross and Blue Shield of Kansas,"Bluecross Blueshield Kansas Solutions, Inc.",Blue Cross Blue Shield of Kansas,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7115,Memorial Hermann Health Plan,Memorial Hermann Health Plan,Memorial Hermann Health System,23%,22%,24%,12%,14%
H7119,Provider Partners Ohio Advantage Plan,Provider Partners Health Plan Of Ohio,"Rifkin Managed Care Holding Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7123,UPMC for Life Dual,"Upmc Health Coverage, Inc.",UPMC Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7149,Aetna Medicare,Aetna Health Inc. (pa),CVS Health Corporation,13%,18%,21%,12%,10%
H7165,Blue Cross Blue Shield of South Carolina,Bluecross And Blueshield Of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),Not Available,Not Available,Not Available,Not Available,Not Available
H7172,"Aetna Better Health of Ohio, MyCare Ohio","Aetna Better Health, Inc. (oh)",CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H7173,Allwell,"Peach State Health Plan, Inc.",Centene Corporation,33%,48%,18%,Not Available,22%
H7175,WellCare,"Wellcare Health Insurance Of North Carolina, Inc.","WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7220,Indiana University Health Plans - Medicare,"Indiana University Health Plans Nfp, Inc.",Indiana University Health,11%,15%,37%,7%,8%
H7245,Premera Blue Cross Medicare Advantage,Premera Blue Cross,Premera,19%,32%,20%,10%,8%
H7284,Humana,"Humana Health Insurance Company Of Florida, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7301,Aetna Medicare,"Coventry Health Care Of Illinois, Inc.",CVS Health Corporation,26%,26%,17%,10%,11%
H7317,HMSA Essential Advantage,Hawaii Medical Service Association (hmsa),Hawaii Medical Service Association,Not Available,Not Available,Not Available,Not Available,Not Available
H7322,Oscar,"Oscar Health Plan Of New York, Inc.","Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7323,WellCare,Wellcare National Health Insurance Company,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7326,WellCare,"Wellcare Of South Carolina, Inc.","WellCare Health Plans, Inc.",21%,25%,26%,Not Available,Not Available
H7330,Zing Health,"Zing Health, Inc.","Zing Health Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7394,"ApexHealth, Inc.","Apex Health, Inc.","J.B. Cotton & Company, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7399,Ascension Complete,Centene Venture Company Illinois,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7404,UnitedHealthcare,Pacificare Life Assurance Company,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7409,Bright Health,"Bright Health Company Of South Carolina, Inc.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7419,Tufts Health Plan,"Tufts Health Public Plans, Inc.","Tufts Health Plan, Inc",Not Available,Not Available,Not Available,Not Available,Not Available
H7445,UnitedHealthcare,"Unitedhealthcare Of Illinois, Inc.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H7464,UnitedHealthcare,"Unitedhealthcare Of The Mid-atlantic, Inc.","UnitedHealth Group, Inc.",30%,49%,13%,Not Available,Not Available
H7511,Great Plains Medicare Advantage,"Good Samaritan Insurance Plan Of Nebraska, Inc.",Sanford Health,Not Available,Not Available,Not Available,Not Available,Not Available
H7518,WellCare,Wellcare Of Missouri Health Insurance Company,"WellCare Health Plans, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7522,Medicare y Mucho Mßs,"Mmm Healthcare, Llc",InnovaCare Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H7559,Magellan Complete Care,"Magellan Complete Care Of Virginia, Llc","Magellan Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7617,Humana,Emphesys Insurance Company,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7621,Humana,"Humana Health Plan Of California, Inc.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7646,PHP Medicare,Php Medicare,Sparrow Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7678,"Molina Healthcare of Texas, Inc.","Molina Healthcare Of Texas, Inc.","Molina Healthcare, Inc.,",Not Available,41%,12%,Not Available,17%
H7680,Prominence Health Plan,Prominence Healthfirst Of Texas,"Universal Health Services, Inc.",30%,42%,15%,Not Available,18%
H7728,Anthem Blue Cross and Blue Shield,"Anthem Health Plans Of New Hampshire, Inc.",Anthem Inc.,21%,23%,36%,9%,15%
H7779,American Health Advantage of Tennessee,"American Health Plan, Inc.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7787,Cigna,"Healthspring Life & Health Insurance Company, Inc.",CIGNA,30%,50%,25%,12%,17%
H7802,Sunrise Advantage Plan,"Spartan Plan Va, Inc.",Public Sector Pension Investment Board,Not Available,Not Available,Not Available,Not Available,Not Available
H7833,UnitedHealthcare,"Unitedhealthcare Community Plan Of Texas, L.l.c.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H7844,Molina Healthcare of Michigan,"Molina Healthcare Of Michigan, Inc.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H7849,Cigna,Cigna Health And Life Insurance Company,CIGNA,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H7853,Bright Health,Bright Health Insurance Company,"Bright Health, Inc.",44%,41%,15%,Not Available,31%
H7885,Health Plan of San Mateo,San Mateo Health Commission,Health Plan of San Mateo,Not Available,Not Available,Not Available,Not Available,Not Available
H7890,Santa Clara Family Health Plan Cal MediConnect,Santa Clara County Health Authority,SANTA CLARA COUNTY HEALTH AUTHORITY,Not Available,Not Available,Not Available,Not Available,Not Available
H7917,BlueCross BlueShield of Tennessee,"Bluecross Blueshield Of Tennessee, Inc.",BlueCross BlueShield of Tennessee,22%,30%,18%,9%,8%
H7971,Horizon Blue Cross Blue Shield of New Jersey,Horizon Insurance Company,"Horizon Healthcare Services, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H7993,Devoted Health,Devoted Health Plan Of Texas,"Devoted Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8003,Blue Cross Blue Shield of South Carolina,Bluecross And Blueshield Of South Carolina,BlueCross BlueShield of South Carolina (BCBSSC),15%,11%,33%,Not Available,16%
H8010,Clover Health,"Clover Hmo Of New Jersey, Inc.","Clover Health Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8016,OneCare Connect,Orange County Health Authority,Orange County Health Authority,Not Available,Not Available,Not Available,Not Available,Not Available
H8026,Aetna Better Health Premier Plan,Aetna Better Health Of Michigan Inc.,CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H8046,Molina Healthcare of Illinois,"Molina Healthcare Of Illinois, Inc.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H8064,FirstMedicare Direct,Firstcarolinacare Insurance Company,"FirstHealth of the Carolinas, Inc.",9%,14%,34%,Not Available,9%
H8067,Provider Partners Maryland Advantage Plan,"Provider Partners Health Plan, Inc.","Rifkin Managed Care Holding Company, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H8087,Humana,Humanadental Insurance Company,Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8093,Georgia Assurance,"Georgia Assurance, Inc.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8125,UnitedHealthcare,"Symphonix Health Insurance, Inc.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8130,Molina Healthcare of Florida,"Molina Healthcare Of Florida, Inc.","Molina Healthcare, Inc.,",36%,29%,14%,Not Available,21%
H8133,Blue Cross and Blue Shield of Texas,Ghs Insurance Company,Health Care Service Corporation,31%,40%,15%,11%,20%
H8142,Scott and White Health Plan,Scott And White Health Plan,Baylor Scott & White Holdings,Not Available,Not Available,Not Available,Not Available,Not Available
H8145,Humana,Humana Insurance Company,Humana Inc.,11%,9%,40%,12%,10%
H8170,America's 1st Choice of South Carolina,"America's 1st Choice Of South Carolina, Inc.",Anthem Inc.,32%,32%,9%,Not Available,21%
H8176,Molina Healthcare of South Carolina and Ohio,"Molina Healthcare Of South Carolina,inc.","Molina Healthcare, Inc.,",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8181,Blue Cross and Blue Shield of Nebraska,"Sapphire Edge, Inc.",Blue Cross Blue Shield of Nebraska,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8189,Allwell,"Managed Health Services, Wisconsin",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H8197,Molina Healthcare of Texas,"Molina Healthcare Of Texas, Inc.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H8211,UnitedHealthcare,Mamsi Life And Health Insurance Company,"UnitedHealth Group, Inc.",20%,23%,33%,Not Available,14%
H8213,FIRST CHOICE VIP CARE PLUS,"Select Health Of South Carolina, Inc.","Independence Health Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H8225,Ascension Complete,Centene Venture Company Florida,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8258,L.A. Care Cal MediConnect Plan,Local Initiative Health Authority For L.a. County,Local Initiative Health Authority for LA County,Not Available,Not Available,Not Available,Not Available,Not Available
H8280,Bright Health,"Bright Health Insurance Company Of Alabama, Inc.","Bright Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H8293,Clear Spring Health,"Clear Spring Health (va), Inc.",Delaware Life Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8298,Horizon Blue Cross Blue Shield of New Jersey,"Horizon Healthcare Of New Jersey, Inc.","Horizon Healthcare Services, Inc.",31%,55%,12%,19%,19%
H8364,Bright Health,"Bright Health Insurance Company Of Alabama, Inc.","Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8379,Priority Health Medicare,"Priority Health Choice, Inc.",Spectrum Health System,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H8423,Cigna-HealthSpring CarePlan,"Healthspring Life & Health Insurance Company, Inc.",CIGNA,Not Available,Not Available,Not Available,Not Available,Not Available
H8432,Empire BlueCross BlueShield,"Empire Healthchoice Hmo, Inc.",Anthem Inc.,18%,29%,27%,13%,12%
H8452,CareSource MyCare Ohio,Caresource,CareSource Management Group Co.,Not Available,Not Available,Not Available,Not Available,Not Available
