2022 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,"Problems Getting Needed Care, Coverage, and Cost Information",Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H4152 ,Blue Cross & Blue Shield of Rhode Island ,BLUE CROSS & BLUE SHIELD OF RHODE ISLAND ,Blue Cross & Blue Shield of Rhode Island ,11%,12%,23%,9%,6%
H4172 ,NHC Advantage ,"NHC ADVANTAGE, LLC ","Missouri Healthcare Advisors, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4198 ,Integris Health Partners+ (HMO) ,"COMMUNITYCARE GOVERNMENT PROGRAMS, INC. ",St Francis Health System & St John Health System ,3%,2%,24%,7%,5%
H4213 ,Arkansas Blue Medicare ,USABLE MUTUAL INSURANCE COMPANY ,USAble Mutual Insurance Company ,6%,2%,45%,6%,5%
H4227 ,VISTA Health Plan Inc. ,"VISTA HEALTH PLAN, INC. ","Independence Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4232 ,American Health Advantage of Utah ,"AMERICAN HEALTH PLAN OF UT, INC. ","American Health Companies, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4279 ,UPMC for Life Complete Care ,"UPMC FOR YOU, INC ",UPMC Health System ,15%,18%,19%,Not Available ,12%
H4286 ,Leon Health Plans ,"LEON HEALTH PLANS, INC. ","Leon Health Holdings, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4304 ,Advantage U ,UNIVERSITY OF UTAH HEALTH INSURANCE PLANS ,University of Utah ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4343 ,Ascension Complete ,"CENTENE VENTURE COMPANY ALABAMA HEALTH PLAN, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4346 ,Anthem Blue Cross and Blue Shield ,"HMO COLORADO, INC. ",Anthem Inc. ,30%,44%,21%,20%,26%
H4388 ,"Security Health Plan of Wisconsin, Inc. ","SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Marshfield Clinic Health System, Inc. ",7%,3%,17%,Not Available ,Not Available
H4407 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,20%,37%,25%,Not Available ,11%
H4461 ,Humana ,CARITEN HEALTH PLAN INC. ,Humana Inc. ,20%,19%,24%,Not Available ,12%
H4490 ,American Health Advantage of Missouri ,"MISSOURI MEDICARE SELECT, LLC ","American Health Companies, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4497 ,Medical Mutual of Ohio ,MEDICAL MUTUAL OF OHIO ,MEDICAL MUTUAL OF OHIO ,7%,47%,25%,6%,4%
H4506 ,Wellcare ,"SELECTCARE OF TEXAS, INC. ",Centene Corporation ,25%,30%,16%,11%,19%
H4513 ,Cigna ,"HEALTHSPRING LIFE & HEALTH INSURANCE COMPANY, INC. ",CIGNA ,19%,27%,16%,Not Available ,11%
H4514 ,UnitedHealthcare ,"UNITEDHEALTHCARE COMMUNITY PLAN OF TEXAS, L.L.C. ","UnitedHealth Group, Inc. ",11%,17%,17%,7%,10%
H4523 ,Aetna Medicare ,AETNA HEALTH INC. (TX) ,CVS Health Corporation ,21%,21%,18%,Not Available ,11%
H4527 ,UnitedHealthcare ,"PHYSICIANS HEALTH CHOICE OF TEXAS, LLC ","UnitedHealth Group, Inc. ",21%,34%,22%,10%,11%
H4537 ,Wellcare ,"WELLCARE HEALTH INSURANCE COMPANY OF OKLAHOMA, INC ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4544 ,Peoples Health ,"PEOPLES HEALTH, INC. ","UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4590 ,UnitedHealthcare ,"UNITEDHEALTHCARE BENEFITS OF TEXAS, INC. ","UnitedHealth Group, Inc. ",15%,20%,10%,7%,11%
H4604 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF UTAH, INC. ","UnitedHealth Group, Inc. ",17%,23%,27%,Not Available ,14%
H4605 ,Regence BlueCross BlueShield of Utah ,REGENCE BLUECROSS BLUESHIELD OF UTAH ,"Cambia Health Solutions, Inc. ",10%,9%,36%,Not Available ,8%
H4623 ,Humana ,"HUMANA REGIONAL HEALTH PLAN, INC. ",Humana Inc. ,11%,13%,20%,8%,11%
H4624 ,Zing Health ,"ZING HEALTH OF MICHIGAN, INC. ","Zing Health Consolidator, Inc ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4675 ,Braven Health ,HEALTHIER NEW JERSEY INSURANCE COMPANY ,"NJ Collaborative Care, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4676 ,Troy Medicare ,"TROY HEALTH, INC. ","Troy Holdings, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4699 ,Wellcare ,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4709 ,Bright Health ,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA ,"Bright Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4711 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF NEBRASKA, INC. ",CVS Health Corporation ,26%,28%,19%,Not Available ,19%
H4739 ,First Choice VIP Care ,"SELECT HEALTH OF SOUTH CAROLINA, INC. ","Independence Health Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4754 ,PacificSource Medicare ,PACIFICSOURCE COMMUNITY HEALTH PLANS ,PacificSource ,4%,10%,30%,6%,3%
H4801 ,"Blue Cross and Blue Shield of OK, TX ",GHS INSURANCE COMPANY ,Health Care Service Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4829 ,UnitedHealthcare ,UHC OF CALIFORNIA ,"UnitedHealth Group, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H4835 ,Aetna Medicare ,AETNA BETTER HEALTH OF OKLAHOMA INC. ,CVS Health Corporation ,25%,22%,29%,Not Available ,18%
H4847 ,Wellcare ,"WELLCARE OF SOUTH CAROLINA, INC. ",Centene Corporation ,20%,25%,15%,Not Available ,15%
H4853 ,Bright Health ,BRIGHT HEALTH COMPANY OF ARIZONA ,"Bright Health Group, Inc. ",25%,42%,20%,Not Available ,18%
H4868 ,Wellcare ,"WELLCARE OF NEW YORK, INC. ",Centene Corporation ,25%,37%,21%,Not Available ,17%
H4875 ,Priority Health Medicare ,PRIORITY HEALTH ,Spectrum Health System ,7%,9%,32%,10%,7%
H4882 ,HealthPartners ,"HEALTHPARTNERS, INC. ","HealthPartners, Inc. ",11%,23%,31%,8%,8%
H4909 ,Anthem Blue Cross and Blue Shield ,"ANTHEM INSURANCE COMPANIES, INC. ",Anthem Inc. ,19%,11%,36%,Not Available ,15%
H4922 ,AgeWell New York ,"AGEWELL NEW YORK, LLC ","ParkerCare New York, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4931 ,Banner Medicare Advantage Dual ,BANNER - UNIVERSITY CARE ADVANTAGE ,Banner Health ,10%,13%,8%,Not Available ,11%
H4937 ,Blue Shield of California ,CALIFORNIA PHYSICIANS' SERVICE ,California Physicians' Service ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4961 ,Alignment Health Plan ,ALIGNMENT HEALTH PLAN ,"Alignment Healthcare USA, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H4982 ,Aetna Medicare ,AETNA BETTER HEALTH OF CALIFORNIA INC. ,CVS Health Corporation ,27%,38%,21%,Not Available ,22%
H5008 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",20%,26%,16%,Not Available ,15%
H5009 ,Regence BlueShield ,REGENCE BLUESHIELD ,"Cambia Health Solutions, Inc. ",3%,14%,35%,7%,4%
H5010 ,Asuris Northwest Health ,ASURIS NORTHWEST HEALTH ,"Cambia Health Solutions, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5015 ,Texas Independence Health Plan ,"TEXAS INDEPENDENCE HEALTH PLAN, INC. ",Regency ISNP Holdings LLC ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5042 ,CDPHP Medicare Advantage ,"CDPHP UNIVERSAL BENEFITS, INC. ","Capital District Physicians' Health Plan, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5050 ,Kaiser Permanente ,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON ,"Kaiser Foundation Health Plan, Inc. ",23%,32%,23%,4%,9%
H5087 ,Wellcare ,"WELLCARE OF CALIFORNIA, INC. ",Centene Corporation ,15%,23%,17%,9%,15%
H5106 ,Highmark Inc. ,HIGHMARK SENIOR SOLUTIONS COMPANY ,Highmark Health ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5117 ,Wellcare by Allwell ,"LOUISIANA HEALTHCARE CONNECTIONS, INC. ",Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5126 ,Oscar ,OSCAR INSURANCE COMPANY ,"Oscar Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5140 ,Blue Cross Blue Shield of Arizona ,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5141 ,Clover Health ,CLOVER INSURANCE COMPANY ,"Clover Health Holdings, Inc. ",21%,24%,23%,18%,17%
H5178 ,Humana ,"HUMANA HEALTH PLAN, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5190 ,Wellcare by Allwell ,"SUNSHINE STATE HEALTH PLAN, INC. ",Centene Corporation ,25%,34%,13%,Not Available ,19%
H5199 ,Wellcare ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",Centene Corporation ,29%,49%,17%,Not Available ,25%
H5209 ,My Choice Wisconsin Health Plan ,"My Choice Wisconsin Health Plan, Inc. ","My Choice Wisconsin, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5211 ,"Security Health Plan of Wisconsin, Inc. ","SECURITY HEALTH PLAN OF WISCONSIN, INC. ","Marshfield Clinic Health System, Inc. ",12%,14%,31%,7%,7%
H5215 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",6%,14%,24%,6%,7%
H5216 ,Humana ,HUMANA INSURANCE COMPANY ,Humana Inc. ,17%,28%,28%,Not Available ,12%
H5232 ,Paramount Elite Medicare Plans ,"PARAMOUNT CARE, INC. ","Promedica Health System, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5253 ,UnitedHealthcare ,"UNITEDHEALTHCARE OF WISCONSIN, INC. ","UnitedHealth Group, Inc. ",13%,20%,21%,Not Available ,15%
H5256 ,Medical Associates Clinic Health Plan of Wisconsin ,MEDICAL ASSOCIATES CLINIC HEALTH PLAN ,"Medical Associates Clinic, P.C. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5262 ,Quartz Medicare Advantage ,QUARTZ HEALTH PLAN CORPORATION ,University of Wisconsin Hospitals and Clincs Autho ,13%,19%,31%,9%,9%
H5264 ,"Dean Health Plan, Inc. ","DEAN HEALTH PLAN, INC. ",SSM Health Care Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5273 ,CarePartners of Connecticut ,"CAREPARTNERS OF CONNECTICUT, INC. ","Point32Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5294 ,Wellcare by Allwell ,"SUPERIOR HEALTH PLAN, INC. ",Centene Corporation ,22%,21%,10%,Not Available ,19%
H5296 ,Alignment Health Plan ,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC. ","Alignment Healthcare USA, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5302 ,Aetna Medicare ,AETNA HEALTH INC. (GA) ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5322 ,UnitedHealthcare ,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO. ,"UnitedHealth Group, Inc. ",13%,17%,10%,8%,10%
H5325 ,Aetna Medicare ,"COVENTRY HEALTH CARE OF KANSAS, INC. ",CVS Health Corporation ,21%,21%,15%,Not Available ,26%
H5373 ,ProMedica Medicare Plan ,"PARAMOUNT CARE OF INDIANA, INC. ","Promedica Health System, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5374 ,Longevity Health Plan ,"LONGEVITY HEALTH PLAN OF NORTH CAROLINA, INC. ","Longevity Health Founders, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5377 ,Humana ,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC. ",Humana Inc. ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5386 ,Sharp Health Plan ,SHARP HEALTH PLAN ,Sharp Healthcare ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5398 ,Ascension Complete ,CENTENE VENTURE COMPANY KANSAS ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5410 ,Cigna ,"HEALTHSPRING OF FLORIDA, INC. ",CIGNA ,27%,39%,17%,15%,21%
H5420 ,UnitedHealthcare ,"MEDICA HEALTHCARE PLANS, INC. ","UnitedHealth Group, Inc. ",11%,19%,15%,Not Available ,9%
H5422 ,Anthem Blue Cross and Blue Shield ,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA ,Anthem Inc. ,18%,26%,26%,20%,17%
H5425 ,SCAN Health Plan ,SCAN HEALTH PLAN ,SCAN Group ,17%,17%,22%,Not Available ,12%
H5427 ,"Freedom Health, Inc. ","FREEDOM HEALTH, INC. ",Anthem Inc. ,19%,36%,17%,10%,13%
H5430 ,WellCare ,ONECARE BY CARE1ST HEALTH PLAN OF ARIZONA INC. ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5431 ,"HealthSun Health Plans, Inc. ","HEALTHSUN HEALTH PLANS, INC. ",Anthem Inc. ,19%,20%,5%,Not Available ,19%
H5433 ,OneCare ,ORANGE COUNTY HEALTH AUTHORITY ,Orange County Health Authority ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5434 ,Florida Blue ,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC. ",Guidewell Mutual Holding Corporation ,16%,13%,31%,18%,13%
H5435 ,UnitedHealthcare ,UNITEDHEALTHCARE INSURANCE COMPANY ,"UnitedHealth Group, Inc. ",7%,9%,37%,8%,8%
H5439 ,Wellcare by Health Net ,HEALTH NET LIFE INSURANCE COMPANY ,Centene Corporation ,18%,41%,22%,8%,13%
H5447 ,Community First Health Plans ,"COMMUNITY FIRST HEALTH PLANS, INC. ",Bexar County Hospital District ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5454 ,Clear Spring Health ,"CLEAR SPRING HEALTH OF ILLINOIS, INC. ",Group 1001 ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5471 ,"Simply Healthcare Plans, Inc. ","SIMPLY HEALTHCARE PLANS, INC. ",Anthem Inc. ,21%,40%,10%,Not Available ,13%
H5475 ,Wellcare ,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC. ",Centene Corporation ,34%,42%,22%,Not Available ,23%
H5496 ,"Imperial Health Plan of California, Inc. ","IMPERIAL HEALTH PLAN OF CALIFORNIA, INC. ",Imperial Health Plan of California ,26%,49%,12%,Not Available ,Not Available
H5521 ,Aetna Medicare ,AETNA LIFE INSURANCE COMPANY ,CVS Health Corporation ,19%,13%,29%,Not Available ,11%
H5522 ,Aetna Medicare ,"HEALTHASSURANCE PENNSYLVANIA, INC. ",CVS Health Corporation ,18%,17%,31%,Not Available ,10%
H5525 ,Humana ,"HUMANA BENEFIT PLAN OF ILLINOIS, INC. ",Humana Inc. ,19%,19%,32%,Not Available ,12%
H5526 ,Highmark Blue Cross Blue Shield of Western New Yor ,Highmark Western and Northeastern New York Inc. ,Highmark Health ,8%,6%,47%,6%,6%
H5528 ,EmblemHealth Medicare PPO ,"EmblemHealth, Inc. ","EmblemHealth, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5533 ,UPMC for Life ,"UPMC HEALTH NETWORK, INC. ",UPMC Health System ,10%,5%,44%,8%,7%
H5549 ,VNSNY CHOICE Medicare ,VNS CHOICE ,Visiting Nurse Service of New York ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5576 ,Vantage Health Plan ,"VANTAGE HEALTH PLAN, INC. ",Louisiana Health Service & Indemnity Company ,13%,25%,29%,Not Available ,11%
H5577 ,MCS Classicare ,"MCS ADVANTAGE, INC. ","Medical Card System, Inc. ",11%,7%,8%,8%,11%
H5580 ,Mercy Care Advantage ,MERCY CARE ,Mercy Care ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5587 ,Health Choice Arizona ,"HEALTH CHOICE ARIZONA, INC. ",Blue Cross Blue Shield of Arizona ,20%,27%,11%,8%,12%
H5590 ,Wellcare by Allwell ,"Bridgeway Health Solutions of Arizona, Inc. ",Centene Corporation ,15%,25%,18%,9%,17%
H5591 ,Martin's Point Generations Advantage ,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC. ","Martin's Point Health Care, Inc. ",12%,11%,27%,8%,8%
H5593 ,Aetna Medicare ,AETNA HEALTH OF IOWA INC. ,CVS Health Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5594 ,"Optimum HealthCare, Inc. ","OPTIMUM HEALTHCARE, INC. ",Anthem Inc. ,16%,26%,13%,Not Available ,11%
H5599 ,Wellcare by Fidelis Care ,NEW YORK QUALITY HEALTHCARE CORPORATION ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5608 ,"Denver Health Medical Plan, Inc. ","DENVER HEALTH MEDICAL PLAN, INC. ",Denver Health and Hospital Authority ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5613 ,MVP HEALTH CARE ,"MVP HEALTH PLAN, INC. ","MVP Health Care, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5619 ,Humana ,"ARCADIAN HEALTH PLAN, INC. ",Humana Inc. ,18%,23%,19%,Not Available ,13%
H5628 ,Molina Healthcare of Utah & Idaho ,"MOLINA HEALTHCARE OF UTAH, INC. ","Molina Healthcare, Inc., ",30%,31%,13%,10%,18%
H5644 ,Network Health Medicare Advantage Plans ,NETWORK HEALTH INSURANCE CORPORATION ,"Network Health, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5649 ,Central Health Medicare Plan ,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC. ","Bright Health Group, Inc. ",8%,30%,14%,Not Available ,12%
H5652 ,UnitedHealthcare ,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC. ","UnitedHealth Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5703 ,South Country Health Alliance ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5746 ,Amerigroup Community Care of New Mexico ,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC. ",Anthem Inc. ,29%,30%,22%,Not Available ,17%
H5774 ,Triple S Advantage ,"TRIPLE S ADVANTAGE, INC. ",Triple-S Management Corporation ,8%,10%,11%,Not Available ,11%
H5779 ,Wellcare ,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC. ",Centene Corporation ,24%,45%,13%,Not Available ,14%
H5793 ,Aetna Medicare ,AETNA HEALTH INC. (CT) ,CVS Health Corporation ,25%,18%,26%,Not Available ,10%
H5810 ,Molina Healthcare of California ,MOLINA HEALTHCARE OF CALIFORNIA ,"Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5823 ,"Molina Healthcare of Washington, Inc. ","MOLINA HEALTHCARE OF WASHINGTON, INC. ","Molina Healthcare, Inc., ",24%,26%,12%,16%,19%
H5826 ,Community Health Plan of WA Medicare Advantage ,COMMUNITY HEALTH PLAN OF WASHINGTON ,Community Health Plan of Washington ,20%,31%,22%,7%,9%
H5828 ,AMERIGROUP Community Care ,"AMERIGROUP TENNESSEE, INC. ",Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5843 ,Banner Medicare Advantage Prime ,"BANNER HEALTH PLAN, INC. ",Banner Health ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5852 ,AHF ,AIDS HEALTHCARE FOUNDATION ,AIDS Healthcare Foundation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5854 ,Anthem Blue Cross and Blue Shield ,"ANTHEM HEALTH PLANS, INC. ",Anthem Inc. ,20%,24%,27%,Not Available ,12%
H5859 ,CareOregon Advantage ,"HEALTH PLAN OF CAREOREGON, INC. ","CareOregon, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5883 ,Blue Care Network ,BLUE CARE NETWORK OF MICHIGAN ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,16%,26%,44%,11%,10%
H5900 ,Wellmark Advantage Health Plan ,"WELLMARK ADVANTAGE HEALTH PLAN, INC. ",Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H5926 ,Molina Healthcare of Michigan ,"MOLINA HEALTHCARE OF MICHIGAN, INC. ","Molina Healthcare, Inc., ",28%,24%,17%,Not Available ,17%
H5928 ,Blue Shield of California ,California Physicians' Service ,California Physicians' Service ,17%,24%,21%,Not Available ,16%
H5932 ,Gateway Health Medicare Assured ,"GATEWAY HEALTH PLAN, INC. ","Gateway Health, LLC. ",22%,25%,15%,Not Available ,9%
H5937 ,UCare ,UCARE MINNESOTA ,UCare Minnesota ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5938 ,Capital Health Plan ,CAPITAL HEALTH PLAN ,Guidewell Mutual Holding Corporation ,5%,12%,33%,Not Available ,9%
H5943 ,VillageHealth ,SCAN HEALTH PLAN ,SCAN Group ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5945 ,Prominence Health Plan ,PROMINENCE HEALTHFIRST ,"Universal Health Services, Inc. ",28%,21%,16%,Not Available ,17%
H5959 ,Blue Cross Blue Shield of Minnesota ,BLUE CROSS AND BLUE SHIELD OF MINNESOTA ,"Aware Integrated, Inc. ",17%,17%,32%,13%,14%
H5965 ,Wellcare ,WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5969 ,AlohaCare ,ALOHACARE ,AlohaCare ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5970 ,Humana ,HUMANA INSURANCE COMPANY OF NEW YORK ,Humana Inc. ,11%,27%,20%,10%,15%
H5989 ,Healthfirst Medicare Plan ,"HEALTHFIRST HEALTH PLAN, INC. ","Healthfirst, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5991 ,EmblemHealth Medicare HMO ,HEALTH INSURANCE PLAN OF GREATER NEW YORK ,"EmblemHealth, Inc. ",26%,31%,40%,17%,21%
H5992 ,Senior Whole Health of New York ,"SENIOR WHOLE HEALTH OF NEW YORK, INC. ","Molina Healthcare, Inc., ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H5995 ,ATRIO Health Plans ,ATRIO HEALTH PLANS ,ATRIO Health Plans ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6062 ,GlobalHealth ,"GLOBALHEALTH OF TEXAS, INC. ","MHH Healthcare, LLC ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6067 ,CareFirst BlueCross BlueShield Medicare Advantage ,"CAREFIRST ADVANTAGE, INC. ","CareFirst, Inc. ",Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6078 ,Region 6 Rx Corp PPO ,"Group Retiree Health Solutions, Inc. ",Anthem Inc. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6121 ,Bright Health ,BRIGHT HEALTH INSURANCE COMPANY OF ILLINOIS ,"Bright Health Group, Inc. ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6154 ,Medica ,MEDICA HEALTH PLANS ,Medica Holding Company ,10%,8%,25%,Not Available ,8%
H6158 ,Arkansas Blue Medicare ,"USABLE HMO, INC. ",USAble Mutual Insurance Company ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6193 ,Wellcare ,"WELLCARE HEALTH PLANS OF MASSACHUSETTS, INC. ",Centene Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6202 ,NextBlue of North Dakota ,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY ,Blue Cross Blue Shield of Michigan Mutual Ins. Co. ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6237 ,Regence BlueCross BlueShield of Oregon ,REGENCE BLUECROSS BLUESHIELD OF OREGON ,"Cambia Health Solutions, Inc. ",17%,23%,25%,8%,11%
H6306 ,FirstMedicare Direct ,FIRSTCAROLINACARE INSURANCE COMPANY ,The Carle Foundation ,13%,6%,35%,Not Available ,11%
H6316 ,Healthy Blue ,"MISSOURI CARE, INCORPORATED ",Anthem Inc. ,29%,24%,14%,Not Available ,32%
H6322 ,McLaren Medicare ,"MCLAREN HEALTH PLAN, INC. ",McLaren Health Care Corporation ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured ,Plan too new to be measured
H6328 ,Care N' Care Insurance Company ,"CARE N' CARE INSURANCE COMPANY, INC. ",Texas Health Resources ,35%,40%,27%,13%,17%
H6345 ,PruittHealth Premier ,"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC ","UNICO Premier, LLC ",Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6348 ,Wellcare by Allwell ,COORDINATED CARE CORPORATION ,Centene Corporation ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
H6351 ,Liberty Medicare Advantage ,"LIBERTY ADVANTAGE, LLC ",Liberty Healthcare Insurance ,Not Available ,Not Available ,Not Available ,Not Available ,Not Available
