2021 Medicare Part C and D Display Measures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Part C,,,,,,,,,,,,,,,,,,,,,,,,Part D,,,,,,,,,,,,,,,,,,,,,Both Part C & Part D,,,,,,
,,,,Follow-up Visit after Hospital Stay for Mental Illness (within 30 days of discharge) - DMC01,Antidepressant Medication Management (6 months) - DMC02,Continuous Beta Blocker Treatment - DMC03,Osteoporosis Testing - DMC04,Testing to Confirm Chronic Obstructive Pulmonary Disease - DMC05,Doctors who Communicate Well - DMC06,Call Center – Beneficiary Hold Time - DMC07,Pneumonia Vaccine - DMC08,Access to Primary Care Doctor Visits - DMC09,Call Center - Calls Disconnected When Customer Calls Health Plan - DMC10,Pharmacotherapy Management of COPD Exacerbation – Systemic Corticosteroid - DMC11,Pharmacotherapy Management of COPD Exacerbation – Bronchodilator - DMC12,Initiation of Alcohol or other Drug Treatment - DMC13,Engagement of Alcohol or other Drug Treatment - DMC14,Hospitalization for Potentially Preventable Complications - DMC15,Controlling High Blood Pressure - DMC16,Follow-up after Emergency Department Visit for Patients with Mulitple Chronic Conditions - DMC17,Transitions of Care -  Medication Reconciliation Post-Discharge - DMC18,Transitions of Care - Notification of Inpatient Admission - DMC19,Transitions of Care - Patient Engagement After Inpatient Discharge - DMC20,Transitions of Care - Receipt of Discharge Information - DMC21,Transitions of Care - Average - DMC22,Plan All-Cause Readmissions - DMC23,Physical Functioning Activities of Daily Living - DMC24,Timely Receipt of Case Files for Appeals - DMD01,Timely Effectuation of Appeals - DMD02,Call Center - Calls Disconnected When Customer Calls Drug Plan - DMD03,Call Center – Beneficiary Hold Time - DMD04,Drug-Drug Interactions - DMD05,Drug Plan Provides Current Information on Costs and Coverage for Medicare’s Website - DMD06,MPF – Stability - DMD07,Call Center – Pharmacy Hold Time - DMD08,Plan Submitted Higher Prices for Display on MPF - DMD09,Reminders to Fill Prescriptions - DMD10,Reminders to Take Medications - DMD11,Antipsychotic Use in Persons with Dementia - DMD12,Antipsychotic Use in Persons with Dementia - for Community-Only Residents - DMD13,Antipsychotic Use in Persons with Dementia - for Long-Term Nursing Home Residents - DMD14,Use of Opioids at High Dosage and from Multiple Providers - DMD15,MPF Price Accuracy - DMD16,Concurrent Use of Opioids and Benzodiazepines - DMD17,Use of Opioids at High Dosage in Persons Without Cancer - DMD18,Use of Opioids from Multiple Providers in Persons Without Cancer - DMD19,Polypharmacy: Use of Multiple Anticholinergic Medications in Older Adults - DMD20,Polypharmacy: Use of Multiple CNS-Active Medications in Older Adults - DMD21,Grievance Rate - DME01,"Disenrollment Reasons - Problems Getting the Plan to Provide and Pay for Needed Care (MA-PD, MA-only) - DME02","Disenrollment Reasons - Problems with Coverage of Doctors and Hospitals (MA-PD, MA-only) - DME03","Disenrollment Reasons - Financial Reasons for Disenrollment (MA-PD, MA-only, PDP) - DME04","Disenrollment Reasons - Problems with Prescription Drug Benefits and Coverage (MA-PD, PDP) - DME05","Disenrollment Reasons - Problems Getting Information and Help from the Plan (MA-PD, PDP) - DME06",Beneficiary Access and Performance Problems - DME07
H4675,Braven Health,HEALTHIER NEW JERSEY INSURANCE COMPANY,"NJ Collaborative Care, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4676,Troy Medicare,"TROY HEALTH, INC.","Troy Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:30,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,3.13%,02:12,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:11,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4699,WellCare,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4709,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:34,Plan too new to be measured,Plan too new to be measured,1.04%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,1.04%,00:34,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:21,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4711,Aetna Medicare,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:56,Plan too new to be measured,Plan too new to be measured,0.58%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.58%,00:56,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:38,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4754,PacificSource Medicare,PACIFICSOURCE COMMUNITY HEALTH PLANS,PacificSource,Not enough data available,59%,Not enough data available,78%,37%,92,00:48,74%,95%,1.26%,72%,70%,32%,2%,30,66%,56%,49%,15%,78%,0%,36%,11%,96,100%,No data available,1.26%,00:48,3%,100%,99,00:12,93,48%,29%,13%,13%,No data available,0.10%,84,11.44%,8.43%,0.17%,5.96%,4.58%,2.95,5%,12%,23%,9%,4%,80
H4778,Sunrise Advantage Plan,"SPARTAN PLAN IL, INC.",Public Sector Pension Investment Board,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:15,No data available,100%,2.34%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,No data available,No data available,2.34%,00:15,6%,100%,No data available,00:03,41,No data available,No data available,20%,22%,No data available,No data available,94,No data available,No data available,No data available,No data available,8.48%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H4829,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4835,Aetna Medicare,AETNA BETTER HEALTH OF OKLAHOMA INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:57,Plan too new to be measured,Plan too new to be measured,0.60%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.60%,00:57,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:38,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4847,WellCare,"WELLCARE OF SOUTH CAROLINA, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:15,Plan too new to be measured,Plan too new to be measured,1.09%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,No data available,No data available,1.09%,00:15,5%,100%,102,00:30,95,No data available,No data available,2%,2%,No data available,0.44%,95,28.80%,5.85%,0.87%,9.94%,8.18%,5.04,28%,35%,20%,Not Available,19%,100
H4853,Bright Health,BRIGHT HEALTH COMPANY OF ARIZONA,"Bright Health, Inc.",Not enough data available,Not enough data available,Not enough data available,78%,Not enough data available,Not enough data available,00:34,59%,91%,0.00%,Not enough data available,Not enough data available,49%,9%,No data available,61%,Not enough data available,22%,1%,73%,1%,24%,No data available,No data available,No data available,No data available,0.00%,00:34,2%,100%,93,00:21,94,49%,31%,5%,6%,No data available,0.00%,77,8.50%,6.78%,0.00%,6.40%,2.17%,9.39,25%,48%,19%,12%,21%,80
H4868,WellCare,"WELLCARE OF NEW YORK, INC.",Centene Corporation,54%,45%,89%,56%,41%,No data available,00:15,No data available,91%,2.48%,74%,85%,45%,8%,57,58%,48%,49%,4%,78%,0%,33%,10%,89,80%,100.00%,2.48%,00:15,2%,100%,100,00:30,98,No data available,No data available,8%,8%,9%,0.00%,94,12.11%,8.78%,0.41%,7.56%,4.96%,5.76,22%,35%,11%,Not Available,15%,100
H4875,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,56%,69%,89%,89%,40%,92,04:56,77%,97%,0.00%,80%,78%,40%,5%,35,77%,58%,69%,45%,90%,53%,64%,8%,98,96%,66.67%,0.00%,04:56,3%,100%,102,03:38,77,49%,26%,12%,10%,14%,0.00%,88,18.10%,8.63%,0.17%,6.41%,4.59%,5.81,11%,5%,40%,9%,9%,100
H4882,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",Not enough data available,Not enough data available,Not enough data available,86%,Not enough data available,94,00:25,73%,93%,0.78%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,80%,Not enough data available,83%,69%,88%,36%,69%,No data available,No data available,100%,No data available,0.78%,00:25,2%,100%,102,00:17,91,31%,14%,12%,11%,16%,0.28%,98,11.06%,4.45%,1.54%,5.34%,2.87%,18.42,10%,31%,26%,5%,5%,100
H4909,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,41%,59%,Not enough data available,88%,40%,93,00:26,80%,97%,2.34%,63%,72%,41%,6%,48,60%,63%,47%,9%,87%,10%,38%,6%,97,No data available,No data available,3.56%,00:07,2%,100%,101,00:17,84,Not enough data available,18%,11%,11%,13%,0.13%,94,17.44%,8.77%,0.64%,6.51%,4.40%,1.28,16%,16%,29%,Not Available,17%,80
H4922,AgeWell New York,"AGEWELL NEW YORK, LLC","ParkerCare New York, LLC",27%,49%,Not enough data available,68%,Not enough data available,Not enough data available,00:17,64%,94%,0.78%,51%,69%,38%,4%,No data available,72%,54%,50%,6%,80%,3%,35%,11%,91,No data available,No data available,0.00%,00:31,3%,100%,101,00:29,75,56%,34%,7%,11%,4%,0.00%,91,18.86%,8.93%,0.00%,7.89%,5.12%,3.53,26%,48%,40%,20%,21%,80
H4931,Banner - University Care Advantage,BANNER - UNIVERSITY CARE ADVANTAGE,Banner Health,40%,74%,80%,69%,24%,Not enough data available,00:51,63%,93%,0.00%,65%,81%,35%,4%,51,65%,57%,51%,29%,80%,22%,46%,11%,96,71%,100.00%,0.00%,00:51,4%,100%,101,00:08,87,51%,46%,16%,16%,15%,0.03%,99,11.07%,14.14%,0.36%,8.72%,8.40%,1.86,13%,18%,13%,Not Available,14%,100
H4937,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:24,Plan too new to be measured,Plan too new to be measured,2.36%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,2.36%,00:24,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:06,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4961,Alignment Health Plan,ALIGNMENT HEALTH PLAN,"Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:21,Plan too new to be measured,Plan too new to be measured,1.56%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.00%,00:22,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:04,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4982,Aetna Medicare,AETNA BETTER HEALTH OF CALIFORNIA INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,01:54,Plan too new to be measured,Plan too new to be measured,1.27%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,1.27%,01:54,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:38,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5008,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",28%,53%,86%,67%,29%,Not enough data available,00:33,65%,96%,1.35%,73%,82%,37%,5%,40,74%,54%,56%,14%,78%,5%,38%,7%,90,100%,No data available,1.35%,00:33,4%,100%,100,00:35,88,60%,43%,12%,12%,15%,0.09%,91,14.83%,7.40%,1.36%,13.71%,8.45%,0.99,19%,44%,15%,Not Available,16%,100
H5009,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",45%,65%,86%,88%,40%,91,00:32,87%,97%,1.29%,73%,81%,30%,2%,25,70%,60%,46%,2%,82%,1%,33%,6%,97,100%,100.00%,1.29%,00:32,3%,100%,100,00:11,89,43%,22%,16%,16%,No data available,0.00%,92,16.19%,12.10%,0.66%,5.32%,4.95%,11.24,12%,17%,38%,6%,5%,100
H5010,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",Not enough data available,Not enough data available,Not enough data available,85%,Not enough data available,Not enough data available,00:32,81%,97%,1.29%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,18,71%,49%,45%,1%,87%,0%,33%,10%,98,100%,No data available,1.29%,00:32,4%,100%,100,00:11,90,43%,26%,11%,12%,No data available,0.00%,94,17.44%,13.35%,0.00%,5.83%,6.95%,14.15,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5015,Texas Independence Health Plan,"TEXAS INDEPENDENCE HEALTH PLAN, INC.",Regency ISNP Holdings LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,01:38,Plan too new to be measured,Plan too new to be measured,0.00%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,3.40%,00:21,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:24,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5042,CDPHP Medicare Advantage,"CDPHP UNIVERSAL BENEFITS, INC.","Capital District Physicians' Health Plan, Inc.",Not enough data available,66%,Not enough data available,94%,55%,93,00:30,84%,98%,0.78%,91%,88%,29%,6%,52,83%,71%,68%,59%,85%,35%,62%,10%,98,No data available,No data available,3.91%,00:15,2%,100%,No data available,00:15,No data available,49%,16%,17%,12%,No data available,0.00%,No data available,11.70%,5.08%,0.00%,8.16%,4.34%,4.00,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5050,Kaiser Foundation Health Plan of Washington,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,"Kaiser Foundation Health Plan, Inc.",75%,64%,92%,86%,38%,92,00:17,89%,96%,1.56%,70%,82%,31%,4%,21,81%,65%,80%,51%,91%,52%,68%,6%,96,80%,100.00%,1.56%,00:17,2%,100%,101,00:15,60,26%,18%,18%,19%,17%,0.03%,90,10.93%,7.05%,0.56%,5.99%,3.52%,7.81,12%,38%,28%,5%,9%,100
H5087,WellCare,"WELLCARE OF CALIFORNIA, INC.",Centene Corporation,27%,44%,84%,54%,16%,Not enough data available,00:42,59%,95%,2.34%,65%,84%,12%,1%,27,74%,45%,69%,12%,83%,2%,42%,8%,100,100%,No data available,2.34%,00:42,2%,100%,100,00:40,97,61%,66%,7%,6%,12%,0.04%,94,13.07%,3.15%,0.79%,6.73%,4.23%,3.03,25%,30%,8%,Not Available,21%,100
H5106,Highmark Inc.,HIGHMARK SENIOR SOLUTIONS COMPANY,Highmark Health,Not enough data available,57%,Not enough data available,81%,29%,92,01:02,76%,98%,0.00%,77%,60%,23%,2%,55,64%,53%,70%,26%,87%,27%,52%,10%,95,No data available,No data available,0.00%,01:02,3%,100%,100,00:10,81,43%,25%,13%,12%,10%,0.00%,88,21.02%,7.65%,0.00%,4.70%,7.57%,0.78,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5117,Allwell,"LOUISIANA HEALTHCARE CONNECTIONS, INC.",Centene Corporation,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,No data available,00:04,No data available,92%,1.57%,Not enough data available,Not enough data available,Not enough data available,Not enough data available,No data available,Not enough data available,Not enough data available,Not enough data available,CMS Found Issues with Plan's Data,Not enough data available,CMS Found Issues with Plan's Data,CMS Found Issues with Plan's Data,Not enough data available,No data available,No data available,No data available,1.57%,00:04,11%,100%,107,00:05,88,No data available,No data available,No data available,No data available,No data available,No data available,93,No data available,No data available,No data available,No data available,8.40%,Plan too small to be measured,Not Available,Not Available,Not Available,Not Available,Not Available,100
H5126,Oscar,OSCAR INSURANCE COMPANY,"Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:26,Plan too new to be measured,Plan too new to be measured,0.71%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.71%,00:26,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:20,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5140,Blue Cross Blue Shield of Arizona,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,00:31,Plan too new to be measured,Plan too new to be measured,0.78%,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,No data available,Plan too new to be measured,Plan too new to be measured,0.78%,00:31,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,00:06,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5141,Clover Health,CLOVER INSURANCE COMPANY,"Clover Health Holdings, Inc.",18%,45%,82%,69%,41%,91,00:52,57%,95%,1.12%,66%,78%,35%,4%,47,59%,57%,50%,7%,87%,0%,36%,10%,96,100%,100.00%,1.12%,00:52,3%,100%,101,00:25,92,57%,53%,6%,5%,15%,0.00%,80,19.85%,10.30%,0.42%,6.67%,5.61%,27.20,27%,32%,27%,17%,19%,100
H5172,Community Health Group,COMMUNITY HEALTH GROUP,Community Health Group,48%,58%,Not enough data available,55%,19%,91,00:45,61%,96%,0.00%,72%,87%,33%,3%,34,68%,50%,30%,0%,82%,1%,28%,8%,93,No data available,No data available,0.00%,00:45,Plan not required to report measure,100%,Plan not required to report measure,00:03,Plan not required to report measure,59%,56%,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,Plan not required to report measure,0.11,Not Available,Not Available,Not Available,Not Available,Not Available,100
