2021 Disenrollment Reasons View: Medicare Report Card Master Table,,,,,,,,
Contract Number,Organization Marketing Name,Contract Name,Parent Organization,Problems Getting the Plan to Provide and Pay for Needed Care,Problems with Coverage of Doctors and Hospitals,Financial Reasons for Disenrollment,Problems with Prescription Drug Benefits and Coverage,Problems Getting Information and Help from the Plan
H4604,UnitedHealthcare,"UNITEDHEALTHCARE OF UTAH, INC.","UnitedHealth Group, Inc.",18%,16%,26%,11%,13%
H4605,Regence BlueCross BlueShield of Utah,REGENCE BLUECROSS BLUESHIELD OF UTAH,"Cambia Health Solutions, Inc.",8%,16%,39%,12%,6%
H4623,Humana,"HUMANA REGIONAL HEALTH PLAN, INC.",Humana Inc.,16%,18%,20%,Not Available,13%
H4624,Zing Health,"ZING HEALTH OF MICHIGAN, INC.","ZING HEALTH HOLDINGS OF MICHIGAN, INC.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4675,Braven Health,HEALTHIER NEW JERSEY INSURANCE COMPANY,"NJ Collaborative Care, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4676,Troy Medicare,"TROY HEALTH, INC.","Troy Holdings, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4699,WellCare,"WELLCARE HEALTH PLANS OF RHODE ISLAND, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4709,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF FLORIDA,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4711,Aetna Medicare,"COVENTRY HEALTH CARE OF NEBRASKA, INC.",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4754,PacificSource Medicare,PACIFICSOURCE COMMUNITY HEALTH PLANS,PacificSource,5%,12%,23%,9%,4%
H4778,Sunrise Advantage Plan,"SPARTAN PLAN IL, INC.",Public Sector Pension Investment Board,Not Available,Not Available,Not Available,Not Available,Not Available
H4829,UnitedHealthcare,UHC OF CALIFORNIA,"UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4835,Aetna Medicare,AETNA BETTER HEALTH OF OKLAHOMA INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4847,WellCare,"WELLCARE OF SOUTH CAROLINA, INC.",Centene Corporation,28%,35%,20%,Not Available,19%
H4853,Bright Health,BRIGHT HEALTH COMPANY OF ARIZONA,"Bright Health, Inc.",25%,48%,19%,12%,21%
H4868,WellCare,"WELLCARE OF NEW YORK, INC.",Centene Corporation,22%,35%,11%,Not Available,15%
H4875,Priority Health Medicare,PRIORITY HEALTH,Spectrum Health System,11%,5%,40%,9%,9%
H4882,HealthPartners,"HEALTHPARTNERS, INC.","HealthPartners, Inc.",10%,31%,26%,5%,5%
H4909,Anthem Blue Cross and Blue Shield,"ANTHEM INSURANCE COMPANIES, INC.",Anthem Inc.,16%,16%,29%,Not Available,17%
H4922,AgeWell New York,"AGEWELL NEW YORK, LLC","ParkerCare New York, LLC",26%,48%,40%,20%,21%
H4931,Banner - University Care Advantage,BANNER - UNIVERSITY CARE ADVANTAGE,Banner Health,13%,18%,13%,Not Available,14%
H4937,Blue Shield of California,CALIFORNIA PHYSICIANS' SERVICE,California Physicians' Service,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4961,Alignment Health Plan,ALIGNMENT HEALTH PLAN,"Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H4982,Aetna Medicare,AETNA BETTER HEALTH OF CALIFORNIA INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5008,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",19%,44%,15%,Not Available,16%
H5009,Regence BlueShield,REGENCE BLUESHIELD,"Cambia Health Solutions, Inc.",12%,17%,38%,6%,5%
H5010,Asuris Northwest Health,ASURIS NORTHWEST HEALTH,"Cambia Health Solutions, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5015,Texas Independence Health Plan,"TEXAS INDEPENDENCE HEALTH PLAN, INC.",Regency ISNP Holdings LLC,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5042,CDPHP Medicare Advantage,"CDPHP UNIVERSAL BENEFITS, INC.","Capital District Physicians' Health Plan, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5050,Kaiser Foundation Health Plan of Washington,KAISER FOUNDATION HEALTH PLAN OF WASHINGTON,"Kaiser Foundation Health Plan, Inc.",12%,38%,28%,5%,9%
H5087,WellCare,"WELLCARE OF CALIFORNIA, INC.",Centene Corporation,25%,30%,8%,Not Available,21%
H5106,Highmark Inc.,HIGHMARK SENIOR SOLUTIONS COMPANY,Highmark Health,Not Available,Not Available,Not Available,Not Available,Not Available
H5117,Allwell,"LOUISIANA HEALTHCARE CONNECTIONS, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5126,Oscar,OSCAR INSURANCE COMPANY,"Mulberry Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5140,Blue Cross Blue Shield of Arizona,"BLUE CROSS AND BLUE SHIELD ARIZONA, INC.",Blue Cross Blue Shield of Arizona,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5141,Clover Health,CLOVER INSURANCE COMPANY,"Clover Health Holdings, Inc.",27%,32%,27%,17%,19%
H5172,Community Health Group,COMMUNITY HEALTH GROUP,Community Health Group,Not Available,Not Available,Not Available,Not Available,Not Available
H5178,Humana,"HUMANA HEALTH PLAN, INC.",Humana Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5190,Allwell,"SUNSHINE STATE HEALTH PLAN, INC.",Centene Corporation,25%,41%,16%,Not Available,23%
H5199,WellCare,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5209,My Choice Wisconsin Health Plan,"CARE WISCONSIN HEALTH PLAN, INC.","My Choice Wisconsin, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5211,"Security Health Plan of Wisconsin, Inc.","SECURITY HEALTH PLAN OF WISCONSIN, INC.","Marshfield Clinic Health System, Inc.",11%,17%,34%,9%,8%
H5215,Network Health Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,"Network Health, Inc.",11%,13%,28%,6%,7%
H5216,Humana,HUMANA INSURANCE COMPANY,Humana Inc.,17%,21%,30%,12%,13%
H5232,Paramount Elite/Medicare Plans,"PARAMOUNT CARE, INC.","Promedica Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5253,UnitedHealthcare,"UNITEDHEALTHCARE OF WISCONSIN, INC.","UnitedHealth Group, Inc.",21%,22%,24%,10%,12%
H5256,Medical Associates Clinic Health Plan of Wisconsin,MEDICAL ASSOCIATES CLINIC HEALTH PLAN,"Medical Associates Clinic, P.C.",Not Available,Not Available,Not Available,Not Available,Not Available
H5262,Quartz Medicare Advantage,QUARTZ HEALTH PLAN CORPORATION,University of Wisconsin Hospitals and Clincs Autho,14%,28%,25%,10%,11%
H5264,"Dean Health Plan, Inc.","DEAN HEALTH PLAN, INC.",SSM Healthcare Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5273,CarePartners of Connecticut,"CAREPARTNERS OF CONNECTICUT, INC.","Tufts Health Plan, Inc",Not Available,Not Available,Not Available,Not Available,Not Available
H5280,Molina Healthcare of Ohio,"MOLINA HEALTHCARE OF OHIO, INC.","Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H5294,Allwell,"SUPERIOR HEALTH PLAN, INC.",Centene Corporation,22%,33%,13%,19%,21%
H5296,Alignment Health Plan,"ALIGNMENT HEALTH PLAN OF NORTH CAROLINA, INC.","Alignment Healthcare USA, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5302,Aetna Medicare,AETNA HEALTH INC. (GA),CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5322,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",20%,26%,8%,Not Available,14%
H5325,Aetna Medicare,"COVENTRY HEALTH CARE OF KANSAS, INC.",CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5337,Aetna Better Health of Ohio (HMO SNP),AETNA BETTER HEALTH INC. (OH),CVS Health Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H5355,IEHP DualChoice,IEHP HEALTH ACCESS,INLAND EMPIRE HEALTH PLAN,Not Available,Not Available,Not Available,Not Available,Not Available
H5373,ProMedica Medicare Plans,"PARAMOUNT CARE OF INDIANA, INC.","Promedica Health System, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5374,Longevity Health Plan,LONGEVITY HEALTH PLAN OF NORTH CAROLINA,"Longevity Health Founders, LLC",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5377,Humana,"HUMANA MEDICAL PLAN OF PENNSYLVANIA, INC.",Humana Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H5386,Sharp Health Plan,SHARP HEALTH PLAN,Sharp Healthcare,Not Available,Not Available,Not Available,Not Available,Not Available
H5398,Ascension Complete,CENTENE VENTURE COMPANY KANSAS,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5410,Cigna,"HEALTHSPRING OF FLORIDA, INC.",CIGNA,22%,37%,14%,12%,17%
H5420,UnitedHealthcare,"MEDICA HEALTHCARE PLANS, INC.","UnitedHealth Group, Inc.",13%,24%,20%,17%,11%
H5422,Anthem Blue Cross and Blue Shield,BLUE CROSS BLUE SHIELD HEALTHCARE PLAN OF GEORGIA,Anthem Inc.,28%,42%,24%,Not Available,19%
H5425,SCAN Health Plan,SCAN HEALTH PLAN,SCAN Health Plan,14%,23%,24%,12%,12%
H5427,"Freedom Health, Inc.","FREEDOM HEALTH, INC.",Anthem Inc.,23%,28%,16%,7%,12%
H5430,WellCare,ONECARE BY CARE1ST HEALTH PLAN OF ARIZONA INC.,Centene Corporation,36%,35%,4%,Not Available,19%
H5431,"HealthSun Health Plans, Inc.","HEALTHSUN HEALTH PLANS, INC.",Anthem Inc.,27%,40%,8%,Not Available,18%
H5433,OneCare,ORANGE COUNTY HEALTH AUTHORITY,Orange County Health Authority,Not Available,Not Available,Not Available,Not Available,Not Available
H5434,Florida Blue,"BLUE CROSS AND BLUE SHIELD OF FLORIDA, INC.",Guidewell Mutual Holding Corporation,12%,16%,42%,13%,11%
H5435,UnitedHealthcare,UNITEDHEALTHCARE INSURANCE COMPANY,"UnitedHealth Group, Inc.",9%,7%,39%,9%,8%
H5439,Health Net Life Insurance Company,HEALTH NET LIFE INSURANCE COMPANY,Centene Corporation,22%,52%,12%,7%,15%
H5447,Community First Health Plans,"COMMUNITY FIRST HEALTH PLANS, INC.",Bexar County Hospital District,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5454,Clear Spring Health,"CLEAR SPRING HEALTH OF ILLINOIS, INC.",Group 1001,Not Available,Not Available,Not Available,Not Available,Not Available
H5471,"Simply Healthcare Plans, Inc.","SIMPLY HEALTHCARE PLANS, INC.",Anthem Inc.,15%,28%,8%,5%,10%
H5475,WellCare,"MERIDIAN HEALTH PLAN OF MICHIGAN, INC.",Centene Corporation,36%,36%,17%,Not Available,21%
H5496,"Imperial Health Plan of California, Inc.","IMPERIAL HEALTH PLAN OF CALIFORNIA, INC.",Imperial Health Plan of California,Not Available,Not Available,Not Available,Not Available,Not Available
H5521,Aetna Medicare,AETNA LIFE INSURANCE COMPANY,CVS Health Corporation,16%,12%,23%,10%,9%
H5522,Aetna Medicare,"HEALTHASSURANCE PENNSYLVANIA, INC.",CVS Health Corporation,10%,17%,22%,9%,6%
H5525,Humana,"HUMANA BENEFIT PLAN OF ILLINOIS, INC.",Humana Inc.,17%,19%,35%,11%,10%
H5526,BlueCross BlueShield of WNY and BlueShield of NENY,HEALTHNOW NEW YORK INC.,HealthNow New York Inc.,10%,4%,44%,8%,7%
H5528,EmblemHealth Medicare PPO,GROUP HEALTH INCORPORATED,"EmblemHealth, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5533,UPMC for Life,"UPMC HEALTH NETWORK, INC.",UPMC Health System,9%,13%,28%,5%,6%
H5549,VNSNY CHOICE Medicare,VNS CHOICE,Visiting Nurse Service of New York,Not Available,Not Available,Not Available,Not Available,Not Available
H5576,Vantage Health Plan,"VANTAGE HEALTH PLAN, INC.",Louisiana Health Service & Indemnity Company,21%,24%,34%,Not Available,10%
H5577,MCS Classicare,"MCS ADVANTAGE, INC.","Medical Card System, Inc.",7%,7%,12%,Not Available,8%
H5580,Mercy Care Advantage,MERCY CARE,Mercy Care,8%,18%,7%,7%,6%
H5587,Health Choice Arizona,"HEALTH CHOICE ARIZONA, INC.",Blue Cross Blue Shield of Arizona,12%,22%,11%,9%,11%
H5590,Allwell,BRIDGEWAY HEALTH SOLUTIONS,Centene Corporation,26%,28%,15%,Not Available,17%
H5591,Martin's Point Generations Advantage,"MARTIN'S POINT GENERATIONS ADVANTAGE, INC.","Martin's Point Health Care, Inc.",10%,10%,36%,10%,8%
H5593,Aetna Medicare,AETNA HEALTH OF IOWA INC.,CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5594,"Optimum HealthCare, Inc.","OPTIMUM HEALTHCARE, INC.",Anthem Inc.,19%,23%,12%,6%,12%
H5599,Fidelis Care,NEW YORK QUALITY HEALTHCARE CORPORATION,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5608,"Denver Health Medical Plan, Inc.","DENVER HEALTH MEDICAL PLAN, INC.",Denver Health and Hospital Authority,29%,21%,18%,Not Available,20%
H5613,MVP HEALTH CARE,"MVP HEALTH PLAN, INC.","MVP Health Care, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5619,Humana,"ARCADIAN HEALTH PLAN, INC.",Humana Inc.,17%,21%,20%,9%,13%
H5628,Molina Healthcare of Utah & Idaho,"MOLINA HEALTHCARE OF UTAH, INC.","Molina Healthcare, Inc.,",30%,32%,15%,11%,18%
H5644,Network Health Medicare Advantage Plans,NETWORK HEALTH INSURANCE CORPORATION,"Network Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5649,Central Health Medicare Plan,"CENTRAL HEALTH PLAN OF CALIFORNIA, INC.",AHMC Central Health LLC,18%,30%,14%,17%,16%
H5652,UnitedHealthcare,"SIERRA HEALTH AND LIFE INSURANCE COMPANY, INC.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5656,WellCare,"SELECTCARE HEALTH PLANS, INC.",Centene Corporation,31%,52%,14%,10%,16%
H5703,South Country Health Alliance,SOUTH COUNTRY HEALTH ALLIANCE,South Country Health Alliance,Not Available,Not Available,Not Available,Not Available,Not Available
H5742,FirstCare Advantage,"SHA, L.L.C",Baylor Scott & White Holdings,Not Available,Not Available,Not Available,Not Available,Not Available
H5746,Amerigroup Community Care of New Mexico,"AMERIGROUP COMMUNITY CARE OF NEW MEXICO, INC.",Anthem Inc.,23%,30%,31%,Not Available,17%
H5774,Triple S Advantage,"TRIPLE S ADVANTAGE, INC.",Triple-S Management Corporation,14%,16%,19%,21%,13%
H5779,WellCare,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.",Centene Corporation,26%,47%,12%,8%,14%
H5793,Aetna Medicare,AETNA HEALTH INC. (CT),CVS Health Corporation,17%,11%,23%,7%,7%
H5810,Molina Healthcare of California,MOLINA HEALTHCARE OF CALIFORNIA,"Molina Healthcare, Inc.,",Not Available,Not Available,Not Available,Not Available,Not Available
H5823,"Molina Healthcare of Washington, Inc.","MOLINA HEALTHCARE OF WASHINGTON, INC.","Molina Healthcare, Inc.,",24%,27%,11%,Not Available,15%
H5826,Community Health Plan of WA Medicare Advantage,COMMUNITY HEALTH PLAN OF WASHINGTON,Community Health Plan of Washington,12%,23%,15%,7%,8%
H5828,AMERIGROUP Community Care,"AMERIGROUP TENNESSEE, INC.",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5841,Bright Health,BRIGHT HEALTH INSURANCE COMPANY,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5843,Banner Medicare Advantage Prime,"BANNER HEALTH PLAN, INC.",Banner Health,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5852,AHF,AIDS HEALTHCARE FOUNDATION,AIDS Healthcare Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H5854,Anthem Blue Cross and Blue Shield,"ANTHEM HEALTH PLANS, INC.",Anthem Inc.,17%,21%,13%,10%,9%
H5859,CareOregon Advantage,"HEALTH PLAN OF CAREOREGON, INC.","CareOregon, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5883,Blue Care Network,BLUE CARE NETWORK OF MICHIGAN,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,16%,14%,39%,11%,10%
H5926,Molina Healthcare of Michigan,"MOLINA HEALTHCARE OF MICHIGAN, INC.","Molina Healthcare, Inc.,",24%,29%,20%,17%,18%
H5928,Blue Shield of California,BLUE SHIELD OF CALIFORNIA PROMISE HEALTH PLAN,California Physicians' Service,16%,23%,19%,Not Available,17%
H5932,Gateway Health Medicare Assured,"GATEWAY HEALTH PLAN, INC.","Gateway Health, LLC.",13%,24%,8%,Not Available,8%
H5937,UCare,UCARE MINNESOTA,UCare Minnesota,Not Available,Not Available,Not Available,Not Available,Not Available
H5938,Capital Health Plan,CAPITAL HEALTH PLAN,Guidewell Mutual Holding Corporation,13%,14%,35%,Not Available,11%
H5943,VillageHealth,SCAN HEALTH PLAN,SCAN Health Plan,Not Available,Not Available,Not Available,Not Available,Not Available
H5945,Prominence Health Plan,PROMINENCE HEALTHFIRST,"Universal Health Services, Inc.",26%,27%,21%,Not Available,16%
H5959,Blue Cross Blue Shield of Minnesota,BLUE CROSS AND BLUE SHIELD OF MINNESOTA,"Aware Integrated, Inc.",16%,13%,38%,16%,14%
H5965,WellCare,WELLCARE HEALTH INSURANCE COMPANY OF WASHINGTON,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H5969,AlohaCare,ALOHACARE,AlohaCare,Not Available,Not Available,Not Available,Not Available,Not Available
H5970,Humana,HUMANA INSURANCE COMPANY OF NEW YORK,Humana Inc.,28%,39%,21%,16%,19%
H5989,Healthfirst Medicare Plan,"HEALTHFIRST HEALTH PLAN, INC.","Healthfirst, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5991,EmblemHealth Medicare HMO,HEALTH INSURANCE PLAN OF GREATER NEW YORK,"EmblemHealth, Inc.",28%,25%,20%,Not Available,17%
H5992,Senior Whole Health of New York,"SENIOR WHOLE HEALTH OF NEW YORK, INC.","Magellan Health, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H5995,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,Not Available,Not Available,Not Available,Not Available,Not Available
H6067,CareFirst BlueCross BlueShield Medicare Advantage,"CAREFIRST ADVANTAGE, INC.","CareFirst, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6078,Region 6 Rx Corp PPO,REGION 6 RX CORP,Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6080,MeridianComplete,"MERIDIAN HEALTH PLAN OF ILLINOIS, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H6121,Bright Health,BRIGHT HEALTH INSURANCE COMPANY OF ILLINOIS,"Bright Health, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6154,Medica,MEDICA HEALTH PLANS,Medica Holding Company,Not Available,Not Available,Not Available,Not Available,Not Available
H6158,Arkansas Blue Medicare,"USABLE HMO, INC.",USAble Mutual Insurance Company,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6202,NextBlue of North Dakota,NEXTBLUE OF NORTH DAKOTA INSURANCE COMPANY,Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6229,Anthem Blue Cross Cal MediConnect,"BLUE CROSS OF CALIFORNIA PARTNERSHIP PLAN, INC.",Anthem Inc.,Not Available,Not Available,Not Available,Not Available,Not Available
H6237,Regence BlueCross BlueShield of Oregon,REGENCE BLUECROSS BLUESHIELD OF OREGON,"Cambia Health Solutions, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H6306,FirstMedicare Direct,FIRSTCAROLINACARE INSURANCE COMPANY,The Carle Foundation,Not Available,Not Available,Not Available,Not Available,Not Available
H6316,WellCare,"MISSOURI CARE, INCORPORATED",Anthem Inc.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6328,Care N' Care Insurance Company,"CARE N' CARE INSURANCE COMPANY, INC.",Texas Health Resources,28%,34%,24%,10%,12%
H6345,PruittHealth Premier,"PRUITTHEALTH PREMIER NORTH CAROLINA, LLC","UNICO Premier, LLC",Not Available,Not Available,Not Available,Not Available,Not Available
H6348,Allwell,COORDINATED CARE CORPORATION,Centene Corporation,20%,34%,15%,7%,17%
H6351,Liberty Advantage,"LIBERTY ADVANTAGE, LLC",Liberty Healthcare Insurance,Not Available,Not Available,Not Available,Not Available,Not Available
H6379,Clear Spring Health,"CLEAR SPRING HEALTH (CO), INC.",Group 1001,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6396,CareSource,CARESOURCE,CareSource Management Group Co.,27%,35%,21%,Not Available,18%
H6399,Aetna Better Health of New Jersey,"AETNA BETTER HEALTH, INC. (NJ)",CVS Health Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6439,WellCare,"WELLCARE HEALTH PLANS OF ARIZONA, INC.",Centene Corporation,39%,43%,17%,Not Available,26%
H6446,Allwell,"SILVERSUMMIT HEALTHPLAN, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6453,Blue Cross and Blue Shield of Louisiana HMO,"HMO LOUISIANA, INC.",Louisiana Health Service & Indemnity Company,31%,41%,25%,Not Available,14%
H6502,Blue Medicare Advantage,MISSOURI VALLEY LIFE AND HEALTH INSURANCE COMPANY,Blue Cross and Blue Shield of Kansas City,Not Available,Not Available,Not Available,Not Available,Not Available
H6526,UnitedHealthcare,"UNITEDHEALTHCARE OF NEW MEXICO, INC.","UnitedHealth Group, Inc.",33%,40%,17%,Not Available,24%
H6528,UnitedHealthcare,CARE IMPROVEMENT PLUS SOUTH CENTRAL INSURANCE CO.,"UnitedHealth Group, Inc.",12%,12%,41%,8%,8%
H6529,MyTruAdvantage,"SOUTHEASTERN INDIANA HEALTH ORGANIZATION, INC.","SIHO Holding, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6550,Allwell,"SUNFLOWER STATE HEALTH PLAN, INC.",Centene Corporation,27%,30%,10%,Not Available,20%
H6594,WellCare,"WELLCARE HEALTH PLANS OF VERMONT, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6595,UnitedHealthcare,"UNITEDHEALTHCARE OF KENTUCKY, LTD.","UnitedHealth Group, Inc.",Not Available,Not Available,Not Available,Not Available,Not Available
H6622,Humana,HUMANA WI HEALTH ORGANIZATION INSURANCE CORP,Humana Inc.,24%,28%,19%,12%,19%
H6652,American Health Advantage of Florida,"AMERICAN HEALTH PLAN OF FL, INC.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6672,Clear Spring Health,"EON HEALTH, INC. (GA)",Group 1001,Not Available,Not Available,Not Available,Not Available,Not Available
H6706,UnitedHealthcare,"UNITEDHEALTHCARE OF COLORADO, INC.","UnitedHealth Group, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6713,WellCare,"WELLCARE OF ILLINOIS, INC.",Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6723,Medical Mutual of Ohio,MEDICAL MUTUAL OF OHIO,MEDICAL MUTUAL OF OHIO,11%,24%,18%,9%,8%
H6743,ATRIO Health Plans,ATRIO HEALTH PLANS,ATRIO Health Plans,8%,19%,18%,5%,5%
H6750,"Harvard Pilgrim Health Care of New England, Inc.","HARVARD PILGRIM HEALTH CARE OF NEW ENGLAND, INC.","Harvard Pilgrim Health Care, Inc.",25%,17%,25%,8%,12%
H6776,RiverSpring Health Plans,"ELDERSERVE HEALTH, INC.",Riverspring Health Holding Corp.,Not Available,Not Available,Not Available,Not Available,Not Available
H6815,"Health Net Health Plan of Oregon, Inc.",HEALTH NET HEALTH PLAN OF OREGON,Centene Corporation,10%,61%,7%,5%,9%
H6830,Ascension Complete,CENTENE VENTURE COMPANY KANSAS,Centene Corporation,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6832,Align Senior Care,"ALIGN SENIOR CARE MI, LLC","Innovative Long Term Care Management, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6870,Superior HealthPlan,"SUPERIOR HEALTH PLAN, INC.",Centene Corporation,Not Available,Not Available,Not Available,Not Available,Not Available
H6874,Aspirus Health Plan,"ASPIRUS ARISE HEALTH PLAN OF WISCONSIN, INC.","Aspirus, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6891,American Health Advantage of Texas,"AMERICAN HEALTH PLAN OF TX, INC.","American Health Companies, Inc.",Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
H6898,Vermont Blue Advantage,"VERMONT BLUE ADVANTAGE, INC.",Blue Cross Blue Shield of Michigan Mutual Ins. Co.,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured,Plan too new to be measured
