,Contract Number,Organization Type,Contract Name,Organization Marketing Name,Parent Organization,C Breast Cancer Screening,C Colorectal Cancer Screening,C Cardiovascular Care – Cholesterol Screening,C Diabetes Care – Cholesterol Screening,C Glaucoma Testing,C Annual Flu Vaccine,C Improving or Maintaining Physical Health,C Improving or Maintaining Mental Health,C Monitoring Physical Activity,C Adult BMI Assessment,C Care for Older Adults – Medication Review,C Care for Older Adults – Functional Status Assessment,C Care for Older Adults – Pain Screening,C Osteoporosis Management in Women who had a Fracture,C Diabetes Care – Eye Exam,C Diabetes Care – Kidney Disease Monitoring,C Diabetes Care – Blood Sugar Controlled,C Diabetes Care – Cholesterol Controlled,C Controlling Blood Pressure,C Rheumatoid Arthritis Management,C Improving Bladder Control,C Reducing the Risk of Falling,C Plan All-Cause Readmissions,C Getting Needed Care,C Getting Appointments and Care Quickly,C Customer Service,C Rating of Health Care Quality,C Rating of Health Plan,C Care Coordination,C Complaints about the Health Plan,C Beneficiary Access and Performance Problems,C Members Choosing to Leave the Plan,C Health Plan Quality Improvement,C Plan Makes Timely Decisions about Appeals,C Reviewing Appeals Decisions,C Call Center – Foreign Language Interpreter and TTY Availability,"HD1: Staying Healthy: Screenings, Tests and Vaccines",HD2: Managing Chronic (Long Term) Conditions,HD3: Member Experience with Health Plan,"HD4: Member Complaints, Problems Getting Services, and Improvement in the Health Plan's Performance",HD5: Health Plan Customer Service,SNP,Part C Summary,D Call Center – Foreign Language Interpreter and TTY Availability,D Appeals Auto–Forward,D Appeals Upheld,D Complaints about the Drug Plan,D Beneficiary Access and Performance Problems,D Members Choosing to Leave the Plan,D Drug Plan Quality Improvement,D Rating of Drug Plan,D Getting Needed Prescription Drugs,D MPF Price Accuracy,D High Risk Medication,D Diabetes Treatment,D Medication Adherence for Diabetes Medications ,D Medication Adherence for Hypertension (RAS antagonists) ,D Medication Adherence for Cholesterol (Statins) ,DD1: Drug Plan Customer Service,"DD2: Member Complaints, Problems Getting Services, and Improvement in the Drug Plan’s Performance ",DD3: Member Experience with the Drug Plan,DD4: Patient Safety and Accuracy of Drug Pricing,Part D Summary,C Special Needs Plan (SNP) Care Management,C Care for Older Adults – Pain Assessment,HD4: Member Complaints and Changes in the Health Plan's Performance,DD2: Member Complaints and Changes in the Drug Plan’s Performance,DD4: Drug Safety and Accuracy of Drug Pricing,D Medication Adherence for Diabetes Medications,D Medication Adherence for Hypertension (RAS antagonists),D Medication Adherence for Cholesterol (Statins),D MTM Program Completion Rate for CMR,C Medication Reconciliation Post-Discharge,C Statin Therapy for Patients with Cardiovascular Disease,D Statin Use in Persons with Diabetes (SUPD),C Controlling High Blood Pressure,C Transitions of Care,C Follow-up after Emergency Department Visit for People with Multiple High-Risk Chronic Conditions,Year,Overall
5645,H2288 ,Local CCP ,BRIGHT HEALTH INSURANCE COMPANY OF NEW YORK ,Bright Health ,"Bright Health Group, Inc. ",0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,4.0,3.0,4.0,3.0,4.0,1.0,0.0,4.0,0.0,0.0,0.0,2022,False
5646,H2292 ,Local CCP ,"OXFORD HEALTH INSURANCE, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,2022,5
5647,H2320 ,Local CCP ,PRIORITY HEALTH ,Priority Health Medicare ,Spectrum Health System ,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,5.0,0.0,0.0,4.0,2.0,1.0,0.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,0.0,5.0,3.0,4.0,5.0,5.0,5.0,4.0,5.0,0.0,5.0,0.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.5,0.0,0.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,2022,4.5
5648,H2322 ,Local CCP ,ALLIANCE HEALTH AND LIFE INSURANCE COMPANY ,HAP Senior Plus (PPO) ,Henry Ford Health System ,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,4.0,0.0,0.0,4.0,3.0,3.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,0.0,5.0,4.0,0.0,0.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.5,0.0,0.0,5.0,5.0,4.0,4.0,5.0,4.0,2.0,2.0,4.0,3.0,0.0,0.0,0.0,2022,4.5
5649,H2334 ,Local CCP ,"EON HEALTH, INC. (SC) ",Clear Spring Health ,Group 1001 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,False
5650,H2354 ,Local CCP ,HEALTH ALLIANCE PLAN OF MICHIGAN ,HAP Senior Plus ,Henry Ford Health System ,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,4.0,5.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,0.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,0.0,5.0,1.0,4.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,2022,4.5
5651,H2392 ,Local CCP ,"KANSAS SUPERIOR SELECT, INC. ",Kansas Health Advantage ,Kansas Superior Select ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.0,5.0,2.0,0.0,0.0,4.0,5.0,4.0,5.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,2022,False
5652,H2400 ,Local CCP ,"SIGNATURE ADVANTAGE, LLC ",Signature Advantage (HMO SNP) ,"SA Plan, LLC ",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.5,5.0,5.0,0.0,0.0,4.0,0.0,3.0,3.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,2022,False
5653,H2406 ,Local CCP ,UNITEDHEALTHCARE INSURANCE COMPANY ,UnitedHealthcare ,"UnitedHealth Group, Inc. ",5.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,3.0,4.0,2.0,0.0,4.0,3.0,4.0,3.0,3.0,3.0,5.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,5.0,1.0,4.5,5.0,0.0,0.0,5.0,0.0,4.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,2022,4
5654,H2416 ,Local CCP ,PRIMEWEST RURAL MN HEALTH CARE ACCESS INITIATIVE ,PrimeWest Health ,PrimeWest Rural MN Health Care Access Initiative ,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,3.0,0.0,0.0,5.0,3.0,4.0,5.0,0.0,0.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,4.5,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,2.0,3.0,4.0,4.0,0.0,0.0,0.0,2022,5
5655,H2417 ,Local CCP ,ITASCA MEDICAL CARE ,Itasca Medical Care/IMCare Classic ,Itasca County ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,4.5,4.0,5.0,0.0,0.0,4.0,5.0,5.0,4.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,2022,False
5656,H2419 ,Local CCP ,SOUTH COUNTRY HEALTH ALLIANCE ,South Country Health Alliance ,South Country Health Alliance ,3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,2.0,5.0,0.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,0.0,5.0,3.0,0.0,0.0,4.0,3.0,4.0,5.0,0.0,0.0,1.0,4.5,3.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,5.0,0.0,0.0,0.0,2022,5
5657,H2422 ,Local CCP ,"HEALTHPARTNERS, INC. ",HealthPartners ,"HealthPartners, Inc. ",4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,5.0,0.0,0.0,0.0,5.0,4.0,4.0,0.0,0.0,0.0,4.0,5.0,0.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,0.0,5.0,2.0,0.0,0.0,4.0,4.0,5.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,2022,5
5658,H2425 ,Local CCP ,BLUE PLUS ,Blue Plus ,"Aware Integrated, Inc. ",3.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,3.0,5.0,4.0,5.0,0.0,0.0,5.0,4.0,4.0,0.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,4.0,0.0,0.0,5.0,3.0,4.0,5.0,0.0,0.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,0.0,0.0,0.0,2022,5
5659,H2450 ,1876 Cost ,MEDICA INSURANCE COMPANY ,Medica ,Medica Holding Company ,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,5.0,0.0,0.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,0.0,5.0,4.0,5.0,4.0,0.0,4.0,3.0,4.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,5.0,3.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,2022,4
5660,H2456 ,Local CCP ,UCARE MINNESOTA ,UCare's MSHO ,UCare Minnesota ,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,2.0,5.0,3.0,4.0,0.0,0.0,4.0,4.0,4.0,0.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,0.0,5.0,3.0,5.0,5.0,5.0,3.0,4.0,4.0,0.0,5.0,1.0,4.5,5.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,4.0,5.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,5.0,0.0,0.0,0.0,2022,4.5
5661,H2458 ,Local CCP ,MEDICA HEALTH PLANS ,Medica ,Medica Holding Company ,2.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,1.0,5.0,4.0,5.0,0.0,0.0,5.0,5.0,5.0,0.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,0.0,5.0,2.0,4.0,5.0,5.0,3.0,4.0,4.0,0.0,5.0,1.0,4.5,4.0,0.0,0.0,5.0,0.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.5,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,2022,4.5
5662,H2459 ,Local CCP ,UCARE MINNESOTA ,UCare ,UCare Minnesota ,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,4.0,5.0,0.0,0.0,5.0,2.0,1.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,5.0,0.0,5.0,1.0,5.0,4.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,4.0,4.0,0.0,0.0,0.0,2022,5
5663,H2461 ,1876 Cost ,BLUE CROSS AND BLUE SHIELD OF MINNESOTA ,Blue Cross and Blue Shield of Minnesota ,"Aware Integrated, Inc. ",4.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,5.0,0.0,0.0,5.0,2.0,2.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,4.0,3.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.0,0.0,5.0,5.0,4.0,5.0,5.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,2022,4.5
5664,H2462 ,1876 Cost ,"GROUP HEALTH PLAN, INC. (MN) ",HealthPartners ,"HealthPartners, Inc. ",5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,0.0,5.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2022,5
5665,H2463 ,Local CCP ,"HUMANA HEALTH PLAN OF TEXAS, INC. ",Humana ,Humana Inc. ,5.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,2.0,4.0,1.0,3.0,0.0,5.0,0.0,4.0,0.0,5.0,5.0,5.0,4.0,3.0,2.0,0.0,5.0,0.0,3.5,5.0,0.0,0.0,5.0,0.0,4.0,4.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,0.0,0.0,0.0,2022,3.5
5666,H2486 ,Local CCP ,"HUMANA MEDICAL PLAN OF UTAH, INC. ",Humana ,Humana Inc. ,2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,0.0,4.0,2.0,0.0,0.0,5.0,3.0,4.0,5.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,5.0,0.0,4.0,3.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,2022,4
5667,H2491 ,Local CCP ,"WELLCARE HEALTH INSURANCE OF ARIZONA, INC. ",Wellcare ,Centene Corporation ,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,3.0,4.0,3.0,0.0,0.0,3.0,4.0,4.0,0.0,2.0,2.0,3.0,3.0,3.0,4.0,5.0,0.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,3.0,0.0,5.0,1.0,3.5,5.0,0.0,0.0,5.0,0.0,3.0,4.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,3.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,2022,3.5
5671,H2563 ,Local CCP ,OPTIMA HEALTH PLAN ,Optima Medicare ,Sentara Health Care (SHC) ,5.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,4.0,5.0,5.0,0.0,0.0,4.0,4.0,2.0,0.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,0.0,5.0,3.0,5.0,2.0,5.0,5.0,3.0,3.0,0.0,4.0,1.0,4.0,4.0,0.0,0.0,5.0,0.0,5.0,5.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,4.0,1.0,2.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,0.0,0.0,0.0,2022,4
5674,H2591 ,Local CCP ,"HEALTH ALLIANCE - MIDWEST, INC. ",Health Alliance Medicare ,The Carle Foundation ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2022,False
5675,H2593 ,Local CCP ,"AMERIGROUP TEXAS, INC. ",Amerigroup ,Anthem Inc. ,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,4.0,5.0,5.0,4.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,2.0,3.0,1.0,4.0,0.0,3.0,2.0,4.0,5.0,5.0,3.0,4.0,2.0,0.0,5.0,1.0,3.5,5.0,0.0,0.0,4.0,0.0,3.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.5,2.0,5.0,3.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,4.0,0.0,0.0,0.0,2022,3.5
5676,H2610 ,Local CCP ,"ESSENCE HEALTHCARE, INC. ",Essence Healthcare ,Essence Group Holdings Corporation ,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,5.0,5.0,5.0,0.0,0.0,4.0,3.0,2.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,0.0,5.0,1.0,5.0,5.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,5.0,0.0,0.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,0.0,0.0,0.0,2022,5
5678,H2663 ,Local CCP ,"COVENTRY HEALTH CARE OF MISSOURI, INC ",Aetna Medicare ,CVS Health Corporation ,4.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,5.0,0.0,0.0,4.0,3.0,2.0,0.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,0.0,4.0,2.0,5.0,5.0,5.0,4.0,4.0,5.0,0.0,5.0,0.0,4.5,5.0,0.0,0.0,5.0,0.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.5,0.0,0.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,3.0,3.0,0.0,0.0,0.0,2022,4.5
5686,H2775 ,Local CCP ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Wellcare ,Centene Corporation ,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,5.0,2.0,4.0,1.0,4.0,4.0,0.0,3.0,5.0,3.0,4.0,5.0,4.0,3.0,3.0,0.0,4.0,1.0,3.5,5.0,0.0,0.0,4.0,0.0,3.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,4.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,3.0,0.0,0.0,0.0,2022,4
5688,H2793 ,Local CCP ,IMPERIAL INSURANCE COMPANIES INC. ,"Imperial Insurance Companies, Inc ",Imperial Health Plan of California ,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.5,1.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,2022,False
5689,H2802 ,Local CCP ,"UNITEDHEALTHCARE OF THE MIDLANDS, INC. ",UnitedHealthcare ,"UnitedHealth Group, Inc. ",4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,4.0,0.0,0.0,3.0,4.0,5.0,5.0,0.0,0.0,4.0,2.0,2.0,0.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,0.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,5.0,1.0,4.5,5.0,0.0,0.0,5.0,0.0,4.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,4.0,0.0,4.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,0.0,0.0,0.0,2022,4.5
5690,H2816 ,PFFS ,AMERICAN PROGRESSIVE LIFE & HLTH INS COMPANY OF NY ,Wellcare ,Centene Corporation ,3.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,4.0,0.0,0.0,0.0,3.0,3.0,0.0,4.0,5.0,0.0,3.0,2.0,4.0,5.0,0.0,3.0,4.0,0.0,0.0,5.0,3.0,3.0,4.0,0.0,0.0,0.0,3.5,5.0,0.0,0.0,5.0,0.0,3.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.5,0.0,0.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,0.0,0.0,0.0,2022,4
5692,H2836 ,Local CCP ,"ANTHEM HEALTH PLANS, INC. ",Anthem Blue Cross and Blue Shield ,Anthem Inc. ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2022,False
